"","P[Y=1]","P[Y=2]","P[Y=3]","y_hat","y_avg","y_obs"
"aby",0.988526950707354,0.0114167629647237,5.628632792265e-05,1,1.01152933562057,1
"abz",0.989825195784773,0.0101281315603157,4.66726549112062e-05,1,1.01022147687014,1
"aca",0.74936135130087,0.238725276228867,0.0119133724702625,1,1.26255202116939,1
"acd",0.993758940810506,0.00621908173722763,2.19774522659533e-05,1,1.00626303664176,1
"ace",0.999237083986651,0.000761934312499157,9.81700849944644e-07,1,1.0007638977142,1
"acf",0.999366804846654,0.000632443965414509,7.51187931191666e-07,1,1.00063394634128,1
"ach",0.999919744804689,8.02139622674281e-05,4.12330433130492e-08,1,1.00008029642835,1
"ack",0.333388413252905,0.542945639994105,0.123665946752989,2,1.79027753350008,3
"acn",0.992598541879533,0.00737292142928614,2.85366911811913e-05,1,1.00742999481165,1
"acp",0.987392472404838,0.0125422799907507,6.52476044110673e-05,1,1.01267277519957,1
"acr",0.992334766816085,0.00763511804831085,3.01151356041363e-05,1,1.00769534831952,1
"acs",3.46249788882886e-07,0.000367359586841295,0.99963229416337,3,2.99963194791358,3
"acu",0.963954570370907,0.0356907991278311,0.000354630501261499,1,1.03640006013035,1
"acv",0.0574564977058056,0.446908018379238,0.495635483914957,3,2.43817898620915,2
"acz",0.183388277316066,0.569908937239667,0.246702785444267,2,2.0633145081282,1
"ada",0.999535303924145,0.00046421322643142,4.82849423111276e-07,1,1.00046517892528,1
"add",0.958238790023789,0.0413079429017557,0.000453267074454922,1,1.04221447705067,1
"ade",0.999382191876322,0.000617082951137937,7.25172540017027e-07,1,1.00061853329622,1
"adg",0.15640360555083,0.561991662682841,0.281604731766329,2,2.1252011262155,2
"adh",0.999669301733249,0.00033040030078435,2.97965966233882e-07,1,1.00033099623272,1
"adi",0.999782829857854,0.000217005372057377,1.64770088906252e-07,1,1.00021733491224,1
"adj",0.995931459846422,0.00405704926230377,1.14908912741685e-05,1,1.00408003104485,1
"adl",0.991903481331169,0.00806375471875798,3.27639500730115e-05,1,1.0081292826189,1
"ado",0.999702817965772,0.000296925824720629,2.56209507387695e-07,1,1.00029743824374,1
"adq",0.988907969575615,0.0110386373801269,5.33930442576658e-05,1,1.01114542346864,1
"adr",0.957995228777276,0.0415470654905076,0.000457705732215929,1,1.04246247695494,1
"adt",0.553447839349003,0.403999944995288,0.0425522156557097,1,1.48910437630671,2
"adw",0.501390432799485,0.442795261552928,0.0558143056475876,1,1.5544238728481,1
"adx",0.999465668383607,0.000533742391604308,5.89224788294374e-07,1,1.00053492084118,1
"ady",0.993816710992251,0.00616162135087772,2.16676568711716e-05,1,1.00620495666462,1
"adz",0.999999702533073,2.97443449870372e-07,2.34774422125383e-11,1,1.0000002974904,1
"aee",0.988542336017645,0.0114014956271343,5.61683552207093e-05,1,1.01151383233758,1
"aek",0.48069621211545,0.457404544748719,0.0618992431358305,1,1.58120303102038,2
"ael",0.955033846674675,0.0444529469418509,0.000513206383474629,1,1.0454793597088,1
"aem",0.658144535284238,0.318825003959875,0.0230304607558867,1,1.36488592547165,2
"aeq",0.259138063302452,0.56761841680456,0.173243519892988,2,1.91410545659054,1
"aer",0.997845514504938,0.00215002999755487,4.45549750738294e-06,1,1.00215894099257,1
"aeu",0.988197711601951,0.011743454561537,5.88338365116181e-05,1,1.01186112223456,1
"aew",0.984397740472349,0.0155109369670907,9.13225605604362e-05,1,1.01569358208821,1
"aey",0.999971178290758,2.88115745322726e-05,1.01347101821858e-08,1,1.00002883184395,1
"aez",0.997687412875619,0.00230764001492889,4.94710945186938e-06,1,1.00231753423383,1
"afd",0.917806467840245,0.0807423659747623,0.00145116618499241,1,1.08364469834475,1
"afe",0.99419178919769,0.00578851482758502,1.96959747249537e-05,1,1.00582790677703,1
"afi",0.942806543121842,0.0564212564479123,0.000772200430246062,1,1.0579656573084,1
"afk",0.994636109451899,0.00534643976791149,1.7450780189443e-05,1,1.00538134132829,1
"afn",0.910538258817826,0.0877751331039469,0.00168660807822696,1,1.0911483492604,2
"afo",0.991325143681329,0.00863841010070421,3.64462179672786e-05,1,1.00871130253664,1
"afp",0.933774409496572,0.0652313116398195,0.000994278863608811,1,1.06721986936704,1
"afr",0.997945085183971,0.00205075979449676,4.15502153239267e-06,1,1.00205906983756,1
"afs",0.471341647809705,0.463839534567305,0.0648188176229899,1,1.59347716981329,2
"aft",0.665816564607614,0.312274064743671,0.0219093706487152,1,1.3560928060411,1
"afu",0.9920679887666,0.00790026751804318,3.17437153568578e-05,1,1.00796375494876,1
"afz",0.852562430734589,0.143229674694739,0.00420789457067183,1,1.15164546383608,1
"agb",0.9989381267457,0.00106029058123014,1.58267306960003e-06,1,1.00106345592737,1
"agc",0.998631648858544,0.00136606258222938,2.28855922645987e-06,1,1.00137063970068,1
"agd",0.999994524422222,5.47449527588117e-06,1.08250186592329e-09,1,1.00000547666028,1
"age",0.999994829388694,5.16960844554326e-06,1.00286079440792e-09,1,1.00000517161417,1
"agg",0.997711862874664,0.00228326718957161,4.86993576442885e-06,1,1.0022930070611,1
"agh",0.993477181376893,0.00649930712304914,2.35115000583042e-05,1,1.00654633012317,1
"agj",0.996078765667602,0.00391036338382766,1.08709485701075e-05,1,1.00393210528097,1
"agk",0.287475095394898,0.560233203375877,0.152291701229225,2,1.86481660583433,2
"agl",0.963338435684201,0.0362968130283139,0.000364751287485254,1,1.03702631560328,1
"agm",0.99900146367567,0.000997088579392735,1.44774493737732e-06,1,1.00099998406927,1
"agn",0.966862777224686,0.032828681764707,0.000308541010606844,1,1.03344576378592,1
"ago",0.996326802687861,0.00366334228052478,9.85503161443635e-06,1,1.00368305234375,1
"agq",0.99204228255314,0.00792581510846657,3.19023383932304e-05,1,1.00798961978525,1
"agr",0.987285878281206,0.0126480057669264,6.61159518681176e-05,1,1.01278023767066,1
"ags",0.987108759193998,0.0128236720737062,6.75687322957419e-05,1,1.0129588095383,1
"agt",0.895550904027056,0.102221760350151,0.00222733562279365,1,1.10667643159574,1
"agu",0.98322953976951,0.0166680428936605,0.000102417336829808,1,1.01687287756732,1
"agv",0.922950279236013,0.0757547481987481,0.00129497256523858,1,1.07834469332923,2
"agw",0.99989132849438,0.000108608785489794,6.27201297564994e-08,1,1.00010873422575,1
"agx",0.985312831092435,0.0146041792187138,8.29896888511206e-05,1,1.01477015859642,1
"agy",0.78056648108728,0.210333863861949,0.00909965505077126,1,1.22853317396349,1
"agz",0.911351454798984,0.0869891414985769,0.00165940370243911,1,1.09030794890346,1
"aha",0.989426730830398,0.0105237197956993,4.95493739024466e-05,1,1.0106228185435,1
"ahb",0.995467614088097,0.00451886410951596,1.35218023866734e-05,1,1.00454590771429,1
"ahg",0.963998230593975,0.035647851365575,0.000353918040449597,1,1.03635568744647,2
"ahh",0.976240071014295,0.0235808018156336,0.000179127170071514,1,1.02393905615578,1
"ahi",0.989832276511627,0.01012110135376,4.6622134612595e-05,1,1.01021434562299,1
"ahk",0.999982375695234,1.7619103524269e-05,5.20124132652455e-09,1,1.00001762950601,1
"ahl",0.998652615425818,0.00134514698671928,2.23758746287217e-06,1,1.00134962216165,1
"ahm",0.975550126831501,0.0242622410458142,0.000187632122685133,1,1.02463750529118,1
"ahn",0.962972978869491,0.036656208114348,0.00037081301616082,1,1.03739783414667,1
"aho",0.227222977162488,0.572156423537313,0.200620599300199,2,1.97339762213771,3
"ahp",0.973529332369256,0.0262571844626763,0.000213483168067463,1,1.02668415079881,1
"ahs",0.996837399435908,0.00315472305698072,7.87750711161994e-06,1,1.0031704780712,1
"aht",0.017661890079893,0.284847436559168,0.697490673360939,3,2.67982878328105,2
"aia",0.999943129074749,5.68452639790884e-05,2.56612718851912e-08,1,1.00005689658652,1
"aib",0.587775328423192,0.37701905957271,0.0352056120040981,1,1.44743028358091,1
"aic",0.755302568530073,0.233355030763843,0.0113424007060833,1,1.25603983217601,2
"aie",0.994484024342479,0.00549776756342957,1.82080940911433e-05,1,1.00553418375161,1
"aif",0.995055371923161,0.00492920364680982,1.54244300295536e-05,1,1.00496005250687,1
"aig",0.997876140712333,0.00211949697203706,4.36231562972456e-06,1,1.0021282216033,1
"aih",0.903508223117238,0.0945608668677154,0.00193091001504631,1,1.09842268689781,1
"aii",0.998201252345178,0.00179533211960292,3.41553521898685e-06,1,1.00180216319004,1
"aik",0.982817910512677,0.0170756420431069,0.000106447444216284,1,1.01728853693154,1
"ail",0.930826955901588,0.0681006280643772,0.00107241603403441,1,1.07024546013245,1
"aim",0.972513602873188,0.0272593945833801,0.00022700254343222,1,1.02771339967024,1
"ain",0.407979052259754,0.50426172618529,0.0877592215549554,2,1.6797801692952,2
"aip",0.673814176938363,0.305405857095966,0.0207799659656709,1,1.34696578902731,2
"aiq",0.997276939141083,0.0027167574144874,6.30344442942299e-06,1,1.00272936430335,1
"air",0.911671839888922,0.0866794146294292,0.00164874548164906,1,1.08997690559273,1
"aiw",0.998879757856797,0.00111853169746934,1.71044573371582e-06,1,1.00112195258894,1
"aix",0.99476245064081,0.00522071874233809,1.68306168517596e-05,1,1.00525437997604,1
"aja",0.97655268568251,0.0232719865721552,0.000175327745334575,1,1.02362264206282,2
"ajg",0.999982394431573,1.76003746596987e-05,5.19376686103357e-09,1,1.00001761076219,1
"aji",0.994603733048809,0.00537865593509412,1.76110160965415e-05,1,1.00541387796729,1
"ajt",0.341241759966894,0.539430409217776,0.11932783081533,2,1.77808607084844,1
"aju",0.751271072033422,0.237000945512927,0.0117279824536506,1,1.26045691042023,1
"ajw",0.00486648376934105,0.154335137054751,0.840798379175908,3,2.83593189540657,3
"ajz",0.997908613027099,0.00208712271958889,4.26425331201408e-06,1,1.00209565122621,1
"aka",0.999989477357954,1.05200465719824e-05,2.59547416892048e-09,1,1.00001052523752,1
"akb",0.996633173739017,0.00335817653257464,8.64972840874945e-06,1,1.00337547598939,1
"akc",0.969069362860542,0.030655203698858,0.000275433440599659,1,1.03120607058006,1
"akd",0.994009437563919,0.00596991652022383,2.06459158574868e-05,1,1.00601120835194,1
"ake",0.863158920494687,0.13318247938967,0.00365860011564301,1,1.14049967962096,1
"akf",0.99576153306957,0.00422624578665021,1.22211437801889e-05,1,1.00425068807421,1
"akg",0.968943120068011,0.0307795959394597,0.000277283992528909,1,1.03133416392452,1
"akh",0.999998401219524,1.59856875669995e-06,2.11718864662203e-10,1,1.00000159899219,1
"aki",0.989414745994617,0.0105356170844964,4.96369208868863e-05,1,1.01063489092627,1
"akl",0.999269103021836,0.000729973987335542,9.22990828211567e-07,1,1.00073181996899,1
"ako",0.692358742035478,0.289331348453047,0.0183099095114755,1,1.325951167476,2
"akp",0.999607498947651,0.000392121230429088,3.79821920359902e-07,1,1.00039288087427,1
"akq",0.361261093406985,0.529827881270502,0.108911025322513,2,1.74764993191553,2
"aks",0.99941273962645,0.000586585979312382,6.74394238009413e-07,1,1.00058793476779,1
"akt",0.990693782659828,0.00926558404025646,4.06332999153269e-05,1,1.00934685064009,1
"aku",0.862484887547843,0.133822791531143,0.00369232092101379,1,1.14120743337317,1
"akv",0.930413650421373,0.0685027533280026,0.0010835962506246,1,1.07066994582925,1
"akw",0.918156539095751,0.0804031980405703,0.00144026286367849,1,1.08328372376793,1
"akz",0.150350631699926,0.55934624205976,0.290303126240314,2,2.13995249454039,1
"ala",0.993741240483165,0.00623668682170375,2.20726951313255e-05,1,1.00628083221197,1
"alc",0.166532968816134,0.565664728828175,0.26780230235569,2,2.10126933353956,2
"ald",0.959972426134046,0.0396053457011707,0.000422228164783656,1,1.04044980203074,1
"ale",0.0124049537154612,0.243211345536289,0.74438370074825,3,2.73197874703279,1
"alf",0.843357701431986,0.15192353009871,0.00471876846930475,1,1.16136106703732,1
"alh",0.377435148827843,0.521446703681865,0.101118147490292,2,1.72368299866245,2
"ali",0.998603556137014,0.00139408641317773,2.35744980803254e-06,1,1.00139880131279,1
"alj",0.969725824282843,0.0300082795278573,0.000265896189299619,1,1.03054007190646,1
"alk",0.920860473601281,0.0777821343604911,0.0013573920382276,1,1.08049691843695,1
"all",0.786320294996158,0.205050327962838,0.00862937704100453,1,1.22230908204485,1
"alm",0.985644964418971,0.0142749915847639,8.00439962647115e-05,1,1.01443507957729,1
"aln",0.999999179844126,8.20067771467592e-07,8.81025252752465e-11,1,1.00000082024398,1
"alo",0.976151180832853,0.0236686054740683,0.000180213693078191,1,1.02402903286022,1
"alp",0.991986276804838,0.00798147423921403,3.2248955948222e-05,1,1.00804597215111,1
"alq",0.650059336390305,0.325687799738659,0.024252863871036,1,1.37419352748073,1
"alr",0.448647779444139,0.478980400114844,0.0723718204410171,2,1.62372404099688,2
"als",0.99999657624928,3.42317118107172e-06,5.79538750322683e-10,1,1.00000342433026,1
"alt",0.908967910848515,0.0892923297413122,0.00173975941017268,1,1.09277184856166,1
"alu",0.999999842862028,1.57127700073367e-07,1.02716724015295e-11,1,1.00000015714824,1
"alw",0.999528507374362,0.000470999688250928,4.92937386797898e-07,1,1.00047198556302,1
"alx",0.941041679414381,0.0581447814972915,0.000813539088327042,1,1.05977185967395,1
"aly",0.996075556967547,0.00391355871073329,1.08843217199173e-05,1,1.00393532735417,1
"alz",0.99971926983465,0.000280493734864162,2.36430485522909e-07,1,1.00028096659584,1
"amb",0.735577350228277,0.251117928317345,0.0133047214543776,1,1.2777273712261,1
"amc",0.752829653742361,0.235592357847702,0.0115779884099368,1,1.25874833466758,1
"ame",0.982700686321663,0.0171917071108898,0.000107606567447238,1,1.01740692024578,1
"amf",0.998871020442427,0.00112724970724054,1.72985033286555e-06,1,1.00113070940791,1
"amg",0.10417744535681,0.524868729114992,0.370953825528198,2,2.26677638017139,2
"amh",0.999994987654409,5.01138343456109e-06,9.62156798678393e-10,1,1.00000501330775,1
"ami",0.987634221199218,0.0123024838792798,6.32949215020329e-05,1,1.01242907372228,1
"amj",0.931650940262366,0.0672987689810757,0.00105029075655838,1,1.06939935049419,1
"amk",0.98399818121028,0.0159067588061277,9.50599835920496e-05,1,1.01609687877331,1
"aml",0.998816742927541,0.00118140508349029,1.85198896873739e-06,1,1.00118510906143,1
"amm",0.961802162649157,0.0378073108256284,0.00039052652521443,1,1.03858836387606,1
"amn",0.999895649098845,0.000104291611966123,5.92891885586866e-08,1,1.00010441019034,1
"amo",0.996407473185657,0.00358299452000854,9.5322943339804e-06,1,1.00360205910868,1
"amp",0.998954835206608,0.00104361809466413,1.54669872776125e-06,1,1.00104671149212,1
"amr",0.763406501201144,0.226002743542253,0.0105907552566028,1,1.24718425405546,1
"ams",0.844635529937283,0.150718524273272,0.00464594578944466,1,1.16001041585216,1
"amt",0.934999748231335,0.0640376350137178,0.000962616754947354,1,1.06596286852361,1
"amu",0.943687009369528,0.0555610405943371,0.000751950036134597,1,1.05706494066661,1
"amv",0.885965165655859,0.111421943894341,0.00261289044979995,1,1.11664772479394,1
"amw",0.829146949334472,0.165282309818589,0.00557074084693843,1,1.17642379151247,1
"amx",0.986236698059647,0.0136884011007992,7.49008395538597e-05,1,1.01383820277991,1
"amy",0.312340884112024,0.5516014511763,0.136057664711676,2,1.82371678059965,2
"ana",0.0129665625225153,0.24819072422062,0.738842713256865,3,2.72587615073435,3
"anb",0.00189689006561473,0.0936435573706084,0.904459552563777,3,2.90256266249816,3
"anc",0.999334474560522,0.00066471865178841,8.06787689766608e-07,1,1.00066633222717,1
"and",0.984958753608607,0.0149550700723887,8.61763190044273e-05,1,1.0151274227104,1
"ane",0.993815997764292,0.00616233076400019,2.16714717076183e-05,1,1.00620567370742,1
"anf",0.96335620808293,0.0362793343025178,0.000364457614552283,1,1.03700824953162,1
"anh",0.999004815768988,0.000993743517312295,1.44071369934107e-06,1,1.00099662494471,1
"ani",0.989274106392265,0.0106752249006099,5.06687071253342e-05,1,1.01077656231486,1
"anj",0.990818977444574,0.0091412332359182,3.97893195079879e-05,1,1.00922081187493,1
"ank",0.99810264197517,0.00189366365024302,3.69437458702659e-06,1,1.00190105239942,1
"anl",0.904017832427933,0.0940695189114615,0.00191264866060581,1,1.09789481623267,1
"anm",0.981116599015292,0.0187596383271379,0.000123762657570525,1,1.01900716364228,1
"ann",0.994684048149735,0.00529873734495978,1.72145053047856e-05,1,1.00533316635557,1
"ano",0.928849124599319,0.0700244591182045,0.00112641628247601,1,1.07227729168316,1
"anp",0.999787967183535,0.000211873489042169,1.59327423032707e-07,1,1.00021219214389,1
"anq",0.585690779591792,0.378686035470018,0.0356231849381904,1,1.4499324053464,1
"anr",0.989877676078339,0.010076025209521,4.62987121403469e-05,1,1.0101686226338,1
"ant",0.176154807019872,0.56835483485049,0.255490358129638,2,2.07933555110977,2
"anu",0.999568583262247,0.000430982332100149,4.34405653004788e-07,1,1.00043185114341,1
"anv",0.986582978974042,0.0133450671507749,7.19538751833282e-05,1,1.01348897490114,1
"anw",0.99989683044353,0.000103111195563721,5.83609061077794e-08,1,1.00010322791738,1
"any",0.999681306889515,0.000318410322065255,2.82788419792013e-07,1,1.0003189758989,1
"anz",0.985978356790335,0.0139445135450147,7.71296646501218e-05,1,1.01409877287431,1
"aoa",0.993756291273271,0.00622171702735397,2.19916993752234e-05,1,1.0062657004261,1
"aob",0.398149386657329,0.509974457629438,0.0918761557132333,2,1.6937267690559,2
"aoc",0.886978976390135,0.110450396705956,0.00257062690390886,1,1.11559165051377,1
"aod",0.993261111623963,0.00671417474382852,2.47136322086838e-05,1,1.00676360200825,1
"aoe",0.999990718164878,9.27964205721388e-06,2.19306506288319e-09,1,1.00000928402819,1
"aof",0.975993011073968,0.0238248351353761,0.000182153790655559,1,1.02418914271669,1
"aog",0.999914818754101,8.51364769794971e-05,4.47689196825252e-08,1,1.00008522601482,1
"aoi",0.981468390321518,0.0184115137468669,0.000120095931615105,1,1.0186517056101,1
"aoj",0.999975749388761,2.42425965174542e-05,8.01472155309568e-09,1,1.00002425862596,1
"aok",0.395985513337925,0.511209502781194,0.092804983880881,2,1.69681947054296,2
"aol",0.995330845622977,0.00465501137648971,1.41430005334842e-05,1,1.00468329737756,1
"aom",0.990446446140287,0.00951123342837046,4.23204313424463e-05,1,1.00959587429106,1
"aon",0.999664007105821,0.000335688157703351,3.04736475498224e-07,1,1.00033629763065,1
"aos",0.870764277946094,0.125946282457961,0.00328943959594474,1,1.13252516164985,1
"aot",0.98096412196792,0.0189105122152612,0.000125365816818768,1,1.0191612438489,1
"aox",0.00171652089129744,0.0886319467496474,0.909651532359055,3,2.90793501146776,2
"aoz",0.997558174564079,0.00243646354204541,5.36189387523311e-06,1,1.0024471873298,1
"apb",0.999998499084854,1.50072032834014e-06,1.94817162402217e-10,1,1.00000150110996,1
"ape",0.999995849330545,4.14992097363953e-06,7.48481165935289e-10,1,1.00000415141794,1
"apg",0.940078959461467,0.0590845310417697,0.000836509496763727,1,1.0607575500353,1
"aph",0.983485529177213,0.0164145281806559,9.9942642130646e-05,1,1.01661441346492,1
"api",0.491361721530756,0.449937683241267,0.058700595227977,1,1.56733887369722,2
"apj",0.586051459810221,0.378397860065233,0.0355506801245459,1,1.44949922031432,1
"apk",0.144979305896776,0.55669347452357,0.298327219579654,2,2.15334791368288,2
"apl",0.0960522946959961,0.515379101294817,0.388568604009187,2,2.29251630931319,3
"apm",0.368389696672385,0.526199387532091,0.105410915795524,2,1.73702121912314,1
"apn",0.623775429307094,0.347693971371366,0.0285305993215397,1,1.40475517001445,1
"app",0.999997665218953,2.33443204733508e-06,3.48999495969338e-10,1,1.00000233513005,1
"apr",0.983046591507584,0.0168492076993629,0.000104200793052622,1,1.01705760928547,1
"aps",0.994079920751275,0.00589980245311772,2.02767956074545e-05,1,1.00594035604433,1
"apt",0.994089793345326,0.00588998136641927,2.02252882549603e-05,1,1.00593043194293,1
"apu",0.919016591330633,0.0795697632322636,0.00141364543710309,1,1.08239705410647,1
"apw",0.829273928268591,0.16516329008858,0.00556278164282931,1,1.17628885337424,1
"apx",0.66568290251863,0.312388513599462,0.021928583881908,1,1.35624568136328,2
"apy",0.886088250591487,0.111304008965961,0.00260774044255141,1,1.11651948985106,1
"apz",0.999467009378185,0.000532403507446877,5.87114367900377e-07,1,1.00053357773618,1
"aqc",0.777609686550966,0.213043265027988,0.00934704842104683,1,1.23173736187008,1
"aqg",0.998297429536856,0.00169941968175769,3.15078138612979e-06,1,1.00170572124453,1
"aqm",0.833667064242093,0.161041643517556,0.00529129224035108,1,1.17162422799826,1
"aqn",0.661746863406659,0.315753725099925,0.0224994114934165,1,1.36075254808676,1
"aqr",0.182183902960041,0.56967668067873,0.248139416361229,2,2.06595551340119,2
"are",0.99373860316359,0.00623930993725708,2.2086899152951e-05,1,1.00628348373556,1
"arg",0.960819377002729,0.0387732042025341,0.000407418794736603,1,1.03958804179201,1
"arh",0.992689876847413,0.00728212558240626,2.79975701811264e-05,1,1.00733812072277,1
"ari",0.168558047658195,0.56629291862054,0.265149033721265,2,2.09659098606307,2
"arj",0.272492103243867,0.564491699395745,0.163016197360388,2,1.89052409411652,3
"ark",0.292710129824986,0.558571397168808,0.148718473006206,2,1.85600834318122,2
"arl",0.25965708569905,0.567509410377419,0.17283350392353,2,1.91317641822448,2
"arn",0.971728799903114,0.0280335127039767,0.000237687392909303,1,1.0285088874898,1
"aro",0.560336732086127,0.398668143501828,0.0409951244120456,1,1.48065839232592,1
"arp",0.644884910402643,0.330057354437548,0.0250577351598087,1,1.38017282475717,1
"arr",0.621213087429731,0.349813399652907,0.0289735129173618,1,1.40776042548763,1
"arv",0.977153381953359,0.0226784957794858,0.000168122267155124,1,1.0230147403138,1
"arw",0.161781356208706,0.564054512044926,0.274164131746367,2,2.11238277553766,2
"arx",0.216806792040885,0.572612251129343,0.210580956829772,2,1.99377416478889,2
"asa",0.994674729287294,0.0053080103694948,1.72603432112561e-05,1,1.00534253105592,1
"asb",0.835948500176042,0.158898239868347,0.00515325995561078,1,1.16920475977957,2
"asc",0.972343305000915,0.0274273915741379,0.000229303424947092,1,1.02788599842403,1
"asg",0.997754606502908,0.0022406574739503,4.73602314188248e-06,1,1.00225012952023,1
"asi",0.857945713137677,0.13813058177297,0.00392370508935236,1,1.14597799195168,1
"asj",0.968428724372026,0.0312863964693005,0.000284879158673812,1,1.03185615478665,1
"ask",0.906895444596147,0.0912934012913952,0.00181115411245769,1,1.09491570951631,1
"asm",0.999999681613848,3.18360507511883e-07,2.56441534673968e-11,1,1.0000003184118,1
"asn",0.691603368859226,0.289990062483508,0.0184065686572653,1,1.32680319979804,1
"aso",0.999997651206234,2.34844199420436e-06,3.51771944906432e-10,1,1.00000234914554,1
"asr",0.991049410002084,0.00891233642565681,3.82535722593946e-05,1,1.00898884357018,1
"ass",0.961633847345529,0.0379727554047411,0.000393397249729532,1,1.0387595499042,1
"ast",0.997747039425538,0.00224820093749611,4.75963696633386e-06,1,1.00225772021143,1
"asu",0.607297669202837,0.361239246553776,0.0314630842433866,1,1.42416541504055,1
"asv",0.968970481164247,0.0307526363708963,0.000276882464856576,1,1.03130640130061,1
"asx",0.995781102962074,0.00420676081246574,1.21362254602575e-05,1,1.00423103326339,1
"asy",0.89209301165022,0.105544182660518,0.00236280568926228,1,1.11026979403904,1
"asz",0.708681911424436,0.275017803039091,0.0163002855364737,1,1.30761837411204,1
"ata",0.996313355218181,0.00367673558195847,9.9091998602141e-06,1,1.00369655398168,1
"atb",0.99863124527604,0.00136646517985495,2.28954410541604e-06,1,1.00137104426807,1
"atd",0.994996130009457,0.00498816476302033,1.57052275228109e-05,1,1.00501957521807,1
"ate",0.747241680809715,0.240637096958869,0.0121212222314158,1,1.2648795414217,2
"atg",0.997353231249418,0.0026407259085548,6.04284202743166e-06,1,1.00265281159261,1
"ati",0.996839171620918,0.00315295746155231,7.87091752940672e-06,1,1.00316869929661,1
"atj",0.748292687721442,0.239689423347575,0.0120178889309835,1,1.26372520120954,1
"atk",0.920012312034199,0.0786045575782448,0.001383130387556,1,1.08137081835336,1
"atl",0.737323562536997,0.24955322113037,0.0131232163326322,1,1.27579965379563,1
"atm",0.254664772397188,0.568514212350338,0.176821015252474,2,1.92215624285529,2
"atn",0.98339240068407,0.0165067591956919,0.000100840120238033,1,1.01670843943617,1
"ato",0.956203189000826,0.0433058578342309,0.000490953164943186,1,1.04428776416412,1
"atp",0.756422849530044,0.232340511718998,0.0112366387509577,1,1.25481378922091,1
"atq",0.966655446079855,0.0330328192755933,0.000311734644551254,1,1.0336562885647,1
