"","P[Y=1]","P[Y=2]","P[Y=3]","y_hat","y_avg","y_obs"
"aaa",0.997633112418668,0.00236176759584961,5.11998548202719e-06,1,1.00237200756681,1
"aab",0.986811231478043,0.0131187316225542,7.0036899402548e-05,1,1.01325880542136,1
"aac",0.732727478663422,0.253668257586544,0.0136042637500337,1,1.28087678508661,1
"aad",0.884077622322406,0.113229856034541,0.00269252164305211,1,1.11861489932065,1
"aae",0.997745037521568,0.00225019658759795,4.76589083397982e-06,1,1.00225972836927,1
"aaf",0.606161150560262,0.362166023879029,0.0316728255607093,1,1.42551167500045,1
"aag",0.942922021893015,0.0563084477877178,0.000769530319266742,1,1.05784750842625,1
"aai",0.999510764448834,0.000488715973745224,5.19577420643458e-07,1,1.00048975512859,1
"aak",0.997421657400255,0.00257253023086357,5.81236888119729e-06,1,1.00258415496863,1
"aal",0.97751026747921,0.0223258316801637,0.000163900840626341,1,1.02265363336142,1
"aan",0.295124151545686,0.557776174619107,0.147099673835207,2,1.85197552228952,2
"aap",0.55198854009233,0.405123831896619,0.0428876280110508,1,1.49089908791872,1
"aaq",0.240128774650308,0.570858886059472,0.18901233929022,2,1.94888356463991,3
"aar",0.999974773044265,2.52184997374671e-05,8.45599712473444e-09,1,1.00002523541173,1
"aas",0.147473216261524,0.557962062000383,0.294564721738092,2,2.14709150547657,2
"aat",0.992428051135707,0.00754239557870073,2.95532855922875e-05,1,1.00760150214989,1
"aau",0.999972630025717,2.7360527512843e-05,9.44677058800636e-09,1,1.00002737942105,1
"aaw",0.995351051819111,0.00463489758794977,1.40505929392409e-05,1,1.00466299877383,1
"aax",0.956497908669846,0.043016677283619,0.000485414046534682,1,1.04398750537669,1
"aaz",0.951946190735783,0.0474797278828335,0.000574081381383929,1,1.0486278906456,1
"aba",0.996697947306438,0.00329365063011466,8.40206344709937e-06,1,1.00331045475701,1
"abb",0.97861850402075,0.0212304197652565,0.000151076213993351,1,1.02153257219324,1
"abc",0.818867192147002,0.174896564895879,0.006236242957119,1,1.18736905081012,1
"abd",0.664270622747655,0.313597100041787,0.022132277210558,1,1.3578616544629,1
"abe",0.0225411898264486,0.315997394072957,0.661461416100595,3,2.63892022627415,2
"abg",0.0750433718752484,0.483866124691068,0.441090503433684,2,2.36604713155844,2
"abi",0.998230114662122,0.00176655000860837,3.3353292692162e-06,1,1.00177322066715,1
"abk",0.994250146622949,0.00573045793165416,1.93954453968637e-05,1,1.00576924882245,1
"abl",0.96439083628639,0.0352616242823085,0.000347539431301946,1,1.03595670314491,1
"abm",0.990852876335095,0.00910756170835947,3.95619565458638e-05,1,1.00918668562145,1
"abn",0.983364937965473,0.0165339566421679,0.000101105392358969,1,1.01673616742689,1
"abo",0.838274125700647,0.156711254935824,0.00501461936352954,1,1.16674049366288,1
"abp",0.928814850458927,0.0700577863660364,0.00112736317503648,1,1.07231251271611,1
"abq",0.985106415756949,0.0148087426488641,8.48415941868685e-05,1,1.01497842583724,1
"abr",0.999253054293391,0.000745993433758696,9.52272850351932e-07,1,1.00074789797946,1
"abs",0.997972482390831,0.00202344400359167,4.07360557763692e-06,1,1.00203159121475,1
"abt",0.999999949668515,5.03291113229665e-08,2.3733237597412e-12,1,1.00000005033386,1
"abu",0.978584324966681,0.0212642097454668,0.000151465287851815,1,1.02156714032117,1
"abw",0.99074837002703,0.00921136549375212,4.02644792182327e-05,1,1.00929189445219,1
