"","P[Y=1]","P[Y=2]","P[Y=3]","y_hat","y_avg","y_obs","latent1","latent2"
"aaa",0.996139546195506,0.00384983506843606,1.0618736057677e-05,1,1.00387107254055,1,0.00387107254055152,0
"aab",0.98064177231849,0.0192294450801924,0.000128782601317101,1,1.01948701028283,1,0.0194870102828264,0
"aac",0.940063051398825,0.0591000570461662,0.000836891555008878,1,1.06077384015618,1,0.0607738401561839,0
"aad",0.983829033813903,0.0160743060179801,9.66601681170465e-05,1,1.01626762635421,1,0.0162676263542143,0
"aae",0.997808596925987,0.00218683436216072,4.56871185194885e-06,1,1.00219597178586,1,0.00219597178586461,0
"aaf",0.60248078894287,0.36516040005484,0.0323588110022902,1,1.42987802205942,1,0.42987802205942,0
"aag",0.993899491804104,0.00607928162536231,2.12265705341608e-05,1,1.00612173476643,1,0.00612173476643063,0
"aai",0.999987782530151,1.22142970754302e-05,3.17277359940249e-09,1,1.00001222064262,1,1.222064262274e-05,0
"aak",0.999900303489962,9.96408534219562e-05,5.56566163156802e-08,1,1.00009975216665,1,9.97521666548096e-05,0
"aal",0.961922262085553,0.0376892541211955,0.000388483793251959,1,1.0384662217077,1,0.0384662217076994,0
"aan",0.169988132521959,0.566716209883241,0.2632956575948,2,2.09330752507284,2,0.0933075250728415,0
"aap",0.401027594368571,0.508318959350771,0.0906534462806581,2,1.68962585191209,1,0.689625851912087,1
"aaq",0.234156243835515,0.571555747049372,0.194288009115113,2,1.9601317652796,3,-1.0398682347204,-1
"aar",0.99996747021554,3.25178340654375e-05,1.19503945628097e-08,1,1.00003254173485,1,3.25417348547852e-05,0
"aas",0.162408136491558,0.564278086581133,0.273313776927309,2,2.11090564043575,2,0.110905640435751,0
"aat",0.992584930876459,0.00738645176252173,2.86173610196672e-05,1,1.00744368648456,1,0.00744368648456106,0
"aau",0.999999683930852,3.16043745951511e-07,2.54019028034236e-11,1,1.00000031609455,1,3.16094549646095e-07,0
"aaw",0.999789836820673,0.00021000581900521,1.57360321773048e-07,1,1.00021032053965,1,0.000210320539648645,0
"aax",0.95620181370036,0.0433072072208908,0.000490979078749731,1,1.04428916537839,1,0.0442891653783901,0
"aaz",0.951116547393555,0.0482924921556019,0.000590960450842948,1,1.04947441305729,1,0.0494744130572877,0
"aba",0.999159656637483,0.00083921498850914,1.12837400800814e-06,1,1.00084147173653,1,0.000841471736525268,0
"abb",0.967282399364141,0.0324154798376487,0.000302120798210681,1,1.03301972143407,1,0.0330197214340702,0
"abc",0.81680267949772,0.176822330043334,0.00637499045894652,1,1.18957231096123,1,0.189572310961227,0
"abd",0.661027147880951,0.316368003058425,0.0226048490606237,1,1.36157770117967,1,0.361577701179673,0
"abe",0.0214472920916107,0.309497840566532,0.669054867341857,3,2.64760757525025,2,0.647607575250246,1
"abf",0.852427704820475,0.143357151147814,0.00421514403171119,1,1.15178743921124,1,0.151787439211236,0
"abg",0.301135872280083,0.555718679765209,0.143145447954709,2,1.84200957567463,2,-0.157990424325374,0
"abi",0.996793027516178,0.00319892935808463,8.04312573776667e-06,1,1.00321501560956,1,0.00321501560956028,0
"abk",0.993953753427455,0.00602530731293505,2.09392596095537e-05,1,1.00606718583215,1,0.00606718583215415,0
"abl",0.963486425267085,0.0361512656904728,0.000362309042442388,1,1.03687588377536,1,0.0368758837753576,0
"abm",0.986022003418423,0.0139012452850076,7.67512965696993e-05,1,1.01405474787815,1,0.0140547478781468,0
"abn",0.997322139089588,0.00267171232268959,6.14858772263194e-06,1,1.00268400949814,1,0.00268400949813508,0
"abo",0.793908587219356,0.198060078732823,0.00803133404782097,1,1.21412274682846,1,0.214122746828465,0
"abp",0.927961283890526,0.0708876491960274,0.00115106691344702,1,1.07318978302292,1,0.0731897830229213,0
"abq",0.985125662417264,0.0147896693499615,8.46682327741988e-05,1,1.01495900581551,1,0.01495900581551,0
"abr",0.999801116490448,0.000198737859934073,1.45649617588894e-07,1,1.00019902915917,1,0.00019902915916914,0
"abs",0.997121553370323,0.00287160072669423,6.84590298249965e-06,1,1.00288529253266,1,0.00288529253265923,0
"abt",0.999999999796933,2.03065231296762e-10,2.22044604925031e-15,1,1.00000000020307,1,2.03069561166558e-10,0
"abu",0.996078579418676,0.00391054885666953,1.08717246543044e-05,1,1.00393229230598,1,0.00393229230597814,0
