"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","P[Y=5]","P[Y=6]","P[Y=7]","y_hat","y_avg","y_obs"
"aba",0.996441519617044,0.00336797757967799,0.000168910982404347,1.9443076488268e-05,2.13629881196109e-06,1.23025110099206e-08,1.43062228730173e-10,1,1.00377273634013,1
"abb",0.884245171813657,0.0959626545138478,0.0150613727202896,0.00376843872404942,0.000939765657800629,2.18467135792988e-05,7.49856776449676e-07,1,1.14126351146633,2
"abc",0.563719023743157,0.282887288999003,0.0938759505190793,0.0400815024905247,0.0182655191089885,0.00109077544039082,7.99396988567791e-05,1,1.66987928933978,1
"abd",0.365873800159043,0.332168919302107,0.156388170316172,0.0864636778932917,0.0535613486088843,0.00501012264905309,0.000533961071448097,1,2.14683606772382,1
"abe",0.00194077891630725,0.0194390968799333,0.04683740215928,0.0947092465279293,0.335110413959151,0.268400455440167,0.233562606117232,5,5.48106121052311,5
"abg",0.00220591120257559,0.0213369669194323,0.0501706775696048,0.0993878882147642,0.341098067423142,0.264463481581168,0.221337007089313,5,5.43457370683722,5
"abi",0.991567988480075,0.00785749780376821,0.00049860839233018,6.71623147968647e-05,8.67567190820928e-06,6.63772362630155e-08,9.59885504414615e-10,1,1.00909124186595,1
"abj",0.0129564087735961,0.0730233281771126,0.117548099519245,0.170052071789174,0.370248590981014,0.173493137310163,0.0826783634496955,5,4.66280597375617,7
"abk",0.821583221382501,0.141123355258561,0.0271187966342065,0.00782196786258915,0.00228150573333274,6.82894244894428e-05,2.86370431945571e-06,1,1.22831150439644,1
"abl",0.512050084081699,0.301697398294526,0.109698565858284,0.0500795911655141,0.024684025001349,0.0016566420128592,0.000133693585769534,1,1.77915477509194,1
"abm",0.921653828539041,0.0669788690317595,0.00892626802036156,0.00199322042771066,0.00043923521451561,8.33490289242622e-06,2.4386371921814e-07,1,1.09261114491045,1
"abn",0.981246012197851,0.0171222907160168,0.0013796968340779,0.000218305726154666,3.33472861200335e-05,3.41070685472289e-07,6.16909379136388e-09,1,1.02067173307511,1
"abo",0.513866594999865,0.30109956522769,0.109132798627747,0.0497047926976371,0.0244318589319001,0.00163304466686709,0.000131344848293025,1,1.77516026872779,1
"abp",0.788481970613562,0.163336416394078,0.0342637864863456,0.0105158910873621,0.00328707784510307,0.000109829437222486,5.0281363267457e-06,1,1.27713929001334,1
"abq",0.536020110929749,0.293429686526062,0.102285683616651,0.0452725807809536,0.0215180003449832,0.00136832864863445,0.000105609152966313,1,1.72736609564313,1
"abr",0.998729167890188,0.00121858622405924,4.72364639545475e-05,4.58429816041495e-06,4.23317619735464e-07,1.78958636798399e-09,1.64319668982671e-11,1,1.00132851436345,1
"abs",0.578917348256019,0.276670831942282,0.089340717011521,0.0373929457582994,0.0166495100550534,0.000960256915002455,6.83900618226874e-05,1,1.63934076840638,1
"abt",0.999464070881243,0.00051798982957818,1.64287567196997e-05,1.39723548686632e-06,1.12918403294415e-07,3.75694697574147e-10,2.87425638845207e-12,1,1.00055549261881,1
"abu",0.988029214611241,0.0110654452785062,0.000777496567067715,0.000112152273745059,1.5554465823242e-05,1.34661920059287e-07,2.14169626477911e-09,1,1.01301979925695,1
"abw",0.888831424818478,0.0924936038114782,0.0142625577255632,0.00352479637226577,0.000867230020196175,1.97219647036784e-05,6.65287315348984e-07,1,1.1351646300076,1
"aby",0.852198556270234,0.119572896619737,0.0209726568254639,0.00567235349547868,0.00154081924922644,4.11418925936324e-05,1.57564726643855e-06,1,1.18491371110057,1
"abz",0.754828432675841,0.184761977052402,0.0420193711677164,0.0136591922644842,0.00455421372510789,0.000168447139668126,8.36597478104384e-06,1,1.32888758262875,1
"aca",0.245109526637486,0.32302262141684,0.19254090595856,0.127176081363702,0.0979881365635146,0.0124395297514376,0.00172319830845924,2,2.55412206228707,2
"acd",0.887175398122069,0.0937488754744308,0.0145495728694578,0.00361193852729258,0.000893047494861632,2.04725266745864e-05,6.94985213933741e-07,1,1.13736255931933,1
"ace",0.746260922763693,0.190028519532202,0.0440685416311702,0.0145261647577188,0.00491990134506692,0.000186502502110941,9.44746803888119e-06,1,1.34241289976675,2
"acf",0.856761528159254,0.116277512553697,0.0200971279466174,0.00537972716063351,0.00144479803238107,3.78765008998139e-05,1.42964651728139e-06,1,1.17858810244196,1
"ach",0.999276026168192,0.000697979238828195,2.37066480154313e-05,2.10895829122482e-06,1.78337608458534e-07,6.43823772072949e-10,5.24136289925536e-12,1,1.00075243601073,1
"aci",0.00824397162318048,0.053982258694793,0.0965495822331471,0.152300300597242,0.375006977248128,0.202088768394973,0.111828141208537,5,4.88542292317141,7
"ack",0.0742797894732419,0.205647724093066,0.201644589560964,0.195846045657804,0.247374978057491,0.0602093856411146,0.014997487516319,5,3.57700680572186,7
"acl",0.0146858986167452,0.0792537053407264,0.123746884490473,0.174612942278132,0.367061862963153,0.165185136139865,0.0754535701709059,5,4.59748085473344,7
"acn",0.664477036621094,0.23635275472769,0.0650293179244611,0.0242336442996697,0.00943645278547323,0.000444011892354323,2.67817492576317e-05,1,1.47923888457483,3
"acp",0.86746401656947,0.108462238789111,0.018086799626986,0.00472145314850703,0.00123344281691351,3.09224502323957e-05,1.12659877982146e-06,1,1.1638953406001,1
"acr",0.781699403908179,0.167748779671267,0.0357882059131888,0.0111161752036638,0.0035216496698276,0.000120189090963674,5.59654290988032e-06,1,1.28739484050022,1
"acs",3.99307991299455e-08,3.26530459734524e-06,3.27804907298411e-05,0.0002316924137283,0.00621468228524656,0.0333489112935173,0.960168628281381,7,6.9533789588241,7
"acu",0.735968647118612,0.196253485745224,0.046568870906104,0.0156041851054252,0.00538383511661267,0.000210083363356484,1.08926446658053e-05,1,1.35885489602494,1
"acv",0.00802725864759464,0.053013840298411,0.0953876909661381,0.151213454084377,0.374977027454958,0.203687944428012,0.113692784120509,5,4.89793412116676,5
"acz",0.000779111975970787,0.00988750090629277,0.0280996435472802,0.0653416798129372,0.285283280666677,0.284678534808414,0.325930248282428,7,5.78221911384301,1
"ada",0.996562481889837,0.00325518633322486,0.000161787085303677,1.8511562440815e-05,2.02148090888699e-06,1.15154838997711e-08,1.32800548335865e-10,1,1.00364243948901,1
"add",0.755566516186555,0.184304680855502,0.0418442228237329,0.0135857857636146,0.00452356102716678,0.000166955678184921,8.2776652434724e-06,1,1.32772917228486,1
"ade",0.979271735888467,0.0188655204113192,0.00156904153300552,0.000253646052240764,3.9627014953636e-05,4.21249858661987e-07,7.85015497051234e-09,1,1.02292520304409,1
"adg",0.012718316571891,0.0721384039185042,0.116642928087193,0.169360105634192,0.370648829041141,0.174711705999903,0.0837797107471759,5,4.6723366876426,5
"adh",0.992953359299759,0.00659080951864199,0.000397564544972639,5.17636985273295e-05,6.45584213887496e-06,4.64551005441294e-08,6.40859809664107e-10,1,1.00756728919339,1
"adi",0.98283687009088,0.0157114999052295,0.00123146126989904,0.000191235634115938,2.86448499019487e-05,2.8325834022791e-07,4.99163343992137e-09,1,1.01886415498848,1
"adj",0.996612633450736,0.00320839859164368,0.000158852443219781,1.81295739490883e-05,1.97461497086771e-06,1.11968095906079e-08,1.28670962773469e-10,1,1.00358844741589,1
"adl",0.970361475323862,0.0266379088722463,0.00248991180387126,0.000435762167113274,7.401539575147e-05,9.07547246020712e-07,1.88899095254769e-08,1,1.03322573164002,1
"ado",0.975780828025445,0.0219284876518527,0.00191747020403255,0.000320691291476605,5.19245644859945e-05,5.86797361590286e-07,1.1465345117756e-08,1,1.02693620297117,1
"adq",0.812153621942483,0.147565994552038,0.029103140633454,0.00854988509111321,0.00254526506865316,7.87054959371369e-05,3.38721632220373e-06,1,1.24201684214452,2
"adr",0.577856046608874,0.277114622311119,0.0896554852300149,0.0375770931256975,0.0167586923048079,0.000968915333923515,6.91450855627718e-05,1,1.64145108855047,1
"adt",0.137689006242509,0.271675535049604,0.211468206317505,0.171450203580306,0.171146442156803,0.0307697657838623,0.00580084086941091,2,3.08220220118852,5
"adw",0.0551882813444636,0.176005313634873,0.190300317810754,0.199703198522928,0.279617429836446,0.0774050236703686,0.0217804351801663,5,3.79189299360379,2
"adx",0.695414565948054,0.219684161112746,0.056814514607222,0.0202490537309447,0.00749326460230848,0.000325987815746331,1.84521829785789e-05,1,1.42577406210586,1
"ady",0.772434357304172,0.173699393088604,0.0379025158322356,0.0119631085587691,0.00385869343228007,0.000135478482802709,6.45330113668852e-06,1,1.30154463637934,1
"adz",0.999698299713523,0.000292833266107184,8.17923154183831e-06,6.4007192823734e-07,4.75798755950052e-08,1.36095690272953e-10,9.28146448586631e-13,1,1.00031130295053,1
"aea",1.11552642445267e-06,5.33687608311613e-05,0.000375317099778672,0.00192573110576172,0.0299041914389429,0.0998468911922991,0.867893384875962,7,6.83279272725071,7
"aee",0.789446472882756,0.162705115070065,0.0340486351437015,0.0104318753075134,0.00325453924427976,0.000108411224706173,4.95112697829203e-06,1,1.27568793114253,1
"aek",0.00813421919910512,0.0534930548275461,0.095963905567641,0.151753845899375,0.374996002284943,0.202894706214953,0.112764266006437,5,4.89172553991411,5
"ael",0.701777649108184,0.216124995579671,0.0551666718412354,0.0194775696442779,0.00713094489725796,0.00030512737169841,1.70415576759009e-05,1,1.41504271398855,1
"aem",0.245426146542582,0.323101665070498,0.192457571227777,0.127055551617202,0.0978325787916678,0.0124088538920575,0.00171763285821513,2,2.55286384415391,5
"aeq",0.196539923767091,0.306466404673273,0.203905164326798,0.146478467248869,0.125363790248444,0.0183628043446408,0.00288344539088459,2,2.76428199013576,2
"aer",0.945086158142604,0.0479776168359821,0.00557474956822124,0.0011323965431278,0.000225375984584386,3.61040150453906e-06,9.25239755922291e-08,1,1.06344441669152,1
"aeu",0.701738592711394,0.216146976051908,0.0551767416326592,0.019482255814848,0.00713313171142971,0.000305252143097623,1.704993466356e-05,1,1.41510831393096,3
"aew",0.794840773401803,0.159156696786099,0.0328528691330295,0.0099681452191368,0.00307625416453416,0.000100724065479119,4.53722991800021e-06,1,1.26760273107461,3
"aey",0.987729216064496,0.0113357413824251,0.000802368664014841,0.000116314822632635,1.62151565018531e-05,1.4164166339814e-07,2.26826624150078e-09,1,1.01335500562227,2
"aez",0.951622489353318,0.0425492293345819,0.00471872091515169,0.000928270972391676,0.000178523069193748,2.70018974901642e-06,6.6165614209801e-08,1,1.05549947430127,1
"afd",0.776981902805018,0.170789746432426,0.0368601842210433,0.0115435081198894,0.00369083224764377,0.000127805411944015,6.02076203504165e-06,1,1.29457911985669,1
"afe",0.9565520530928,0.0384154067103774,0.00409847677609942,0.000785121539586209,0.000146775163362034,2.11673843331095e-06,4.99793415542626e-08,1,1.049565709103,1
"afi",0.540677584772002,0.291729780741169,0.100859308634535,0.0443728723121143,0.0209418689546179,0.00131775771062581,0.000100826874935067,1,1.71752824056779,3
"afk",0.9376372595004,0.0540936899710358,0.00659413520333418,0.00138445218034355,0.000285481007334054,4.85191678911701e-06,1.3022076339464e-07,1,1.0726022818566,1
"afn",0.682240687520433,0.226911920509476,0.0602719897518236,0.0218979888146271,0.00828299645237707,0.000372733485054288,2.16834662093435e-05,1,1.44827562048904,5
"afo",0.912350980418118,0.0743359847407721,0.0103676916706222,0.00238927206595163,0.000544799375870153,1.09372575491928e-05,3.34471116802959e-07,1,1.1044750748978,1
"afp",0.718545026063868,0.206536248803031,0.0508953323068879,0.0175212863344058,0.00623325418260501,0.000255107214469863,1.3745094731954e-05,1,1.38718179579119,1
"afr",0.99823269407138,0.00168843102489025,7.09088223965759e-05,7.2557692228914e-06,7.06989823462401e-07,3.28978455588214e-09,3.25017790459015e-11,1,1.00185486058058,1
"afs",0.209240319007346,0.311702979827751,0.201250062326789,0.141282400197755,0.117468307595797,0.0165458313566708,0.00251009968789107,2,2.70571329036848,4
"aft",0.140216957522807,0.273589577684776,0.211362293694265,0.170367891753058,0.168797787026762,0.0300503391986263,0.00561515311970606,2,3.06655160315089,2
"afu",0.991566196930024,0.0078591316334311,0.000498742273833508,6.71830779489513e-05,8.67871899445927e-06,6.64054202736963e-08,9.60347246170556e-10,1,1.00909321808011,1
"afz",0.451008839144825,0.318876190956209,0.129016403367361,0.0637252801791205,0.0344796485584439,0.00265364299714488,0.00023999479689496,1,1.92071161622916,2
"agb",0.992505272575268,0.00700124243248113,0.000429689698113189,5.65982807899656e-05,7.14378515231928e-06,5.2492315716357e-08,7.35879690516583e-10,1,1.00805925868854,1
"agc",0.983980312906072,0.0146939651497934,0.0011274315674461,0.000172577207614433,2.54635802753311e-05,2.45350936123323e-07,4.23786283842986e-09,1,1.01756966641049,1
"agd",0.966052077512706,0.0303460811359758,0.00297005503368108,0.000536360077326936,9.41779397608533e-05,1.22173377303803e-06,2.65667765564359e-08,1,1.03827825126389,1
"age",0.952383090040365,0.0419136851440881,0.00462156064671049,0.000905571789917237,0.000173424353925089,2.60455426570605e-06,6.34707278956981e-08,1,1.05458062281866,1
"agg",0.914981610392114,0.0722658882797346,0.00995411834840243,0.00227420019899616,0.000513720761811776,1.01552088480616e-05,3.06810092776111e-07,1,1.10110422552557,1
"agh",0.959655648390905,0.0357944958853933,0.00371980096729008,0.000699867256048425,0.000128353986809548,1.79224640406428e-06,4.12671499194772e-08,1,1.04585632437028,1
"agj",0.876185620517381,0.102003607036828,0.0164946342240677,0.00421409037734966,0.00107518949102214,2.59414346508446e-05,9.16918700744063e-07,1,1.15207111326656,1
"agk",0.19383380078599,0.305259121126258,0.204435128135547,0.147597824891855,0.127122964332287,0.0187799332386485,0.00297122748941403,2,2.77714174053179,5
"agl",0.742479752928116,0.192328390091566,0.0449822539083428,0.0149175541488641,0.00508717062107178,0.000194919125269255,9.95917677004687e-06,1,1.3484285935261,1
"agm",0.949091410876524,0.0446582859636276,0.00504577637005299,0.00100539843231973,0.000196019047518647,3.03363180220728e-06,7.56781551869423e-08,1,1.05856573241871,1
"agn",0.815821424582709,0.145070892577375,0.0283263515993122,0.00826303592659094,0.00244059128304597,7.45284638432597e-05,3.17556712281508e-06,1,1.23666676440991,1
"ago",0.91129626245427,0.0751637030950382,0.0105348048257667,0.00243608743155466,0.000557534784863645,1.12613725353761e-05,3.46035970988368e-07,1,1.10583009725919,1
"agq",0.936571461370345,0.0549628604524184,0.00674363784864473,0.00142218255053683,0.00029467307445441,5.04836042292123e-06,1.36343177525866e-07,1,1.07392143596032,1
"agr",0.825431645585109,0.138467670706961,0.0263209994767509,0.00753384753400055,0.00217883295432897,6.43349252394954e-05,2.6688176095746e-06,1,1.22276423161164,1
"ags",0.901645315215425,0.0826782353193467,0.0120975626840452,0.00288242359350932,0.000681478124351931,1.45197755203608e-05,4.6528780173194e-07,1,1.11832193456979,1
"agt",0.595481091714282,0.269559317943206,0.0844671133559348,0.0345877429266483,0.0150138244382221,0.000833389700435672,5.75199212705657e-05,1,1.60682413921771,1
"agu",0.669221466916616,0.233865859801829,0.0637481990404888,0.0235970559236959,0.00911809474694669,0.000423993370483156,2.53301999401101e-05,1,1.47089775269374,1
"agv",0.751839163882978,0.186608230909498,0.0427309863839023,0.0139585677104958,0.00467972961155516,0.0001745901212028,8.73138036772136e-06,1,1.33359016414323,4
"agw",0.959572753180997,0.0358646873070274,0.0037297924491646,0.000702094738078585,0.000128830341764585,1.80049716880237e-06,4.14857987962591e-08,1,1.04595512918729,1
"agx",0.714425205029728,0.208920294701599,0.0519351668951321,0.0179917390407701,0.0064463327352301,0.000266759932452842,1.45016650874297e-05,1,1.39397198620788,1
"agy",0.488475415018189,0.3090146021216,0.117094377758192,0.0551042579777964,0.0281514819368012,0.00199190822221185,0.00016795696520866,1,1.83208934222089,1
"agz",0.706819728923607,0.213273480432775,0.0538713529893194,0.018877672422814,0.00685242650237672,0.000289350403672173,1.59883254357007e-05,1,1.40660159166034,1
"aha",0.988748381736996,0.0104164765438461,0.000718613619077768,0.000102388204211268,1.40193380798737e-05,1.18701994011872e-07,1.85579518419132e-09,1,1.0122175503917,1
"ahb",0.773832078192403,0.172807368448753,0.0375812155553883,0.0118333385295919,0.00380659656957827,0.000133084875735379,6.31782855009533e-06,1,1.2993995327766,1
"ahg",0.560562834129307,0.284140433735919,0.094825047680308,0.0406538361618816,0.0186155924127895,0.00111970857774357,8.25473020513723e-05,1,1.67630823393436,5
"ahh",0.710323265578353,0.211275885704786,0.0529767735758558,0.0184667374284592,0.00666328222823298,0.000278766862401802,1.5288621911691e-05,1,1.40076834009829,2
"ahi",0.950499429958168,0.0434861423788969,0.00486313452803444,0.00096219194727265,0.000186185670168704,2.8452356879427e-06,7.02817714026693e-08,1,1.05685837782653,1
"ahk",0.956297515765947,0.0386297208278567,0.00412994646296916,0.000792281888558732,0.000148339519983498,2.14479175253413e-06,5.07429327445408e-08,1,1.04987084591576,1
"ahl",0.960008911027619,0.0354952538798857,0.00367729837385444,0.000690405443253828,0.000126333593908345,1.75733767937558e-06,4.03437993012901e-08,1,1.04543543008418,1
"ahm",0.903502241915518,0.081240613455643,0.0117922365329732,0.00279403478883944,0.000656582212284262,1.38507111787645e-05,4.40383562838598e-07,1,1.11590541559452,1
"ahn",0.794955039697486,0.159081207551219,0.0328276785346009,0.00995843487267745,0.00307254492764431,0.000100565652035423,4.52876433687521e-06,1,1.26743204979523,1
"aho",0.104462877204965,0.241979371454524,0.209980192873216,0.185280507196711,0.206341878178851,0.0427750054269002,0.00918016766483376,2,3.31210482462999,6
"ahp",0.930104468903255,0.0602058160294107,0.00766957286202319,0.00165994673396408,0.000353670893294855,6.34682994105074e-06,1.77748111118703e-07,1,1.0819722861669,1
"ahs",0.967753210675094,0.0288860106345326,0.00277800971669651,0.000495710405248095,8.59440256363309e-05,1.09120713021049e-06,2.33356626244685e-08,1,1.03627853343584,1
"aht",0.00430829686018506,0.0344465664055487,0.0708798474604137,0.125582132076553,0.365733146921194,0.237447226797327,0.161602783478779,5,5.17273808010012,4
"aia",0.961045652593139,0.0346159474598413,0.00355328533755095,0.000662925523819635,0.000120494139102978,1.65723451328592e-06,3.77120326078284e-08,1,1.04420178370758,1
"aib",0.329668810154833,0.333363583828185,0.167835825938033,0.0975759679475805,0.064250346644933,0.00655361133401555,0.000751854152420073,2,2.25604370771132,2
"aic",0.328682593709068,0.333353849247384,0.168143324651701,0.0978914314293317,0.0645679909335312,0.00660186408895558,0.000758945940028566,2,2.25914975265786,4
"aid",5.97568850216146e-06,0.000212340212287936,0.00122272264462124,0.00525172807616801,0.060664904251508,0.155171854074117,0.777470475052795,7,6.70175470742342,7
"aie",0.917041544200269,0.0706392299025544,0.00963352429448228,0.00218578326044394,0.000490063439416155,9.56860523460001e-06,2.86297599516594e-07,1,1.09847344284229,3
"aif",0.901746948109873,0.0825996524397445,0.0120807953994533,0.00287755505693976,0.000680102472311983,1.44826221365468e-05,4.63899541114365e-07,1,1.11818951480665,1
"aig",0.761574808564015,0.18056099179893,0.0404267145500332,0.0129957534708902,0.00427896612132772,0.000155179353518831,7.58614128471002e-06,1,1.31833895941228,1
"aih",0.278621028990941,0.329581901324489,0.183253992330277,0.11482243729022,0.0828760287239519,0.00961311744750759,0.0012314938926129,2,2.42751586334473,2
"aii",0.742801628513659,0.192133196122612,0.044904252577698,0.0148840268787819,0.00507278946651024,0.000194191674759647,9.91476597911323e-06,1,1.34791538675007,2
"aik",0.838740291697382,0.129165938973604,0.0236172243486049,0.00657726484639909,0.00184530791706805,5.19008363223383e-05,2.07138061925072e-06,1,1.20378534634361,1
"ail",0.388959502966924,0.329931180530479,0.148983362055055,0.0798416479974047,0.047632315092752,0.00422205029600764,0.000429941061376726,1,2.08164200685211,3
"aim",0.899032216071302,0.0846947016653278,0.0125308890636123,0.00300882523050217,0.000717369400389467,1.54965646891325e-05,5.02004177338478e-07,1,1.12173292793413,1
"ain",0.0240239124159084,0.108323321643297,0.149110842061879,0.189916104941053,0.346095542356423,0.131803738283049,0.0507265382983901,5,4.32405341122149,5
"aio",0.216387713291116,0.314352235527896,0.199645303724471,0.138402286119257,0.113271301521031,0.01561625798601,0.00232490183021905,2,2.6739656083301,2
"aip",0.363082218325492,0.332364427471119,0.157279546823014,0.0872885087723441,0.0543223153812059,0.00511481699758354,0.00054816622924192,1,2.15494139132237,5
"aiq",0.915219624103095,0.0720781916602898,0.00991692850671666,0.00226390814691968,0.000510956910421467,1.00862833664062e-05,3.04389190852739e-07,1,1.10079985850815,1
"air",0.515633026755593,0.300513634754372,0.108583230931424,0.0493419987824935,0.0241886253289224,0.00161038578555506,0.000129097661640376,1,1.77128710917801,1
"ait",3.70831181182462e-06,0.000143714836033687,0.000877416530615753,0.0039692483451751,0.0499542218011922,0.13813974360469,0.806911946570482,7,6.7457935775839,7
"aiw",0.984942734134406,0.0138351524616125,0.00104157484338585,0.000157403507837661,2.29156350251003e-05,2.15756913668486e-07,3.66081953639963e-09,1,1.01648327596148,1
"aix",0.949421491744318,0.044383749144896,0.00500280272468367,0.000995202024800412,0.000193691165145116,2.98880694737935e-06,7.4389209570036e-08,1,1.05816511569924,1
"aja",0.700830975280905,0.216657305444667,0.0554109056570582,0.0195913266876416,0.00718407846401392,0.000308162898087549,1.72455676261674e-05,1,1.41663369857396,5
"ajg",0.999636591483688,0.00035227424606199,1.02476588839107e-05,8.23548339190516e-07,6.28729526219729e-08,1.88739357476209e-10,1.33526523171668e-12,1,1.00037549265237,1
"aji",0.759871377064579,0.181626194771436,0.0408270958756342,0.013161676561118,0.0043474255375342,0.000158452862930591,7.77732676870979e-06,1,1.32099404663146,1
"ajt",0.0264010443701607,0.114796439131226,0.15405435923389,0.192220730757727,0.340497410914374,0.125381720455911,0.046648295136711,5,4.2683553666295,3
"aju",0.361898088004422,0.332442323902179,0.157657312164437,0.0876399748891286,0.0546481081540852,0.00515988482908492,0.000554308056663455,1,2.15839457800018,3
"ajw",0.0008087172149262,0.0101682751239191,0.0287113214071181,0.0663977228757421,0.287480770679549,0.284410647816909,0.322022544881837,7,5.77089567765914,7
"ajz",0.924573373963284,0.0646487287443364,0.00848628210380276,0.00187521022565151,0.000408576369728242,7.60920830888967e-06,2.1938488814488e-07,1,1.08892059145868,1
"aka",0.999990973165384,8.8960878742439e-06,1.24249019739509e-07,6.20224438474537e-09,2.95104052305817e-10,3.72590847064203e-13,1.33226762955019e-15,1,1.00000916437493,1
"akb",0.598289471509686,0.268319419455555,0.0836482310759497,0.0341248036742759,0.0147488853099883,0.000813351643815241,5.58373307293358e-05,1,1.60138761607369,2
"akc",0.627141755917655,0.255022181373821,0.0753666911029931,0.0295764474830055,0.0122222944392684,0.000629733620577055,4.08960626796517e-05,1,1.54676812826486,2
"akd",0.948551733074234,0.0451068244933737,0.00511624349251638,0.00102215829624097,0.000199855029964335,3.10779621925938e-06,7.78174509274976e-08,1,1.05922121237279,1
"ake",0.600004388486799,0.267557471216343,0.0831492714472633,0.0338439016432027,0.0145888199861213,0.000801315848199091,5.48313720716287e-05,1,1.59807856645839,2
"akf",0.96186187377103,0.033922508022443,0.00345641597470747,0.00064159461178992,0.000115991037094698,1.58086227031173e-06,3.57206645373864e-08,1,1.04323220659095,1
"akg",0.671533688241808,0.232644675680689,0.0631265909916945,0.0232902005317414,0.00896569483046683,0.000414502460662658,2.46472629373828e-05,1,1.46685163446211,1
"akh",0.994035824309372,0.00559621961025425,0.000322318602187899,4.06883948319559e-05,4.9151948369186e-06,3.34464944629076e-08,4.42022085600513e-10,1,1.00638275266308,1
"aki",0.805417638260192,0.152112262699045,0.0305459014993709,0.0090890527698485,0.00274453122569651,8.68095380912592e-05,3.80400775612522e-06,1,1.25190622064711,1
"akj",0.00952481297161282,0.0595154181079107,0.103001243572031,0.158133814646271,0.374588379601081,0.193236105848634,0.102000225252459,5,4.81645474835304,7
"akl",0.970640742375468,0.0263965118746912,0.00245953375411734,0.000429516396603935,7.27881110874629e-05,8.89039023732607e-07,1.84490078769528e-08,1,1.03289983690625,1
"akm",0.0129564087435818,0.0730233280659947,0.117548099405981,0.170052071703,0.370248591032144,0.173493137462557,0.0826783635867412,5,4.66280597494877,7
"ako",0.0931108605311047,0.229554680746396,0.207859833075988,0.189625608024972,0.220571861378481,0.0483518766034089,0.0109252796396487,2,3.40374967734215,5
"akp",0.98883224291111,0.0103407071644721,0.000711816788964481,0.000101269575968344,1.38448240828426e-05,1.16911362479932e-07,1.82404003012948e-09,1,1.01212412426769,1
"akq",0.161501040483664,0.288077478692813,0.209563341341104,0.161240111249461,0.150532202130915,0.0247722654214211,0.00431356068062216,2,2.9427959948379,5
