"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","P[Y=5]","P[Y=6]","P[Y=7]","y_hat","y_avg","y_obs"
"aaa",0.97408343383678,0.0234092960739498,0.00209280108961329,0.0003553247356477,5.84520264459432e-05,6.78695541211916e-07,1.35420218372317e-08,1,1.02889815529574,1
"aab",0.900266631563125,0.0837430887948021,0.0123256564212376,0.00294881968614569,0.000700289176614466,1.50299454818592e-05,4.84412593371175e-07,1,1.12012007360514,1
"aac",0.219165130370994,0.315326341222199,0.199002218667002,0.137292071411617,0.111685492960363,0.0152715045614216,0.00225724080640233,2,2.66184993227803,2
"aad",0.647515743058608,0.245034150813077,0.0696702488041122,0.0265867823235294,0.0106386238479834,0.000521887193339454,3.25639593503624e-05,1,1.50949431050662,1
"aae",0.526092032510507,0.296952727135721,0.105341795555914,0.0472274167767851,0.0227876668390254,0.00148185596898864,0.000116505213057949,1,1.7485775470573,2
"aaf",0.397052325299889,0.328893437337734,0.146378183587617,0.0776029239300854,0.0456988350284062,0.00397576020238699,0.000398534613881063,1,2.05952392511207,2
"aag",0.661948619940811,0.237667689276624,0.0657151341179539,0.0245767336372339,0.00960925388634659,0.000454985452471579,2.75836885593739e-05,1,1.48370560336333,1
"aai",0.973117276736789,0.0242497839768818,0.00219424554996084,0.000375617377891935,6.23270915786067e-05,7.3444404180556e-07,1.48228556096086e-08,1,1.03001819673414,1
"aak",0.945085183173703,0.0479784221769515,0.0055748800005605,0.00113242818972592,0.000225383381285638,3.61054941822037e-06,9.25283547559275e-08,1,1.06344560818961,1
"aal",0.86053649246329,0.113534712086639,0.019381064082738,0.00514304989460035,0.00136805151464447,3.53133102649617e-05,1.31664782376806e-06,1,1.17338266243276,2
"aan",0.0737275852904017,0.20487498305452,0.201399121528379,0.196001105959692,0.24822970004263,0.0606201505446644,0.0151473535797134,5,3.58258021836248,5
"aap",0.247867723696234,0.323699724338012,0.191811739233224,0.126128516836943,0.0966417819968087,0.0121751261574642,0.00167538774131404,2,2.54320383853773,1
"aaq",0.139275496397061,0.272881849687107,0.21140471656935,0.17077114499475,0.169667690936108,0.0303156877596871,0.00568341365593839,2,3.07235440228855,6
"aar",0.996196273008713,0.00359641319916659,0.000183547833688014,2.13750820116099e-05,2.37673299985364e-06,1.39782311281422e-08,1.6518975076707e-10,1,1.00403721192687,1
"aas",0.0420380757113954,0.151226589445826,0.177782926728762,0.199441485805395,0.305506625049745,0.0944432960730768,0.0295610011858001,5,3.9767258879987,5
"aat",0.468860528949528,0.314457046863282,0.123314188232675,0.0595179543866624,0.0313311342820478,0.00231653700945411,0.000202610276351933,1,1.87776217032219,3
"aau",0.996275380326538,0.00352276368518512,0.000178798721194307,2.07456162572006e-05,2.29806699558743e-06,1.34259732220698e-08,1.57857060756328e-10,1,1.00395185832134,1
"aaw",0.935462253142608,0.0558658854912454,0.00690017346973071,0.00146188866410557,0.000304398332589439,5.25798021910884e-06,1.42919501788796e-07,1,1.07529663917149,1
"aax",0.841461394946528,0.127241527304217,0.0230751429313738,0.00638925321312245,0.00178113451831419,4.95842293587456e-05,1.96285708542465e-06,1,1.1999438091689,1
"aaz",0.689212803909055,0.223110505081184,0.0584345301304581,0.0210165782037399,0.00785828375694397,0.000347379732907882,1.99191857116476e-05,1,1.43631884875991,1
