"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","P[Y=5]","P[Y=6]","P[Y=7]","y_hat","y_avg","y_obs","latent1","latent2"
"adt",0.0157222276376293,0.0828341517574575,0.127176800390855,0.177002224946844,0.364968849830883,0.160615729605233,0.0716800158310984,5,4.56122856971599,5,-0.438771430284014,0
"adw",0.034424850572321,0.134651017001697,0.167810788453938,0.197270618937397,0.322020865944878,0.107526068220253,0.0362957908695168,5,4.10557300081964,2,2.10557300081964,3
"adx",0.788057035090808,0.163614247908268,0.0343587058729664,0.0105530125193107,0.00330147770346956,0.000110458544809289,5.06236036856844e-06,1,1.27777927491227,1,0.277779274912269,0
"ady",0.773807194229552,0.172823267048149,0.0375869285259173,0.0118356426207543,0.00380752014073882,0.000133127214305917,6.32022058288939e-06,1,1.29943768992023,1,0.299437689920228,0
"adz",0.999560067350305,0.000425858157932613,1.29227539524823e-05,1.06766530982849e-06,8.38060126850948e-08,2.64542610040053e-10,1.9444446053285e-12,1,1.0004552432202,1,0.000455243220197632,0
"aea",2.16607999047842e-09,2.70829834570615e-07,3.59154219269221e-06,3.27021488848772e-05,0.00136622099225139,0.0106266029046602,0.987970609416096,7,6.98652711534976,7,-0.0134728846502412,0
"aee",0.791133327764721,0.161598705536285,0.0336733289814072,0.010285740492963,0.00319811552741167,0.000105963037466239,4.81865974610862e-06,1,1.27315377423344,1,0.273153774233443,0
"aek",0.0123900852480461,0.0709068882732717,0.115372642180188,0.168377906114909,0.371182146856157,0.176424110736148,0.0853462205912798,5,4.68571235563142,5,-0.314287644368576,0
"ael",0.725322366148402,0.202574873000389,0.0491986546926481,0.0167617007366297,0.00589303908672567,0.000236795341952756,1.25709932526918e-05,1,1.37608884361176,1,0.376088843611757,0
"aem",0.17415928137178,0.295441066387364,0.207847520280381,0.155848470904568,0.14080737926189,0.0221813744259636,0.00371490736805358,2,2.87510735304753,5,-2.12489264695247,-3
"aeq",0.274818052369726,0.329012900679957,0.184349632249756,0.116183121827645,0.084462397146189,0.00989529439982006,0.0012786013269076,2,2.44125919920771,2,0.441259199207705,0
"aer",0.838673608016189,0.129213002453714,0.0236305549954432,0.00658190447741214,0.00184689742427502,5.19585374783027e-05,2.07409548813597e-06,1,1.20387965283426,1,0.203879652834257,0
"aeu",0.742024136434472,0.192604501957781,0.0450927351934798,0.0149650790488195,0.00510757268978967,0.000195952360889762,1.0022314768432e-05,1,1.34915539594342,3,-1.65084460405658,-2
"aew",0.721279652485916,0.204943750716837,0.0502086383553958,0.0172126570770754,0.0060944483132982,0.000247592038453148,1.3261013024346e-05,1,1.38269431818246,3,-1.61730568181754,-2
"aey",0.992058605288202,0.00740966925917663,0.000462249805523229,6.15576590493605e-05,7.85825391125261e-06,5.88958399827533e-08,8.38297986582859e-10,1,1.008550574372,2,-0.991449425627996,-1
"aez",0.901342982965682,0.0829119307554483,0.0121474794973432,0.00289692737988623,0.000685579301049066,1.46306656394479e-05,4.69434951910763e-07,1,1.1187159590319,1,0.118715959031899,0
"afd",0.599474932964755,0.267793100209315,0.083303229772237,0.0339304816204976,0.01463809954664,0.000805015659268049,5.51402272870316e-05,1,1.5990993224619,1,0.599099322461905,0
"afe",0.958780123243036,0.0365353197260553,0.00382567274643519,0.000723531611332207,0.000133428526074009,1.88053226346518e-06,4.36148034355099e-08,1,1.04690063850736,1,0.0469006385073563,0
"afi",0.504801600776047,0.30403505246509,0.111962259160746,0.0515926231656763,0.0257111356660717,0.00175386823429802,0.000143460532070705,1,1.79521208731181,3,-1.20478791268819,-2
"afk",0.85145360871182,0.120108829242619,0.0211166231582565,0.00572080821037635,0.00155683739604351,4.16927855042548e-05,1.60049538022733e-06,1,1.18594991667424,1,0.185949916674238,0
"afn",0.672182373944972,0.232300998877545,0.0629525267942578,0.0232045108253548,0.00892326055719794,0.000411870515724,2.44584849479201e-05,1,1.46571873065922,5,-3.53428126934078,-4
"afo",0.906261642492875,0.0790970820789286,0.011342567158149,0.00266489466459618,0.000620514349410795,1.2894116465878e-05,4.0513957477728e-07,1,1.11232585920644,1,0.112325859206436,0
"afp",0.552240334202752,0.287381487108708,0.0973392779446159,0.0421864476005155,0.0195634552514938,0.00119920195353107,8.97959383830971e-05,1,1.69340799220342,1,0.693407992203416,0
"afr",0.998880137379337,0.00107522561538043,4.04400537741267e-05,3.84734538039222e-06,3.48173721409495e-07,1.41972522627043e-09,1.26818555656882e-11,1,1.00116904762867,1,0.00116904762867276,0
"afs",0.200725830866048,0.308269454144323,0.203059745877841,0.144755247404213,0.122697046524045,0.0177390610967344,0.00275361408679653,2,2.74465986421327,4,-1.25534013578673,-2
"aft",0.138811223429185,0.272530618544718,0.2114243428933,0.170969931283431,0.170098758297092,0.0304476625595094,0.00571746299276432,2,3.07522722212411,2,1.07522722212411,0
"afu",0.994245271750444,0.00540324461433017,0.000308166977752156,3.86477977746269e-05,4.6372676331119e-06,3.11836780841901e-08,4.08387434980284e-10,1,1.00615422940241,1,0.00615422940240551,0
"afz",0.458099716340287,0.317183267321051,0.126747355727224,0.0620319945336495,0.0331986174446575,0.00251463479209757,0.000224413841033888,1,1.90348808916177,2,-0.0965119108382324,-1
"agb",0.988712782689153,0.0104486346297591,0.000721503310369243,0.000102864330857488,1.40937039425637e-05,1.19466544656888e-07,1.86937421098321e-09,1,1.01225721760781,1,0.0122572176078088,0
"agc",0.980824598910715,0.0174950790532606,0.00141962282449193,0.000225688766176568,3.46465462718326e-05,3.57392058059069e-07,6.50702547400073e-09,1,1.0211518031883,1,0.0211518031883049,0
"agd",0.997010493117423,0.00283670987910678,0.000135980439510686,1.51892484105964e-05,1.61839033496758e-06,8.82675477154038e-09,9.84593517827648e-11,1,1.00316075678923,1,0.00316075678922978,0
"age",0.993962239548738,0.00566397500343452,0.000327322946465758,4.14133767671077e-05,5.01440947586751e-06,3.4260915326989e-08,4.54203341604398e-10,1,1.00646309269437,1,0.00646309269436762,0
"agg",0.815304730896325,0.145423221957487,0.0284354011473628,0.00830315864471731,0.00245517552679753,7.51070757194494e-05,3.20475159110156e-06,1,1.2374189661817,1,0.237418966181699,0
"agh",0.961700466753266,0.0340597170442664,0.00347551788940148,0.000645791469694346,0.000116874938822731,1.595795656395e-06,3.6108892320641e-08,1,1.04342382261908,1,0.0434238226190793,0
"agj",0.838129035571917,0.129597173997955,0.023739502454601,0.00661985171770973,0.00185990845738515,5.2431433611555e-05,2.09636682046987e-06,1,1.20465010325881,1,0.204650103258807,0
"agk",0.209024506827998,0.311619732777451,0.201297344488227,0.141369871568843,0.117597703472905,0.0165748880231388,0.00251595284143802,2,2.70668500751637,5,-2.29331499248363,-3
"agl",0.574867879990718,0.278356375840609,0.0905433132019284,0.0380984547286256,0.0170690130033558,0.00099365214763325,7.13110871293221e-05,1,1.64741054570471,1,0.647410545704708,0
"agm",0.912816117654229,0.0739705455158745,0.0102942284917646,0.00236874954484134,0.00053923308028736,1.07962548709928e-05,3.29458131886895e-07,1,1.10387814147822,1,0.103878141478223,0
"agn",0.844887344962303,0.124807704382209,0.0223979274054883,0.00615618445543675,0.00170223515914059,4.67712775306106e-05,1.83235789219527e-06,1,1.19512590373106,1,0.195125903731064,0
"ago",0.795452951114461,0.158752109046174,0.0327179790301791,0.00991617687527546,0.00305641443252946,9.98774821711068e-05,4.49201920993403e-06,1,1.26668859498859,1,0.266688594988591,0
"agq",0.93767254703966,0.0540648875702163,0.00658920060636181,0.00138321004783704,0.000285179219193021,4.84549542201229e-06,1.30021309829864e-07,1,1.07255864340819,1,0.0725586434081924,0
"agr",0.856891623225913,0.116183237703913,0.0200723253843693,0.00537148912918084,0.00144211281053996,3.77861090595788e-05,1.42563702409948e-06,1,1.1784082914698,1,0.178408291469796,0
"ags",0.910492503868526,0.0757936095279055,0.0106626490437339,0.00247202398295843,0.000567346057445794,1.15124840857073e-05,3.55035344457022e-07,1,1.10686405642653,1,0.106864056426527,0
"agt",0.694973996871483,0.219928956656326,0.0569291472643995,0.020303068515111,0.00751880492803925,0.000327472428429232,1.8553336212479e-05,1,1.42652035860204,1,0.426520358602036,0
"agu",0.553601705620683,0.286857646634291,0.0969268757694765,0.0419334098192221,0.0194059160672611,0.0011858739421986,8.85721468685263e-05,1,1.69059609449216,1,0.690596094492158,0
"agv",0.776991219830087,0.17078376319673,0.0368580576990741,0.0115426561749591,0.00369049317051739,0.000127790028643493,6.01989998871844e-06,1,1.29456488934498,4,-2.70543511065503,-3
"agw",0.924998771104273,0.0643083518422295,0.00842268021030268,0.00185826751137397,0.000404206414136077,7.50695148477032e-06,2.15966199923479e-07,1,1.08838417100812,1,0.0883841710081246,0
"agx",0.820124676704777,0.142125867549462,0.0274229991119388,0.00793251934089034,0.00232116474558552,6.98322157386411e-05,2.94033160741503e-06,1,1.23042088584669,1,0.23042088584669,0
"agy",0.557194856257209,0.285463141991776,0.095840512387506,0.0412699507651906,0.0189948131673542,0.00115131107372912,8.54143572350807e-05,1,1.68320231324383,1,0.683202313243832,0
"agz",0.722952797394833,0.203965463992213,0.0497898870803187,0.0170252552269532,0.0060105457753924,0.000243078751571035,1.29717787178407e-05,1,1.37995641136544,1,0.379956411365442,0
"aha",0.994857971735631,0.0048376808580759,0.000267581488707869,3.28778813037944e-05,3.8626863914093e-06,2.5031251738028e-08,3.18637893848006e-10,1,1.00548705529305,1,0.0054870552930546,0
"ahb",0.481196154998698,0.311104367106139,0.119396281016046,0.0567170930245867,0.0292988178310875,0.00210718266187038,0.00018010336157237,1,1.84886001301513,1,0.848860013015128,0
"ahg",0.479219571212054,0.311657660126595,0.120022670168772,0.057160126064054,0.0296169131376356,0.00213951694096903,0.000183542349920129,1,1.85344987001121,5,-3.14655012998879,-4
"ahh",0.679753980541884,0.228254738294241,0.0609314513963,0.022217140142508,0.00843822404042538,0.000382122013234731,2.23435714077347e-05,1,1.45256662917069,2,-0.547433370829314,-1
"ahi",0.947311522784802,0.0461360686523622,0.00527914175864586,0.00106109023296663,0.000208811300070111,3.2823855207198e-06,8.28856321355431e-08,1,1.06072977731023,1,0.0607297773102307,0
"ahk",0.956482410474129,0.0384740535609144,0.00410708089161949,0.000787078123567264,0.00014720237029664,2.12439196556335e-06,5.01875081493353e-08,1,1.04964918228092,1,0.0496491822809184,0
"ahl",0.951268553799147,0.0428446921300386,0.00476411125235365,0.000938909280646327,0.000180920687139263,2.74540560318837e-06,6.7445071527672e-08,1,1.05592745692369,1,0.0559274569236869,0
"ahm",0.88090211641419,0.0984769257574959,0.0156513691121266,0.00395058747777388,0.000994696922915872,2.34881095507733e-05,8.16205946496673e-07,1,1.14573255189017,1,0.145732551890167,0
"ahn",0.79766416243486,0.157287510434926,0.0322321390213289,0.00972958043969174,0.00298541348791781,9.68625548677382e-05,4.33162640767204e-06,1,1.26339248628111,1,0.263392486281115,0
"aho",0.0630909263299452,0.189055014292158,0.195779875268654,0.198539898074507,0.265566577176603,0.0694539957479978,0.0185137131101357,5,3.6968530251602,6,-2.3031469748398,-1
"ahp",0.921762634173963,0.0668922134056367,0.00890976242602204,0.00198876832225992,0.00043807165164178,8.30710137766921e-06,2.42919099280314e-07,1,1.09247332285251,1,0.0924733228525116,0
"ahs",0.962738345391189,0.0331767262261834,0.00335315666959168,0.000618988943546617,0.00011124789342476,1.50121626452115e-06,3.36597997252497e-08,1,1.04219270600983,1,0.0421927060098266,0
"aht",0.0032301971154814,0.0280805769382495,0.0612713955546655,0.114004779449879,0.356680783542095,0.250360079962385,0.186372187437245,5,5.28939436500099,4,1.28939436500099,1
"aia",0.965396416454436,0.0309075603767878,0.0030449236397776,0.000552350011112646,9.74472738415333e-05,1.27435916841279e-06,2.78848758528127e-08,1,1.03905078589014,1,0.0390507858901441,0
"aib",0.404049511256933,0.327894159772457,0.144123812907779,0.0757011952846355,0.0440839455084041,0.00377413871489451,0.000373236554897183,1,2.04069126637939,2,0.040691266379393,-1
"aic",0.154841730774822,0.28384279624144,0.210286254249302,0.164092910079545,0.155973166237473,0.0262871051623499,0.00467603725506838,2,2.98007844927073,4,-1.01992155072927,-2
"aid",1.55350085292689e-08,1.46345286696628e-06,1.61249396569402e-05,0.000124014219319037,0.00385224619726528,0.0234033380182282,0.972602797637655,7,6.96844821669627,7,-0.0315517833037298,0
"aie",0.843208021221239,0.126002233545033,0.0227291444440328,0.0062699224283298,0.00174064703662713,4.81358398538578e-05,1.8954848843844e-06,1,1.19748492997317,3,-1.80251507002683,-2
"aif",0.858033058283569,0.115355321909894,0.0198550933189553,0.0052994594182848,0.00141867689111619,3.69993637268085e-05,1.39081445360567e-06,1,1.17683193607248,1,0.17683193607248,0
"aig",0.795408695255857,0.158781370634017,0.0327277249926801,0.00991992930354058,0.00305784602820569,9.99385098972017e-05,4.49527580259623e-06,1,1.26675465684712,1,0.266754656847124,0
"aih",0.301567786066435,0.332138041577526,0.176466909022178,0.106836573959885,0.0739222781395201,0.00808400851953472,0.000984402714921839,2,2.34759715294682,2,0.347597152946821,0
"aii",0.782696461676831,0.167103122349739,0.0355628629072,0.0110268898990282,0.00348653010884037,0.000118623086705516,5.50997165671419e-06,1,1.28588181356005,2,-0.714118186439947,-1
"aik",0.753952038788254,0.185304228433344,0.0422276278412066,0.0137466179325779,0.00459078415223657,0.00017023104212277,8.47181025820376e-06,1,1.3302644605946,1,0.330264460594601,0
"ail",0.401586539345279,0.328256559824572,0.144917473046596,0.0763670312274226,0.0446464936701729,0.00384394970650637,0.000381953179451555,1,2.04729004188996,3,-0.952709958110035,-2
"aim",0.867371566626711,0.108530266978278,0.0181039011662424,0.00472697102440844,0.00123518675596035,3.09784550512893e-05,1.12899334936412e-06,1,1.16402139564318,1,0.164021395643182,0
"ain",0.0331349181051883,0.131642006850591,0.165856633805627,0.196686605213394,0.324925983212662,0.11006840040979,0.0376854524027478,5,4.12957373941811,5,-0.870426260581888,0
"aio",0.248941429733963,0.323956334278236,0.191525960736486,0.125722201534794,0.096122989127597,0.0120739042747736,0.00165718031415041,2,2.53897942012475,2,0.538979420124749,0
"aip",0.312169973882037,0.332836083219138,0.173245205126012,0.103276100641636,0.0701170345955154,0.00746683693604167,0.000888765599621033,2,2.31228971205606,5,-2.68771028794394,-3
"aiq",0.881867092157356,0.0977524228465155,0.0154804044921014,0.00389761631614061,0.000978661408282289,2.30061444332907e-05,7.96635170940974e-07,1,1.14444053694546,1,0.144440536945462,0
"air",0.538989350946079,0.2923494117849,0.101375786731081,0.0446977262235073,0.0211492912974491,0.00133589605141593,0.000102536965567057,1,1.72108603115786,1,0.721086031157863,0
"ait",5.75192320272342e-06,0.000205826723508498,0.00119083842257311,0.00513626205769216,0.0597423168087838,0.153779149141038,0.779939854923202,7,6.70550043222127,7,-0.294499567778733,0
"aiw",0.984785193104432,0.0139758847693997,0.00105551971423956,0.000159853636217067,2.33245656816594e-05,2.20458258759493e-07,3.75177156008988e-09,1,1.01666090817118,1,0.0166609081711797,0
