"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","P[Y=5]","P[Y=6]","P[Y=7]","y_hat","y_avg","y_obs","latent1","latent2"
"aaa",0.977324980077873,0.0205765971179752,0.00176127519779623,0.000290330615977497,4.62974859803955e-05,5.09743580123789e-07,9.76081770964754e-09,1,1.02515793658823,1,0.0251579365882288,0
"aab",0.889791453814538,0.0917645237089647,0.0140969130696667,0.00347471003431832,0.000852455543674968,1.9295333768321e-05,6.4849506875575e-07,1,1.13389266976521,1,0.133892669765207,0
"aac",0.100340160229238,0.237620779684982,0.209327705758319,0.186894313595666,0.211360079921527,0.0446899266052603,0.00976703420500669,2,3.34445128993107,2,1.34445128993107,0
"aad",0.385178247931798,0.330371856697472,0.150199379074481,0.0809022229509705,0.0485606513265943,0.00434218569844458,0.000445456320239401,1,2.09210355541938,1,1.09210355541938,0
"aae",0.695702093491842,0.219524286359855,0.0567397396388701,0.0202138441057094,0.00747662822166073,0.000325021766766076,1.83864152962787e-05,1,1.42528723816697,2,-0.574712761833025,-1
"aaf",0.324502769085006,0.333286479255221,0.169443325825045,0.0992360858938556,0.0659310686039408,0.00681047920590927,0.000789792131022482,2,2.27239681181832,2,0.272396811818322,0
"aag",0.531491568145763,0.295053749590645,0.103677094491543,0.0461579740912261,0.0220900313243241,0.00141912490366658,0.000110457452832557,1,1.73700035538003,1,0.737000355380034,0
"aai",0.948262624461995,0.0453469435699444,0.00515409777964582,0.00103118195414065,0.000201925278473514,3.14797591960403e-06,7.89798808575881e-08,1,1.05957259986444,1,0.0595725998644352,0
"aak",0.869035694624707,0.107304349336471,0.0177967821783913,0.00462809626117899,0.00120401030239092,2.99808391099887e-05,1.08645775054317e-06,1,1.16175466662841,1,0.161754666628408,0
"aal",0.846568226949906,0.123609129371175,0.0220678329561468,0.00604331665030877,0.00166429071289487,4.54325979420966e-05,1.77076162621859e-06,1,1.19276969564544,2,-0.807230304354558,-1
"aan",0.0454837776524582,0.158143524518172,0.181559565768871,0.199856743480929,0.298402960295252,0.0894061420602934,0.0271472862240242,5,3.92435915532532,5,-1.07564084467468,0
"aap",0.184190823692143,0.300681831018697,0.206209757276334,0.151618462878563,0.13362661775371,0.0203615781042146,0.00331092927634002,2,2.824136671401,1,1.824136671401,1
"aaq",0.146007386498629,0.277812469358005,0.21102683169713,0.167884487859523,0.163568839454469,0.0284826599346364,0.00521732519760809,2,3.03151220500754,6,-2.96848779499246,-4
"aar",0.99641789588579,0.003389996106541,0.000170309722765216,1.96266656362631e-05,2.15901489430959e-06,1.24592568484516e-08,1.45116252348032e-10,1,1.00379819477554,1,0.00379819477553944,0
"aas",0.0461454814490151,0.159434646420939,0.182240022015866,0.199903989844293,0.297065322134562,0.0884912663793334,0.0267192717559915,5,3.91465991095641,5,-1.08534008904359,0
"aat",0.631105737950538,0.253117096074382,0.0742482636466255,0.02898060277145,0.0119017185855353,0.000607436443429532,3.91445280403246e-05,1,1.53943435540951,3,-1.46056564459049,-2
"aau",0.982081935424678,0.0163816814020722,0.0013013088372511,0.000203922449875438,3.08364059229405e-05,3.09948901655588e-07,5.53129886338155e-09,1,1.01972099498219,1,0.0197209949821939,0
"aaw",0.878729195099047,0.100104669048189,0.0160382968282258,0.00407103703682343,0.00103134237935076,2.45980597295414e-05,8.61548634323306e-07,1,1.14864790292297,1,0.148647902922967,0
"aax",0.841079621404108,0.127511987449357,0.0231509743800371,0.00641547682618071,0.00179005731066939,4.99048103580479e-05,1.97781928990004e-06,1,1.20048198689818,1,0.200481986898181,0
"aaz",0.743743761247592,0.191561235999246,0.0446761776337135,0.0147861169505318,0.00503084824863398,0.000192074227789107,9.78569249399097e-06,1,1.34641442040671,1,0.346414420406714,0
"aba",0.997766540088616,0.00212765491269429,9.47076952826365e-05,1.00715605831914e-05,1.02059744144789e-06,5.09231701251167e-09,5.30651078634037e-11,1,1.00235139315475,1,0.00235139315475075,0
"abb",0.880523472319558,0.098760936253982,0.0157185993946066,0.00397145996488102,0.00100102902961119,2.36790577708978e-05,8.23979590669488e-07,1,1.14623997022268,2,-0.853760029777318,-1
"abc",0.664329364455502,0.236429752491618,0.0650693143847374,0.0242536089104428,0.00944648481635957,0.000444646905073176,2.68280362668571e-05,1,1.47949935000083,1,0.479499350000826,0
"abd",0.432402622045546,0.322915351676456,0.134990294657234,0.0683096986428048,0.038042630985121,0.00305337990324273,0.000286022089596272,1,1.96697859291361,1,0.966978592913613,0
"abe",0.0025997739727009,0.0240292423675149,0.0547321076949204,0.105566594875956,0.348255406166646,0.258820195124309,0.205996679797953,5,5.37329592146107,5,0.373295921461071,0
"abf",0.173466809136976,0.295060437570319,0.207951996976848,0.156142025649445,0.141319617347087,0.0223141839141672,0.00374492940515769,2,2.87870947386248,3,-0.121290526137519,-1
"abg",0.00156743566681478,0.0166244422439323,0.0416902309598692,0.0871921050949328,0.324432020100669,0.274059663915446,0.254434102018336,5,5.55621223153839,5,0.556212231538392,0
"abi",0.989901981076949,0.009372413463971,0.000626433122785763,8.73737533859664e-05,1.17017909374573e-05,9.53447938378815e-08,1.44717660077731e-09,1,1.01093469354048,1,0.010934693540479,0
"abj",0.00597679314912881,0.0432975813440512,0.0831333045834219,0.139059287148026,0.372542988680907,0.220603340290519,0.135386704803947,5,5.03225093695487,7,-1.96774906304513,-2
"abk",0.833985388224861,0.132510274241209,0.0245732871395908,0.00691196113916748,0.0019606885755552,5.61288935453375e-05,2.27178607148382e-06,1,1.21052976142427,1,0.21052976142427,0
"abl",0.65044683097617,0.243557468285328,0.0688615403672723,0.026171419144811,0.0104235510263267,0.000507695398150099,3.14948019420891e-05,1,1.50421645636202,1,0.504216456362015,0
"abm",0.933154419249243,0.0577397148646406,0.00722891185173291,0.00154593135979508,0.000325154082404966,5.71130440285561e-06,1.57287781021864e-07,1,1.07816544922581,1,0.0781654492258119,0
"abn",0.988782122635784,0.0103859937038951,0.000715877199470305,0.000101937627622339,1.39490104613671e-05,1.17979787161993e-07,1.84297943572886e-09,1,1.01217995798436,1,0.0121799579843609,0
"abo",0.547668739593658,0.289122347754379,0.0987273337996715,0.0430429056594329,0.0200997394065419,0.00124491507485824,9.40187114584212e-05,1,1.70289337760123,1,0.70289337760123,0
"abp",0.812145195295753,0.147571711030722,0.0291049324688453,0.00855054957295309,0.0025455086362457,7.87152807639746e-05,3.38771471664057e-06,1,1.24202916192437,1,0.242029161924374,0
"abq",0.723934799220371,0.203389897978465,0.0495446081381995,0.0169157694261531,0.00596166137053777,0.000240459429129425,1.28044371443536e-05,1,1.37835219178399,1,0.378352191783988,0
"abr",0.999296821824318,0.000678102927773816,2.28777670576719e-05,2.02627825907076e-06,1.70586708092557e-07,6.10940298351181e-10,4.94349006174843e-12,1,1.00073062272786,1,0.000730622727861174,0
"abs",0.742454051507239,0.192343971426613,0.044988483997217,0.0149202329518475,0.00508832008700866,0.000194977300241872,9.96272983244673e-06,1,1.34846958150483,1,0.348469581504829,0
"abt",0.999628925541079,0.00035965178552877,1.05103973415677e-05,8.47204592813178e-07,6.48742538578162e-08,1.95812699388398e-10,1.39110944985532e-12,1,1.00038347467842,1,0.000383474678415707,0
"abu",0.993610522595235,0.00598753249857475,0.000351470608494386,4.49356601769368e-05,5.49982861897114e-06,3.8293819226709e-08,5.15080755825181e-10,1,1.00684747457015,1,0.00684747457015078,0
"abw",0.829925265814787,0.135347431752235,0.0253984345057227,0.00720396860364858,0.00206251943647462,5.99256812212623e-05,2.45420591060697e-06,1,1.2163206379621,1,0.216320637962095,0
"aby",0.724627920881335,0.202983030464477,0.0493717047730914,0.0168387157321523,0.0059273170256704,0.000238623735083099,1.2687388190824e-05,1,1.37722109831436,1,0.377221098314358,0
"abz",0.789012162496159,0.162989505356807,0.0341454662951636,0.0104696657782486,0.00326916621120243,0.000109048173479898,4.98568894002904e-06,1,1.27634125512773,1,0.276341255127729,0
"aca",0.226182428324995,0.317653686712027,0.197332194529717,0.134510035973054,0.107786609869467,0.014438886623235,0.00209615796750495,2,2.6317660040897,2,0.631766004089696,0
"acd",0.872858846355832,0.104476773060635,0.0170969749218407,0.00440454097114229,0.00113409965726563,2.77718399037674e-05,9.93193380982582e-07,1,1.15656556280661,1,0.156565562806611,0
"ace",0.886901337394349,0.0939563247570825,0.0145972277526466,0.00362645080806134,0.00089736075646929,2.05985409574838e-05,6.99990433949971e-07,1,1.13772676835983,2,-0.862273231640172,-1
"acf",0.885356561166716,0.0951241040453766,0.0148666642961922,0.00370873354819967,0.000921889753092597,2.13185001095573e-05,7.28690313533953e-07,1,1.13978215693716,1,0.139782156937159,0
"ach",0.999274959070181,0.000698998982673005,2.37493314823034e-05,2.11322619814158e-06,1.78738675749024e-07,6.45532627352452e-10,5.25690602160012e-12,1,1.00075355553814,1,0.000753555538139494,0
"aci",0.00395426098845881,0.0324228597483044,0.0679054379967913,0.122097551367424,0.363314362522405,0.241486925085175,0.168818602291442,5,5.2081300791083,7,-1.7918699208917,-2
"ack",0.0391606547230829,0.145184536792642,0.174300688750271,0.198848213192269,0.311617040717846,0.0990396243983617,0.0318492414255268,5,4.02309228728635,7,-2.97690771271365,-2
"acl",0.00761137030139184,0.0511267701844765,0.0930941975149691,0.149035245285729,0.374820032510264,0.206848132733906,0.117464251469264,5,4.92272720359777,7,-2.07727279640223,-2
"acn",0.680834171773444,0.227672279811978,0.0606447268301769,0.0220781950585968,0.00837055071530746,0.000378021021647967,2.20547888489797e-05,1,1.45070095535069,3,-1.54929904464931,-2
"acp",0.823863846170327,0.139551405143828,0.0266451596392323,0.00765059896791886,0.00222031734907102,6.5925778751974e-05,2.74695087087995e-06,1,1.22502090132132,1,0.225020901321318,0
"acr",0.787257745902314,0.16413633554735,0.0345374595894309,0.0106230127647811,0.00332866996585035,0.00011164900217786,5.12722809564714e-06,1,1.27898398126342,1,0.27898398126342,0
"acs",3.09725939986122e-07,1.8350572666128e-05,0.00014883428584934,0.000867777201030459,0.0167263809653589,0.067541676016905,0.91469667123225,7,6.89571328208692,7,-0.104286717913082,0
"acu",0.677829406214534,0.229289289198814,0.0614433076853317,0.0224658811721281,0.00855973360830653,0.000389516152697778,2.28659681883459e-05,1,1.45589725909171,1,0.455897259091706,0
"acv",0.00426364868534754,0.0341945901738289,0.0705133067317533,0.125157385110724,0.36545250890165,0.237946590345287,0.162471970051409,5,5.177068166611,5,0.177068166610999,0
"acz",0.000568364090308786,0.00779369935917619,0.0233740775543619,0.0569051797886352,0.266458212353344,0.285662492517899,0.359237974336274,7,5.87483055185433,1,4.87483055185433,6
"ada",0.997439042852867,0.00243526514562775,0.000112209690392384,1.22092046398459e-05,1.26644903719608e-06,6.58658805274825e-09,7.08474390265224e-11,1,1.00270141129451,1,0.00270141129450563,0
"add",0.778387276701832,0.169886225793789,0.0365398392743735,0.0114153579899805,0.00363990803427505,0.000125500379608678,5.89182614152417e-06,1,1.29243446330447,1,0.29243446330447,0
"ade",0.975963981275178,0.0217683792100081,0.00189877663953009,0.000317032661497629,5.12416245925795e-05,5.77335054208206e-07,1.12541392871535e-08,1,1.02672495117204,1,0.0267249511720382,0
"adg",0.000459369544514015,0.00662974842292916,0.0206018866499949,0.0517017981511277,0.253627915864335,0.285080587763124,0.381898693603976,7,5.93424568007311,5,0.934245680073115,2
"adh",0.990281407619061,0.00902815628605258,0.000596752958069935,8.26145772557796e-05,1.0978976224596e-05,8.8257558594762e-08,1.32577748779283e-09,1,1.01051387108132,1,0.0105138710813162,0
"adi",0.981501349271508,0.0168962294593882,0.00135563775880354,0.000213875196078961,3.25709562548626e-05,3.31388243846042e-07,5.96972227207004e-09,1,1.0203811071498,1,0.0203811071498046,0
"adj",0.998219172393561,0.00170119619221965,7.15791261458598e-05,7.33345632430993e-06,7.15462021960711e-07,3.33670502339345e-09,3.30220295552408e-11,1,1.00186923354323,1,0.00186923354322954,0
"adl",0.945715760495264,0.0474572863396939,0.00549068843263545,0.00111203437070695,0.000220624979293538,3.51565746914417e-06,8.97249374798292e-08,1,1.06267538287123,1,0.0626753828712303,0
"adn",0.831845784289557,0.134007522720861,0.0250071215023557,0.00706512859042485,0.00201396836893297,5.81079390480355e-05,2.36658881946905e-06,1,1.21357776420074,2,-0.786422235799264,-1
"ado",0.964696329935282,0.0315063136530974,0.00312537817983716,0.00056961990459603,0.000100996995663349,1.33199346707968e-06,2.93380570948187e-08,1,1.03987675370489,1,0.0398767537048914,0
"adq",0.778877204776812,0.169570769540413,0.03642836187998,0.0113708522143512,0.00362226012982991,0.000124704065930015,5.8473926835001e-06,1,1.2916876951485,2,-0.708312304851503,-1
"adr",0.666514963211939,0.235287642367988,0.0644780984720565,0.0239590552612937,0.0092987683555551,0.000435322479561129,2.61498516065384e-05,1,1.47564959002565,1,0.475649590025648,0
