LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
aaz,1,1,1.0486278906456,0,1,1.04881770956769,0,0.00018981892209,1,1.0488708414642,0,0.0002429508186
aba,1,1,1.00331045475701,0,1,1.00371717578556,0,0.00040672102855,1,1.00406147911891,0,0.0007510243619
abb,1,1,1.02153257219324,0,1,1.02160988793191,0,7.73157386699808E-05,1,1.02183683057932,0,0.00030425838608
abc,1,1,1.18736905081012,0,1,1.18680444361262,0,-0.0005646071975,1,1.18666260630036,0,-0.00070644450976
abd,1,1,1.3578616544629,0,1,1.35727375451266,0,-0.00058789995024,1,1.3570914281393,0,-0.0007702263236
abe,2,3,2.63892022627415,-1,3,2.63808864475241,0,-0.00083158152174,3,2.63786403908741,0,-0.00105618718674
abg,2,2,2.36604713155844,0,2,2.36594437646814,0,-0.0001027550903,2,2.36594229514693,0,-0.00010483641151
abi,1,1,1.00177322066715,0,1,1.00175939361046,0,-1.38270566898413E-05,1,1.00175445217684,0,-1.87684903099061E-05
abk,1,1,1.00576924882245,0,1,1.00581003552163,0,4.07866991800621E-05,1,1.00582016929554,0,5.0920473090077E-05
abl,1,1,1.03595670314491,0,1,1.036023571559,0,6.68684140900932E-05,1,1.03604763027751,0,9.09271325999494E-05
abm,1,1,1.00918668562145,0,1,1.00905180656893,0,-0.00013487905252,1,1.00903280947623,0,-0.00015387614522
abn,1,1,1.01673616742689,0,1,1.01975419384278,0,0.00301802641589,1,1.02124450844911,0,0.00450834102222
abo,1,1,1.16674049366288,0,1,1.16563175943617,0,-0.00110873422671,1,1.1654229594034,0,-0.00131753425948
abp,1,1,1.07231251271611,0,1,1.07229350903155,0,-1.90036845599817E-05,1,1.07227492016028,0,-3.75925558300238E-05
abq,1,1,1.01497842583724,0,1,1.01508665679607,0,0.00010823095883,1,1.01511925232939,0,0.00014082649215
abr,1,1,1.00074789797946,0,1,1.00076462642691,0,1.67284474501539E-05,1,1.00079049517648,0,4.25971970201555E-05
abs,1,1,1.00203159121475,0,1,1.00203666599543,0,5.07478068012546E-06,1,1.00203732896135,0,5.73774660006521E-06
abt,1,1,1.00000005033386,0,1,1.00000005043822,0,1.04360076136345E-10,1,1.0000000504478,0,1.13939968571231E-10
abu,1,1,1.02156714032117,0,1,1.02488332934296,0,0.00331618902179,1,1.02725438401166,0,0.00568724369049
abw,1,1,1.00929189445219,0,1,1.00927718948453,0,-1.47049676599842E-05,1,1.00927516584041,0,-1.67286117800369E-05
aby,1,1,1.01152933562057,0,1,1.01152487759493,0,-4.45802563997511E-06,1,1.0115238917459,0,-5.44387466994145E-06
abz,1,1,1.01022147687014,0,1,1.0102763283632,0,5.48514930598376E-05,1,1.01028967186654,0,6.81949963998729E-05
aca,1,1,1.26255202116939,0,1,1.35075499648069,0,0.0882029753113,1,1.40853817266169,0,0.1459861514923
acd,1,1,1.00626303664176,0,1,1.00625690257351,0,-6.13406825000773E-06,1,1.00625306633868,0,-9.97030308003133E-06
ace,1,1,1.0007638977142,0,1,1.00076943026096,0,5.53254676005643E-06,1,1.0007709836435,0,7.08592929998808E-06
acf,1,1,1.00063394634128,0,1,1.00063377460315,0,-1.71738129939314E-07,1,1.00063334262268,0,-6.03718599778702E-07
ach,1,1,1.00008029642835,0,1,1.0000799240402,0,-3.72388149871838E-07,1,1.000079726267,0,-5.70161349910947E-07
ack,3,2,1.79027753350008,1,2,1.79110061629954,0,0.00082308279946,2,1.79122423019948,0,0.0009466966994
acn,1,1,1.00742999481165,0,1,1.00742499615037,0,-4.99866128000903E-06,1,1.00742732305164,0,-2.67176001012004E-06
acp,1,1,1.01267277519957,0,1,1.0126724576786,0,-3.17520970183338E-07,1,1.01266688193879,0,-5.89326078004326E-06
acr,1,1,1.00769534831952,0,1,1.00769471319623,0,-6.35123289960404E-07,1,1.00769389586044,0,-1.45245907989811E-06
acs,3,3,2.99963194791358,0,3,2.99999560722842,0,0.00036365931484,3,2.99999985253136,0,0.00036790461778
acu,1,1,1.03640006013035,0,1,1.05255602734776,0,0.01615596721741,1,1.06527764696622,0,0.02887758683587
acv,2,3,2.43817898620915,-1,3,2.43845013656642,0,0.00027115035727,3,2.43849684737235,0,0.0003178611632
acz,1,2,2.0633145081282,-1,2,2.06261397512951,0,-0.00070053299869,2,2.06301467012787,0,-0.00029983800033
ada,1,1,1.00046517892528,0,1,1.00003837700779,0,-0.00042680191749,1,1.00003830821673,0,-0.00042687070855
add,1,1,1.04221447705067,0,1,1.04183958162697,0,-0.0003748954237,1,1.04177489754097,0,-0.0004395795097
ade,1,1,1.00061853329622,0,1,1.00062498964258,0,6.45634635998427E-06,1,1.00062421776761,0,5.68447138982187E-06
adg,2,2,2.1252011262155,0,2,2.12540767373643,0,0.00020654752093,2,2.12548169504589,0,0.00028056883039
adh,1,1,1.00033099623272,0,1,1.00032624303786,0,-4.75319485992998E-06,1,1.00032569355701,0,-5.3026757100838E-06
adi,1,1,1.00021733491224,0,1,1.00021822042415,0,8.85511910020398E-07,1,1.00021844275288,0,1.10784063989122E-06
adj,1,1,1.00408003104485,0,1,1.0057615061268,0,0.00168147508195,1,1.00667239330893,0,0.00259236226408
adl,1,1,1.0081292826189,0,1,1.00814846849359,0,1.91858746900753E-05,1,1.00815545896576,0,2.61763468600851E-05
ado,1,1,1.00029743824374,0,1,1.00029734481382,0,-9.34299200228139E-08,1,1.000297235958,0,-2.02285739936414E-07
adq,1,1,1.01114542346864,0,1,1.011387052401,0,0.00024162893236,1,1.01136781776297,0,0.00022239429433
adr,1,1,1.04246247695494,0,1,1.04259201955347,0,0.00012954259853,1,1.04262579610219,0,0.00016331914725
adt,2,1,1.48910437630671,1,1,1.4888172240833,0,-0.00028715222341,1,1.4887826841983,0,-0.00032169210841
adw,1,1,1.5544238728481,0,2,1.64674026023752,1,0.09231638738942,2,1.70562017861434,1,0.15119630576624
adx,1,1,1.00053492084118,0,1,1.00054121609098,0,6.29524979989249E-06,1,1.00054289972138,0,7.97888020009907E-06
ady,1,1,1.00620495666462,0,1,1.00621898068112,0,1.40240164998584E-05,1,1.00622209370764,0,1.71370430199769E-05
adz,1,1,1.0000002974904,0,1,1.00000029780303,0,3.12629921950247E-10,1,1.00000029775493,0,2.64529953497572E-10
