LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
aaa,1,1,1.00237200756681,0,1,1.00233862186051,0,-3.33857063001819E-05,1,1.00233356357524,0,-3.84439915701584E-05
aab,1,1,1.01325880542136,0,1,1.01306098267306,0,-0.0001978227483,1,1.01304159492324,0,-0.00021721049812
aac,1,1,1.28087678508661,0,1,1.28068309441102,0,-0.00019369067559,1,1.28059777174383,0,-0.00027901334278
aad,1,1,1.11861489932065,0,1,1.11833150409565,0,-0.000283395225,1,1.11830288098535,0,-0.0003120183353
aae,1,1,1.00225972836927,0,1,1.00223976537057,0,-1.99629987001071E-05,1,1.0022419574785,0,-1.77708907700413E-05
aaf,1,1,1.42551167500045,0,1,1.42484841557751,0,-0.00066325942294,1,1.42476485548022,0,-0.00074681952023
aag,1,1,1.05784750842625,0,1,1.05780432078789,0,-4.31876383599761E-05,1,1.05780396512177,0,-4.3543304479865E-05
aai,1,1,1.00048975512859,0,1,1.00049006541202,0,3.1028342983852E-07,1,1.0004899282305,0,1.7310190991715E-07
aak,1,1,1.00258415496863,0,1,1.00258429465233,0,1.39683699940107E-07,1,1.00258451721598,0,3.62247349894318E-07
aal,1,1,1.02265363336142,0,1,1.0227475776022,0,9.39442407799085E-05,1,1.02290741329026,0,0.00025377992884
aan,2,2,1.85197552228952,0,2,1.85325850246134,0,0.00128298017182,2,1.85376801212162,0,0.0017924898321
aap,1,1,1.49089908791872,0,1,1.58254272515199,0,0.09164363723327,2,1.64156555977555,1,0.15066647185683
aaq,3,2,1.94888356463991,1,2,1.94840965305083,0,-0.00047391158908,2,1.94843581403837,0,-0.00044775060154
aar,1,1,1.00002523541173,0,1,1.00001616255122,0,-9.07286050999545E-06,1,1.00001612480457,0,-9.11060716002332E-06
aas,2,2,2.14709150547657,0,2,2.1460320018583,0,-0.00105950361827,2,2.14552671527412,0,-0.00156479020245
aat,1,1,1.00760150214989,0,1,1.00753905532013,0,-6.24468297600877E-05,1,1.00754972344834,0,-5.17787015501536E-05
aau,1,1,1.00002737942105,0,1,1.00002749809008,0,1.18669030158003E-07,1,1.00002751866744,0,1.39246390196135E-07
aaw,1,1,1.00466299877383,0,1,1.00465868247368,0,-4.31630014996465E-06,1,1.00465645065663,0,-6.54811720002257E-06
aax,1,1,1.04398750537669,0,1,1.04410478988423,0,0.00011728450754,1,1.04412499534951,0,0.00013748997282
aaz,1,1,1.0486278906456,0,1,1.04879378333414,0,0.00016589268854,1,1.04882007703471,0,0.00019218638911
aba,1,1,1.00331045475701,0,1,1.00371638811884,0,0.00040593336183,1,1.00405980990881,0,0.0007493551518
abb,1,1,1.02153257219324,0,1,1.02160559198957,0,7.30197963298984E-05,1,1.02183283491041,0,0.00030026271717
abc,1,1,1.18736905081012,0,1,1.18688398760963,0,-0.00048506320049,1,1.18681408173773,0,-0.00055496907239
abd,1,1,1.3578616544629,0,1,1.35737977595637,0,-0.00048187850653,1,1.35728544965249,0,-0.00057620481041
abe,2,3,2.63892022627415,-1,3,2.63822842300392,0,-0.00069180327023,3,2.63803630675061,0,-0.00088391952354
abg,2,2,2.36604713155844,0,2,2.36591206193455,0,-0.00013506962389,2,2.36589566798205,0,-0.00015146357639
abi,1,1,1.00177322066715,0,1,1.00175923281065,0,-1.39878564999751E-05,1,1.00175389053238,0,-1.9330134769957E-05
abk,1,1,1.00576924882245,0,1,1.00580308427887,0,3.3835456420217E-05,1,1.00580696518506,0,3.77163626101851E-05
abl,1,1,1.03595670314491,0,1,1.03601909751205,0,6.23943671400617E-05,1,1.036037346345,0,8.0643200090158E-05
abm,1,1,1.00918668562145,0,1,1.00905772721979,0,-0.00012895840166,1,1.00904344945589,0,-0.00014323616556
abn,1,1,1.01673616742689,0,1,1.01975818263947,0,0.00302201521258,1,1.02125186182264,0,0.00451569439575
abo,1,1,1.16674049366288,0,1,1.16564027214387,0,-0.00110022151901,1,1.16542886942014,0,-0.00131162424274
abp,1,1,1.07231251271611,0,1,1.07229949560584,0,-1.30171102699084E-05,1,1.0722794432418,0,-3.30694743100324E-05
abq,1,1,1.01497842583724,0,1,1.01507508524359,0,9.66594063498416E-05,1,1.01509736446349,0,0.00011893862625
abr,1,1,1.00074789797946,0,1,1.00076505652587,0,1.71585464099344E-05,1,1.00079134193697,0,4.34439575101031E-05
abs,1,1,1.00203159121475,0,1,1.00203638259495,0,4.79138020015313E-06,1,1.0020360187674,0,4.42755265006589E-06
abt,1,1,1.00000005033386,0,1,1.00000005042834,0,9.44799793956008E-11,1,1.00000005043109,0,9.72300018275973E-11
abu,1,1,1.02156714032117,0,1,1.02487679576949,0,0.00330965544832,1,1.0272402376327,0,0.00567309731153
abw,1,1,1.00929189445219,0,1,1.00927784836059,0,-1.40460916000507E-05,1,1.00927699606287,0,-1.48983893200061E-05
aby,1,1,1.01152933562057,0,1,1.01152495847728,0,-4.3771432898243E-06,1,1.01152456434998,0,-4.77127058995386E-06
abz,1,1,1.01022147687014,0,1,1.01026986108302,0,4.83842128800038E-05,1,1.01027639667723,0,5.4919807089826E-05
aca,1,1,1.26255202116939,0,1,1.35139931697822,0,0.08884729580883,1,1.41005151891931,0,0.14749949774992
acd,1,1,1.00626303664176,0,1,1.00625621815526,0,-6.81848650008199E-06,1,1.00625310661299,0,-9.93002876992222E-06
ace,1,1,1.0007638977142,0,1,1.00076883998538,0,4.94227118008617E-06,1,1.00076981066401,0,5.91294981000523E-06
acf,1,1,1.00063394634128,0,1,1.00063492765572,0,9.81314440151593E-07,1,1.00063545782129,0,1.51148001004131E-06
ach,1,1,1.00008029642835,0,1,1.00008003825171,0,-2.58176639844621E-07,1,1.00007993014722,0,-3.66281129871027E-07
ack,3,2,1.79027753350008,1,2,1.79106829236844,0,0.00079075886836,2,1.79114674778845,0,0.00086921428837
acn,1,1,1.00742999481165,0,1,1.00742497665021,0,-5.01816144016232E-06,1,1.00742903531512,0,-9.59496530006376E-07
