LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
aaa,1,1,1.02889815529574,0,1,1.02227404652983,0,-0.00662410876591,1,1.01957517169154,0,-0.0093229836042
aab,1,1,1.12012007360514,0,1,1.07419719676699,0,-0.04592287683815,1,1.05550643879811,0,-0.06461363480703
aac,2,2,2.66184993227803,0,2,3.14405441776321,0,0.48220448548518,5,3.47438515459873,3,0.8125352223207
aad,1,1,1.50949431050662,0,1,1.5788196674321,0,0.06932535692548,1,1.62296162153162,0,0.113467311025
aae,2,1,1.7485775470573,1,1,2.04325175107396,0,0.29467420401666,2,2.29449959056982,1,0.54592204351252
aaf,2,1,2.05952392511207,1,1,2.08155267266914,0,0.02202874755707,1,2.21864461891394,0,0.15912069380187
aag,1,1,1.48370560336333,0,1,1.53975361953721,0,0.05604801617388,1,1.58032789739581,0,0.09662229403248
aai,1,1,1.03001819673414,0,1,1.06223815894094,0,0.0322199622068,1,1.09476208621622,0,0.06474388948208
aak,1,1,1.06344560818961,0,1,1.06756563097457,0,0.00412002278496,1,1.06999144449019,0,0.00654583630058
aal,2,1,1.17338266243276,1,1,1.13327395180885,0,-0.04010871062391,1,1.11935850201717,0,-0.05402416041559
aan,5,5,3.58258021836248,0,5,3.58225636251548,0,-0.000323855847,5,3.58194008306456,0,-0.00064013529792
aap,1,2,2.54320383853773,-1,2,2.63611017212299,0,0.09290633358526,2,2.69275257636209,0,0.14954873782436
aaq,6,2,3.07235440228855,4,2,3.07830007072815,0,0.0059456684396,2,3.08787675477461,0,0.01552235248606
aar,1,1,1.00403721192687,0,1,1.00262198669631,0,-0.00141522523056,1,1.00219229350294,0,-0.00184491842393
aas,5,5,3.9767258879987,0,5,3.8269287496122,0,-0.1497971383865,5,3.75926688001498,0,-0.21745900798372
aat,3,1,1.87776217032219,2,1,1.58976702316348,0,-0.28799514715871,1,1.59731784164921,0,-0.28044432867298
aau,1,1,1.00395185832134,0,1,1.00553461526756,0,0.00158275694622,1,1.00674312924123,0,0.00279127091989
aaw,1,1,1.07529663917149,0,1,1.15306949007584,0,0.07777285090435,1,1.23000675869551,0,0.15471011952402
aax,1,1,1.1999438091689,0,1,1.33043947922942,0,0.13049567006052,1,1.43647708300822,0,0.23653327383932
aaz,1,1,1.43631884875991,0,1,1.67100991412914,0,0.23469106536923,1,1.88131382135884,0,0.44499497259893
aba,1,1,1.00377273634013,0,1,1.00324999284725,0,-0.00052274349288,1,1.00303695949136,0,-0.00073577684877
abb,2,1,1.14126351146633,1,1,1.12940500648782,0,-0.01185850497851,1,1.1277563817114,0,-0.01350712975493
abc,1,1,1.66987928933978,0,1,2.18767607835214,0,0.51779678901236,2,2.58496185816918,1,0.9150825688294
abd,1,1,2.14683606772382,0,2,2.90403022271161,1,0.75719415498779,2,3.42873935357361,1,1.28190328584979
abe,5,5,5.48106121052311,0,5,5.40269520058301,0,-0.078366009940099,5,5.41118084473019,0,-0.06988036579292
abg,5,5,5.43457370683722,0,7,5.77121690010971,2,0.33664319327249,7,5.96146814228148,2,0.52689443544426
abi,1,1,1.00909124186595,0,1,1.00739994847727,0,-0.00169129338868,1,1.00661309460066,0,-0.00247814726529
abj,7,5,4.66280597375617,2,5,4.64711949154871,0,-0.015686482207459,5,4.63942336735193,0,-0.02338260640424
abk,1,1,1.22831150439644,0,1,1.32689485330065,0,0.09858334890421,1,1.39959231978481,0,0.17128081538837
abl,1,1,1.77915477509194,0,1,1.63414621515807,0,-0.14500855993387,1,1.44526553137426,0,-0.33388924371768
abm,1,1,1.09261114491045,0,1,1.07312264612429,0,-0.01948849878616,1,1.06568459417581,0,-0.02692655073464
abn,1,1,1.02067173307511,0,1,1.02302337734206,0,0.00235164426695,1,1.02080851188958,0,0.00013677881447
abo,1,1,1.77516026872779,0,1,1.68657309835918,0,-0.08858717036861,1,1.64664730833258,0,-0.12851296039521
abp,1,1,1.27713929001334,0,1,1.22694573971328,0,-0.05019355030006,1,1.15396776384923,0,-0.12317152616411
abq,1,1,1.72736609564313,0,1,1.58004742970954,0,-0.14731866593359,1,1.65674895654732,0,-0.07061713909581
abr,1,1,1.00132851436345,0,1,1.00120224861395,0,-0.0001262657495,1,1.00106372445847,0,-0.00026478990498
abs,1,1,1.63934076840638,0,1,2.00158771335165,0,0.36224694494527,2,2.28406123130709,1,0.64472046290071
abt,1,1,1.00055549261881,0,1,1.00166665494285,0,0.00111116232404,1,1.00319544629536,0,0.00263995367655
