LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
aaa,1,1,1.02889815529574,0,1,1.02229769411468,0,-0.00660046118106,1,1.01964672322571,0,-0.00925143207003
aab,1,1,1.12012007360514,0,1,1.08593654150502,0,-0.03418353210012,1,1.07859867803594,0,-0.0415213955692
aac,2,2,2.66184993227803,0,2,2.82192866168857,0,0.16007872941054,2,2.8043519308098,0,0.14250199853177
aad,1,1,1.50949431050662,0,1,1.57914869999678,0,0.06965438949016,1,1.62382015666751,0,0.11432584616089
aae,2,1,1.7485775470573,1,1,1.8207839767758,0,0.0722064297185,1,1.83478724929385,0,0.08620970223655
aaf,2,1,2.05952392511207,1,1,2.0851428516084,0,0.02561892649633,1,2.21627165827097,0,0.1567477331589
aag,1,1,1.48370560336333,0,1,1.53674334466433,0,0.053037741301,1,1.57781270734272,0,0.09410710397939
aai,1,1,1.03001819673414,0,1,1.0412012158129,0,0.01118301907876,1,1.03799779091688,0,0.00797959418274
aak,1,1,1.06344560818961,0,1,1.06667068598181,0,0.0032250777922,1,1.06905086699774,0,0.00560525880813
aal,2,1,1.17338266243276,1,1,1.13472256537352,0,-0.03866009705924,1,1.11926736824633,0,-0.05411529418643
aan,5,5,3.58258021836248,0,5,3.58454412025372,0,0.00196390189124,5,3.58632195545663,0,0.00374173709415
aap,1,2,2.54320383853773,-1,2,2.63764597842465,0,0.09444213988692,2,2.69377455201685,0,0.15057071347912
aaq,6,2,3.07235440228855,4,2,3.08392188103381,0,0.01156747874526,2,3.09414255025507,0,0.02178814796652
aar,1,1,1.00403721192687,0,1,1.00272165089924,0,-0.00131556102763,1,1.0022587054486,0,-0.00177850647827
aas,5,5,3.9767258879987,0,5,3.83107488942761,0,-0.14565099857109,5,3.76145458168396,0,-0.21527130631474
aat,3,1,1.87776217032219,2,1,1.59001360837945,0,-0.28774856194274,1,1.59918921534271,0,-0.27857295497948
aau,1,1,1.00395185832134,0,1,1.00543863457744,0,0.0014867762561,1,1.00660555462101,0,0.00265369629967
aaw,1,1,1.07529663917149,0,1,1.09564130830396,0,0.02034466913247,1,1.09099705458414,0,0.01570041541265
aax,1,1,1.1999438091689,0,1,1.30115148645242,0,0.10120767728352,1,1.30018954801212,0,0.10024573884322
aaz,1,1,1.43631884875991,0,1,1.43606198928675,0,-0.00025685947316,1,1.43682548211077,0,0.00050663335086
aba,1,1,1.00377273634013,0,1,1.00326923535188,0,-0.00050350098825,1,1.00305148847232,0,-0.00072124786781
abb,2,1,1.14126351146633,1,1,1.12967358271192,0,-0.01158992875441,1,1.12823522605061,0,-0.01302828541572
abc,1,1,1.66987928933978,0,1,1.74968620095142,0,0.07980691161164,1,1.7599801418825,0,0.09010085254272
abd,1,1,2.14683606772382,0,1,2.14641242901822,0,-0.0004236387056,1,2.14629824235448,0,-0.00053782536934
abe,5,5,5.48106121052311,0,5,5.40592293728246,0,-0.07513827324065,5,5.41427943303253,0,-0.066781777490579
abg,5,5,5.43457370683722,0,5,5.61853186465832,0,0.1839581578211,5,5.57988624428773,0,0.14531253745051
abi,1,1,1.00909124186595,0,1,1.00742176473935,0,-0.0016694771266,1,1.00663112865837,0,-0.00246011320758
abj,7,5,4.66280597375617,2,5,4.65186412805437,0,-0.010941845701799,5,4.64041403238843,0,-0.022391941367739
abk,1,1,1.22831150439644,0,1,1.32663798739775,0,0.09832648300131,1,1.37986391718763,0,0.15155241279119
abl,1,1,1.77915477509194,0,1,1.63182526331698,0,-0.14732951177496,1,1.44941579877168,0,-0.32973897632026
abm,1,1,1.09261114491045,0,1,1.07300236775105,0,-0.0196087771594,1,1.06574452496282,0,-0.02686661994763
abn,1,1,1.02067173307511,0,1,1.02315887291381,0,0.0024871398387,1,1.02092788600036,0,0.00025615292525
abo,1,1,1.77516026872779,0,1,1.68558758759038,0,-0.08957268113741,1,1.64672490935769,0,-0.1284353593701
abp,1,1,1.27713929001334,0,1,1.22636466124774,0,-0.0507746287656,1,1.15412874526386,0,-0.12301054474948
abq,1,1,1.72736609564313,0,1,1.51990259990834,0,-0.20746349573479,1,1.51438342516958,0,-0.21298267047355
abr,1,1,1.00132851436345,0,1,1.00120755677113,0,-0.00012095759232,1,1.00106658060083,0,-0.00026193376262
abs,1,1,1.63934076840638,0,1,1.7679076919593,0,0.12856692355292,1,1.7696041600861,0,0.13026339167972
abt,1,1,1.00055549261881,0,1,1.00081563774244,0,0.00026014512363,1,1.0007141455078,0,0.00015865288899
abu,1,1,1.01301979925695,0,1,1.01094316895986,0,-0.00207663029709,1,1.01015471725699,0,-0.00286508199996
abw,1,1,1.1351646300076,0,1,1.17530802714729,0,0.04014339713969,1,1.16351766743645,0,0.02835303742885
aby,1,1,1.18491371110057,0,1,1.24159030273445,0,0.05667659163388,1,1.2715952488569,0,0.08668153775633
abz,1,1,1.32888758262875,0,1,1.37578156435211,0,0.04689398172336,1,1.37682622742671,0,0.04793864479796
aca,2,2,2.55412206228707,0,2,2.7158493587086,0,0.16172729642153,2,2.80465947622744,0,0.25053741394037
acd,1,1,1.13736255931933,0,1,1.11100951315088,0,-0.02635304616845,1,1.10007708024138,0,-0.03728547907795
ace,2,1,1.34241289976675,1,1,1.25786467115353,0,-0.08454822861322,1,1.25477827505629,0,-0.08763462471046
acf,1,1,1.17858810244196,0,1,1.13054554950325,0,-0.04804255293871,1,1.13291836328547,0,-0.04566973915649
ach,1,1,1.00075243601073,0,1,1.00042767240439,0,-0.00032476360634,1,1.00031821416495,0,-0.00043422184578
aci,7,5,4.88542292317141,2,5,4.84139477768338,0,-0.04402814548803,5,4.82936690987274,0,-0.05605601329867
ack,7,5,3.57700680572186,2,5,3.55822817825041,0,-0.01877862747145,5,3.53709220384913,0,-0.03991460187273
acl,7,5,4.59748085473344,2,5,4.52881675327182,0,-0.06866410146162,5,4.51786047962024,0,-0.0796203751132
acn,3,1,1.47923888457483,2,1,1.6215742892795,0,0.14233540470467,1,1.71436915958383,0,0.235130275009
acp,1,1,1.1638953406001,0,1,1.140519742602,0,-0.0233755979981,1,1.12909264609576,0,-0.03480269450434
acr,1,1,1.28739484050022,0,1,1.26958493632619,0,-0.01780990417403,1,1.272919367443,0,-0.01447547305722
acs,7,7,6.9533789588241,0,7,6.96665570841961,0,0.01327674959551,7,6.96988871714164,0,0.016509758317541
acu,1,1,1.35885489602494,0,1,1.39690516397427,0,0.03805026794933,1,1.41916373274621,0,0.06030883672127
acv,5,5,4.89793412116676,0,5,5.00558314104619,0,0.10764901987943,5,5.05602992095062,0,0.15809579978386
acz,1,7,5.78221911384301,-6,7,5.72941722031064,0,-0.052801893532371,7,5.72672133301408,0,-0.05549778082893
ada,1,1,1.00364243948901,0,1,1.00102909682023,0,-0.00261334266878,1,1.00081360926796,0,-0.00282883022105
