,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017,Minority_Ed_Policy,gdp.pcap.10yrmed,expense.pcGDP.10yrmed,ed.sp.prm.pcGDP.10yrmed,ed.sp.sec.pcGDP.10yrmed,ed.sp.tert.pcGDP.10yrmed,ed.sp.tot.pcxpd.10yrmed
109,Africa,Mozambique,MOZ,Mozambique,MOZ,MOZ,10154238250,44,5.252820015,2010,3.2,54.7,16.77926346,28.587,0,471.1816926,21.64686957,51.92901,29.43184,12.18158,19.33995533
110,Africa,Mauritania,MRT,Mauritania,MRT,MRT,4337794151,36.05,2.99477005,2010,3.8,61.997,16.45366603,45.944,0,1662.439158,NA,45.07309,23.33516,12.82711,10.85775471
111,Africa,Malawi,MWI,Malawi,MWI,MWI,6959655571,43.5,4.839839935,2010,4.3,57.263,17.97705899,12.324,0,478.6685897,18.67297789,36.73603,24.66459,26.63025,16.33403015
112,Asia,Malaysia,MYS,Malaysia,MYS,MYS,2.55E+11,41.2,5.094384909,2010,9.8,74.21,19.52927447,48.849,0,9040.566251,19.56798738,30.98669,31.68012,34.45404,18.9594698
113,Africa,Namibia,NAM,Namibia,NAM,NAM,11282192605,60,6.260900021,2010,6.2,58.189,17.05157697,31.096,1,5318.00694,28.50899432,43.806995,20.80425,18.094575,24.86161041
114,Australia,France,FR1,New Caledonia,NCL,NCL,2.67E+12,29.4,5.500279903,2010,10.9,76.9804878,20.49823981,32.896,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
115,Africa,Niger,NER,Niger,NER,NER,5718664505,36.2,4.26742506,2010,1.4,56.838,15.95451803,10.557,0,466.0709276,10.164529,58.670225,22.689605,13.036295,18.30745029
116,Africa,Nigeria,NGA,Nigeria,NGA,NGA,3.63E+11,41.9,3.06,1975,5.2,50.847,13.68090624,34.109,0,2292.445156,NA,NA,NA,NA,NA
117,South America,Nicaragua,NIC,Nicaragua,NIC,NIC,8758622329,42.95,4.125529766,2010,6,73.699,22.32969505,18.718,1,1530.573418,15.09068971,39.81187,13.23297,26.04841,19.3138504
118,Europe,Netherlands,NL1,Netherlands,NLD,NLD,8.50E+11,26.8,5.475649834,2010,12,80.70243902,23.68650648,31.325,0,50950.03434,40.95136697,22.34611,40.90696,30.12593,11.88770962
119,Europe,Norway,NOR,Norway,NOR,NOR,4.33E+11,24.6,6.86868,2010,12.6,80.99756098,24.00143532,31.951,1,88604.57465,34.35262792,25.02401,35.04746,30.1617,15.86487007
120,Asia,Nepal,NPL,Nepal,NPL,NPL,16002656434,37.15,3.703589916,2010,3.3,67.914,17.26859835,15.856,0,592.4010975,15.76677104,54.64629,31.9659,11.85525,18.28129005
121,Australia,New Zealand,NZ1,New Zealand,NZL,NZL,1.47E+11,32.2,6.336339951,2010,12,80.70243902,24.33306867,10.468,0,34233.0219,32.59787378,23.02841,37.87262,25.25779,15.77791977
122,Asia,Oman,OMN,Oman,OMN,OMN,57992197659,31.9,4.023544908,2010,8.1,75.694,20.52186071,67.16,0,17587.61462,NA,41.744645,40.16299,17.26063,11.01467991
