,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017,Minority_Ed_Policy,gdp.pcap.10yrmed,expense.pcGDP.10yrmed,ed.sp.prm.pcGDP.10yrmed,ed.sp.sec.pcGDP.10yrmed,ed.sp.tert.pcGDP.10yrmed,ed.sp.tot.pcxpd.10yrmed
133,Asia,Qatar,QAT,Qatar,QAT,QAT,1.25E+11,39.6,3.992059946,2010,9.2,77.301,20.44196026,13.803,0,65560.3754,NA,17.63843,14.74059,NA,13.44593
134,Europe,Romania,ROU,Romania,ROU,ROU,1.73E+11,33.2,3.471485019,2010,10.7,73.45853659,19.97906313,19.727,1,8492.617492,32.74724325,16.161715,35.78897,26.248855,9.256950378
135,Europe,Russia,RUS,Russia,RUS,RUS,1.58E+12,35.4,3.820250034,2010,11.5,68.84121951,18.69748701,20.561,1,11087.82105,24.19585513,NA,NA,21.523805,11.48851967
136,Africa,Rwanda,RWA,Rwanda,RWA,RWA,5783152633,47.2,4.471560001,2010,3.7,63.14,18.15888087,14.525,0,612.3436991,17.10171326,36.24898,36.48545,20.85792,15.70348978
137,Africa,Western Sahara,SAH,Western Sahara,SAH,SAH,4337794151,NA,2.99477005,2010,3.8,61.997,16.45366603,NA,0,1662.439158,NA,45.07309,23.33516,12.82711,10.85775471
138,Asia,Saudi Arabia,SAU,Saudi Arabia,SAU,SAU,5.28E+11,47.8,5.430920124,2010,3.8,73.574,18.3467682,52.372,0,19832.65133,25.99259139,NA,NA,16.94127,19.29228973
139,Africa,Sudan,SDN,Sudan,SDN,SDN,64342607849,36.1,2.082225025,2010,3.1,62.62,17.76118621,23.624,0,1443.091356,10.74146575,45.07534,32.95736,20.61263,8.82297039
140,Africa,South Sudan,SDS,South Sudan,SDS,SDS,11824809546,46.3,1.220049977,2010,4.8,53.655,16.39362405,10.598,0,1124.139948,NA,59.9815,14.206505,25.0108,3.613105059
141,Africa,Senegal,SEN,Senegal,SEN,SEN,16215069256,39.3,6.130660057,2010,2.4,64.177,16.67382201,23.74,0,1278.7729,18.29889929,41.93021,27.601545,26.959495,22.53570938
142,Australia,Solomon Islands,SLB,Solomon Islands,SLB,SLB,681151190,42.1,9.416944981,2010,5.1,68.572,17.42621233,17.518,0,1329.960289,34.36196013,56.29228,29.79541,13.6618,18.14812088
143,Africa,Sierra Leone,SLE,Sierra Leone,SLE,SLE,2578026297,39.1,2.662919998,2010,3.1,48.224,13.01385143,24.284,0,401.8350014,NA,49.84986,24.871405,20.293885,15.09173965
144,South America,El Salvador,SLV,El Salvador,SLV,SLV,18447920000,40.7,3.825449944,2010,6.5,71.902,21.53599054,32.921,0,3009.370362,22.76970744,42.75137,29.591395,9.7437,16.11058044
145,Africa,Somalia,SOM,Somalia,SOM,SOM,2.37E+09,NA,1.28,1973,2.1,53.986,16.08375651,27.079,0,NA,NA,NA,NA,NA,NA
146,Europe,Republic of Serbia,SRB,Republic of Serbia,SRB,SRB,42380207344,34.3,4.501945019,2010,10.4,74.33658537,19.12432237,NA,1,5806.890315,35.88087517,46.496125,23.42337,29.08181,10.03743505
147,South America,Suriname,SUR,Suriname,SUR,SUR,4368398048,52.1,NA,NA,7.7,70.335,18.55054644,18.781,0,8255.796859,NA,NA,NA,NA,NA
148,Europe,Slovakia,SVK,Slovakia,SVK,SVK,90090397692,25.3,3.962310076,2010,11.6,75.11219512,20.41981662,20.287,1,16773.06107,39.41257684,18.77111,45.70063,22.99878,9.70746994
149,Europe,Slovenia,SVN,Slovenia,SVN,SVN,47874936326,24.7,5.562510014,2010,11.9,79.42195122,23.0663874,26.069,0,23328.47507,43.04601617,28.16393,34.112975,22.02685,12.30418015
150,Europe,Sweden,SWE,Sweden,SWE,SWE,4.89E+11,25.4,6.621990204,2010,12.4,81.45121951,24.15249104,14.656,0,53432.64485,32.75885192,24.25941,35.58738,26.80146,13.26278019
151,Africa,Swaziland,SWZ,Swaziland,SWZ,SWZ,4438778424,58.8,6.554759979,2010,5.7,51.598,15.95482623,19.712,0,4168.505177,NA,41.73746,34.64214,21.31296,21.81324005
152,Asia,Syria,SYR,Syria,SYR,SYR,5.96E+10,35.3,5.001055002,2010,6.3,72.108,19.14610501,16.693,0,972.266723,NA,40.84165,36.37926,22.779085,19.61242008
153,Africa,Chad,TCD,Chad,TCD,TCD,10657705536,41.1,2.232025027,2010,1.9,50.233,15.73805244,16.163,1,863.7612549,NA,46.70011,27.86992,19.244535,9.81242466
154,Africa,Togo,TGO,Togo,TGO,TGO,3426022206,42.1,4.42320013,2010,4.3,57.465,15.05527786,31.064,0,534.0443668,16.14704975,50.20335,25.57905,18.3499,17.67807961
155,Asia,Thailand,THA,Thailand,THA,THA,3.41E+11,40.6,3.93859005,2010,7.5,73.923,21.68005885,29.528,0,5076.340174,18.41180589,44.960425,25.0323,17.91385,19.12593079
156,Asia,Tajikistan,TJK,Tajikistan,TJK,TJK,5642178580,44,3.935110092,2010,10.7,69.644,18.53265046,-6.186,1,749.552711,13.747442,NA,NA,9.94552,15.29337978
157,Asia,Turkmenistan,TKM,Turkmenistan,TKM,TKM,22583157895,35.2,3.049249887,2010,9.8,66.657,17.36734144,4.741,1,4439.200382,NA,NA,NA,9.22805,20.79550934
158,Asia,East Timor,TLS,East Timor,TLS,TLS,3998961314,31.5,1.870329976,2010,4.4,67.313,16.89858212,20.121,0,806.4078617,71.38992759,65.223115,24.9197,9.28497,7.37071991
159,South America,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,TTO,22157948396,41.8,3.14,2003,10.7,69.756,18.22008902,19.05,0,16635.54036,30.05586572,39.18242,36.8308,11.50732,13.91007
160,Africa,Tunisia,TUN,Tunisia,TUN,TUN,43206394579,37.7,6.445080042,2010,6.7,74.793,19.75589868,31.131,0,4043.146435,27.60596063,30.96842,47.34098,24.79528,25.26034069
161,Europe,Turkey,TUR,Turkey,TUR,TUR,7.72E+11,40.4,4.364099979,2010,6.7,74.154,20.85685208,43.129,0,10672.38925,30.18446338,43.0346,22.02658,34.7013,8.017009735
162,Asia,Taiwan,TWN,Taiwan,TWN,TWN,4.46E+11,30.4,4.22,2010,11.09,79.14541653,23.20677581,46.39,0,35100,15.033,NA,NA,34.86,20.58
163,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,TZA,32014249841,44.2,4.04365015,2010,5.1,60.893,18.01799225,27.807,0,743.4037847,14.83107431,49.15943,16.66065,25.82277,18.14314079
164,Africa,Uganda,UGA,Uganda,UGA,UGA,20186496527,41.3,2.436074972,2010,5.3,57.153,17.17759568,18.779,1,815.8736791,10.8490261,57.23354,28.31904,13.7023,11.59750986
165,Europe,Ukraine,UKR,Ukraine,UKR,UKR,1.40E+11,27,6.208730221,2010,11.3,70.26536585,18.36712236,22.454,1,3123.900089,38.27158034,17.141455,28.348975,31.53146,13.73865032
166,South America,Uruguay,URY,Uruguay,URY,URY,40284481652,39.3,2.880259991,2010,8.4,76.588,21.96237506,14.999,0,11992.01663,29.13316718,33.33268,35.49689,22.00231,9.841279984
167,North America,United States of America,US1,United States of America,USA,USA,1.50E+13,37.4,5.194859982,2010,13.2,78.54146341,23.27545261,12.062,1,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3
168,Asia,Uzbekistan,UZB,Uzbekistan,UZB,UZB,39332770929,NA,7.283539772,2010,10.7,70.005,18.02184074,16.572,1,1634.312095,15.78699654,NA,NA,NA,23.51730919
169,South America,Venezuela,VEN,Venezuela,VEN,VEN,4.04E+11,38,3.669059992,2010,8.9,73.625,20.68523194,26.57,1,14209.11576,NA,31.5452,17.62346,43.48734,NA
170,Asia,Vietnam,VNM,Vietnam,VNM,VNM,1.16E+11,37.4,5.011980057,2010,7.6,75.117,22.32118785,20.513,0,1317.890706,NA,29.747465,40.616285,14.917095,17.93274021
171,Australia,Vanuatu,VUT,Vanuatu,VUT,VUT,700804286.2,38.1,5.281409979,2010,6.7,70.721,18.01422071,14.759,0,2868.035416,21.82775184,48.41591,31.11831,5.85659,18.46569538
172,Europe,Palestine,PSE,West Bank,WEB,PSE,8913100000,35.4,5.302499771,2010,8.5,72.444,18.53287029,8.185,0,2354.125987,NA,NA,NA,NA,NA
173,Asia,Yemen,YEM,Yemen,YEM,YEM,27622544883,35.9,5.15143013,2010,2.6,63.508,16.28027682,26.916,0,1243.431089,NA,NA,NA,NA,12.48923969
174,Africa,South Africa,ZAF,South Africa,ZAF,ZAF,3.75E+11,59.7,5.721739769,2010,9.9,55.888,16.37093026,19.231,0,7432.116761,32.24444496,41.09463,31.10529,12.53358,18.04437065
175,Africa,Zambia,ZMB,Zambia,ZMB,ZMB,20265556274,54,1.240759969,2010,6.6,56.588,17.52085096,24.831,0,1489.459306,16.38394004,61.236175,19.69514,18.794,6.978820086
176,Africa,Zimbabwe,ZWE,Zimbabwe,ZWE,ZWE,12041655200,45.7,7.351300001,2010,7.3,52.975,17.59408414,19.629,0,971.266723,19.07699211,47.349685,26.34305,19.337595,29.20571423
177,South America,Netherlands,NL1,Aruba,ABW,ABW,2551409423,26.8,6.099900007,2010,12,75.016,19.90431737,-7.483,0,50950.03434,40.95136697,22.34611,40.90696,30.12593,11.88770962
178,South America,United Kingdom,GB1,Anguilla,AIA,AIA,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
179,Europe,Finland,FI1,Aland,ALD,ALA,2.48E+11,25.3,6.485179901,2010,12.3,79.87073171,23.75704486,30.035,1,46459.97325,38.22346449,20.01115,42.01525,31.36248,12.24969959
180,Europe,Andorra,AND,Andorra,AND,AND,3355695364,31.4,2.963939905,2010,10.1,82.36,NA,29.7,0,41668.83736,NA,25.64062,21.49304,4.53195,19.4890995
181,Australia,United States of America,US1,American Samoa,ASM,ASM,5.76E+08,37.4,14.62928009,2010,13.2,78.54146341,23.27545261,20.959,0,10202.95531,22.88156784,31.036805,34.861325,11.18482,14.3
182,Australia,Australia,AU1,Ashmore and Cartier Islands,ATC,Ashm,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375,0,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966
183,South America,Antigua and Barbuda,ATG,Antigua and Barbuda,ATG,ATG,1221221061,47,2.517240047,2010,9.2,75.412,21.37649265,-14.943,0,13328.14665,NA,41.61324,48.39249,7.35313,6.928140163
184,Asia,Bahrain,BHR,Bahrain,BHR,BHR,25713271277,51.1,2.575000048,2010,8.4,76.056,19.31422398,6.866,0,21795.64147,20.17612,32.49759,43.40306,24.40469,8.684029579
185,Europe,France,FR1,Saint Barthelemy,BLM,BLM,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
186,South America,United Kingdom,GB1,Bermuda,BMU,BMU,5744414000,33.5,1.988770008,2010,12.8,79.38843902,23.82913896,0,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
187,South America,Barbados,BRB,Barbados,BRB,BRB,4572907997,46.65,5.286205053,2010,9.4,74.973,19.55317881,-5.618,0,16056.37098,33.45058957,32.375155,29.50342,30.899825,16.36903
188,Australia,New Zealand,NZ1,Cook Islands,COK,COK,1.47E+11,32.2,6.336339951,2010,12,80.70243902,24.33306867,10.468,0,34233.0219,32.59787378,23.02841,37.87262,25.25779,15.77791977
189,Africa,Comoros,COM,Comoros,COM,COM,907093130.3,53.1,4.877460003,2010,4.2,61.862,16.19059874,16.233,0,1316.498848,NA,56.243085,27.762075,9.357545,18.69052029
190,Africa,Cape Verde,CPV,Cape Verde,CPV,CPV,1664310770,48.1,5.308959961,2010,5.1,71.941,18.36890044,48.582,0,3414.557984,25.59522737,41.96879,38.315995,15.81999,16.28219032
191,South America,Netherlands,NL1,Curacao,CUW,CUW,8.50E+11,26.8,4.930950165,2010,12,77.47317073,22.6352136,14.493,0,50950.03434,40.95136697,22.34611,40.90696,30.12593,11.88770962
192,South America,United Kingdom,GB1,Cayman Islands,CYM,CYM,2.52E+12,33.5,1.885744989,2010,12.8,82.1902439,23.82913896,0,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
193,South America,Dominica,DMA,Dominica,DMA,DMA,490525417.5,44.7,3.386070013,2010,7.8,72.24235716,NA,32.335,0,6891.120222,26.65351816,45.82869,43.3707,8.86249,10.52210045
194,Europe,Denmark,DN1,Faroe Islands,FRO,FRO,2320424601,25.1,7.907740116,2010,12.8,80.58780488,22.92931827,14.07,0,58792.66046,40.91077743,23.95075,35.851515,28.342785,15.0697999
195,Australia,Federated States of Micronesia,FSM,Federated States of Micronesia,FSM,FSM,296471675.7,41.7,12.45950031,2010,7.2,68.582,17.18803592,0.296,0,2819.938926,17.77214952,35.75105,30.19968,9.56564,22.31238937
196,Europe,Palestine,PSE,Gaza,GAZ,Gaza,8913100000,34.4,5.302499771,2010,8.5,72.444,18.53287029,8.185,0,2354.125987,NA,NA,NA,NA,NA
197,Europe,United Kingdom,GB1,Guernsey,GGY,GGY,2.52E+12,33.5,5.374690056,2010,12.8,80.145,23.18585629,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
198,South America,Grenada,GRD,Grenada,GRD,GRD,785994301.6,43.35,3.5,2010,8.3,72.618,18.71992653,5.832,0,7382.162614,NA,36.38402,35.77571,9.7668,10.80899
199,Australia,United States of America,US1,Guam,GUM,GUM,4.90E+09,37.4,5.194859982,2010,13.2,78.134,22.07444441,44.552,0,30690.43665,22.88156784,31.036805,34.861325,27.36472,14.3
200,Asia,China,CH1,Hong Kong S.A.R.,HKG,HKG,2.29E+11,42.7,3.510030031,2010,7.3,82.97804878,25.67166684,41.757,1,32549.99823,NA,20.93063,33.81572,29.88298,20.30080032
201,NA,Australia,AU1,Heard Island and McDonald Islands,HMD,HMD,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375,0,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966
202,Europe,United Kingdom,GB1,Isle of Man,IMN,IMN,5920177689,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,-2.665,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
203,Australia,Australia,AU1,Indian Ocean Territories,IOA,IOA,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375,0,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966
204,Europe,United Kingdom,GB1,British Indian Ocean Territory,IOT,IOT,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
205,Europe,United Kingdom,GB1,Jersey,JEY,JEY,2.52E+12,33.5,5.374690056,2010,12.8,80.145,23.18585629,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
206,Asia,Kashmir,KAS,Siachen Glacier,KAS,KAS,1.76E+12,NA,2.996941233,2010,5.413086339,67.33945524,18.01559888,5.413086339,0,NA,NA,NA,NA,NA,NA
207,Australia,Kiribati,KIR,Kiribati,KIR,KIR,158610338.3,38.2,11.99,2001,7.9,65.354,16.73322945,36.972,0,1582.829725,65.6091685,52.7972,31.20629,9.44056,11.51614
208,South America,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,KNA,KNA,778193788,41,3.98573494,2010,7.8,72.24235716,NA,3.129,0,15772.17432,25.28572883,21.38185,40.242,15.35573,11.76730967
209,South America,Saint Lucia,LCA,Saint Lucia,LCA,LCA,1415547904,45.9,4.324154854,2010,8.4,74.465,21.09379786,-2.848,0,8540.414378,17.50263126,40.27038,44.09285,5.0111,14.75180006
210,Europe,Liechtenstein,LIE,Liechtenstein,LIE,LIE,5082366478,NA,2.051089883,2010,12.1,81.84146341,NA,-6.122,0,141200.38,NA,31.048375,47.34335,9.08094,NA
211,Asia,China,CH1,Macau S.A.R,MAC,MAC,28123640999,42.7,2.290649891,2010,7.3,82.704,25.17326343,41.757,1,52253.15531,11.62565034,24.80577,24.97225,28.35738,13.37409973
212,Europe,France,FR1,Saint Martin,MAF,MAF,2.67E+12,29.4,5.500279903,2010,10.9,78.72195122,25.16523788,18.3,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
213,Europe,Monaco,MCO,Monaco,MCO,MCO,5798543046,NA,1.33158505,2010,NA,89.78,NA,0,0,159431.4736,NA,14.0855,46.250645,NA,6.829015017
214,Asia,Maldives,MDV,Maldives,MDV,MDV,2600891738,39.65,4.417880058,2010,4.9,76.112,19.49221549,28.207,0,7251.676271,27.81292956,42.957625,25.03874,12.08232,12.8332901
215,Australia,Marshall Islands,MHL,Marshall Islands,MHL,MHL,164969100,NA,12.24,2003,10.8,69.51343385,NA,41.05,0,2823.294823,52.60903197,45.47052,38.90212,14.70266,22.50875
216,Europe,Malta,MLT,Malta,MLT,MLT,8741059603,27.2,6.454889774,2010,10.3,80.74634146,22.69371187,4.417,0,21161.64088,41.08346889,21.78029,45.7106,19.26899,15.26156044
217,Australia,United States of America,US1,Northern Mariana Islands,MNP,MNP,7.99E+08,37.4,5.194859982,2010,13.2,78.54146341,23.27545261,40.311,0,14626.25237,22.88156784,31.036805,34.861325,27.36472,14.3
218,South America,United Kingdom,GB1,Montserrat,MSR,MSR,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
219,Africa,Mauritius,MUS,Mauritius,MUS,MUS,10003670690,36.55,3.551470041,2010,8.2,72.96731707,20.16609289,5.73,1,8000.376432,20.35631581,26.70916,50.68132,8.69338,14.78901005
220,Australia,Australia,AU1,Norfolk Island,NFK,NFK,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375,0,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966
221,Australia,New Zealand,NZ1,Niue,NIU,NIU,1.47E+11,32.2,6.336339951,2010,12,80.70243902,24.33306867,10.468,0,34233.0219,32.59787378,23.02841,37.87262,25.25779,15.77791977
222,Australia,Nauru,NRU,Nauru,NRU,NRU,54986824.29,46,NA,NA,NA,69.51343385,NA,0,0,4754.075002,87.6240783,NA,NA,NA,NA
223,Australia,United Kingdom,GB1,Pitcairn Islands,PCN,PCN,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
224,Australia,Palau,PLW,Palau,PLW,PLW,199645404.8,46.9,7.58,2002,12.1,69.12926829,NA,22.542,NA,10790.88157,51.92427597,44.86443,9.5649,20.6523,15.53766
225,Australia,France,FR1,French Polynesia,PYF,PYF,2.67E+12,29.4,5.500279903,2010,10.9,75.643,20.26159365,19.503,0,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
226,Asia,Singapore,SGP,Singapore,SGP,SGP,2.40E+11,39.3,3.031840086,2010,11.2,81.54146341,24.47766934,0,0,47236.96023,12.77265225,21.22629,24.32327,35.17278,23.23229027
227,Europe,United Kingdom,GB1,South Georgia and South Sandwich Islands,SGS,SGS,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
228,Africa,United Kingdom,GB1,Saint Helena,SHN,SHN,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
229,Europe,San Marino,SMR,San Marino,SMR,SMR,2139072848,NA,2.346359968,2010,9.7,85.41707317,24.62641265,48.172,0,60239.34071,37.29068985,32.50842,37.63925,10.259455,10.71082497
230,North America,France,FR1,Saint Pierre and Miquelon,SPM,SPM,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
231,Africa,Sao Tome and Principe,STP,Sao Tome and Principe,STP,STP,197454052.1,30.3,5.747090101,2010,4.9,65.875,18.24209623,55.895,0,1094.710717,NA,53.29614,22.60819,9.60057,15.37079048
232,Europe,Netherlands,NL1,Sint Maarten,SXM,SXM,8.50E+11,26.8,5.475649834,2010,12,74.5402439,23.68650648,31.325,0,50950.03434,40.95136697,22.34611,40.90696,30.12593,11.88770962
233,Africa,Seychelles,SYC,Seychelles,SYC,SYC,969936525.3,40.95,3.608129978,2010,8.1,73.14390244,19.34054955,28.588,0,11124.65711,28.64115354,35.908045,29.98068,1.52201,10.38640976
234,South America,United Kingdom,GB1,Turks and Caicos Islands,TCA,TCA,686787810,33.5,2.903139949,2010,12.8,80.40243902,23.82913896,45.138,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
235,Australia,Tonga,TON,Tonga,TON,TON,369485198.8,37.7,3.91,2004,10.7,72.173,18.7893887,5.617,0,3553.220614,27.80561694,44.4381,30.13839,21.71697,18.10253
236,Europe,Vatican,VAT,Vatican,VAT,VAT,2.13E+12,NA,4.164720058,2010,9.7,82.03658537,24.62641265,10.783,0,36000.52012,42.76533294,24.97218,42.97316,18.59916,8.723950386
237,South America,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,VCT,VCT,700354717,48.7,5.822275162,2010,8.3,72.327,19.87444069,25.841,0,6447.602159,25.22814776,41.641075,34.025365,5.572695,18.68845463
238,South America,United Kingdom,GB1,British Virgin Islands,VGB,VGB,2.52E+12,33.5,4.111484766,2010,12.8,80.40243902,23.82913896,35.109,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
239,South America,United States of America,US1,United States Virgin Islands,VIR,VIR,4232596793,37.4,5.194859982,2010,13.2,78.41707317,22.32969103,39.126,0,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3
240,Australia,France,FR1,Wallis and Futuna,WLF,WLF,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
241,Australia,Samoa,WSM,Samoa,WSM,WSM,669733497.9,41.5,5.144209862,2010,10,73.122,19.53352024,-0.474,0,3566.362378,29.84504681,37.04896,42.81374,9.18175,16.06422997
242,Australia,Tuvalu,TUV,Tuvalu,TUV,TUV,32904167.22,39.3,3.73,1997,NA,69.51343385,NA,45.635,0,3138.573645,27.87416918,35.94848,59.01639,0,NA
243,NA,France,FR1,French Guiana,GUF,NA,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
244,NA,France,FR1,Clipperton Island,CLP,CLP,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3,1,41282.99081,47.99197792,20.09619,50.01967,17.58146,9.67858
245,Europe,Cyprus No Mans Area,CNM,Cyprus No Mans Area,CNM,CNM,NA,NA,6.404249907,2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
246,Australia,Australia,AU1,Coral Sea Islands,CSI,CSI,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375,0,52022.1256,26.03213843,34.96822,36.78888,22.50197,13.48499966
247,Europe,United Kingdom,GB1,Dhekelia Sovereign Base Area,ESB,ESB,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
248,Europe,United Kingdom,GB1,Gibraltar,GIB,GIB,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,0,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
249,Europe,Kazakhstan,KAZ,Baykonur Cosmodrome,KAB,KAB,1.48E+11,26.1,2.707679987,2010,11.6,68.42926829,17.145447,13.138,1,9070.488253,15.39802885,NA,65.76005,13.90404,12.61697006
250,Asia,Korea No Mans Area,KNM,Korea No Mans Area,KNM,KNM,NA,NA,4.766979933,2010,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
251,Africa,Somaliland,SOL,Somaliland,SOL,SOL,2.37E+09,NA,1.28,1973,2.1,53.986,16.08375651,27.079,0,NA,NA,NA,NA,NA,NA
252,North America,United States of America,US1,United States Minor Outlying Islands,UMI,UMI,1.50E+13,37.4,5.194859982,2010,13.2,78.54146341,23.27545261,12.062,1,49405.7673,22.88156784,31.036805,34.861325,27.36472,14.3
253,North America,Cuba,USG,US Naval Base Guantanamo Bay,USG,USG,6.43E+10,NA,12.35275984,2010,10.8,78.959,23.12763237,18.576,0,5730.354775,NA,29.17454,32.70123,22.89283,NA
254,Europe,United Kingdom,GB1,Akrotiri Sovereign Base Area,WSB,WSB,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699,0,40623.35968,39.89210853,30.36891,44.2115,21.09924,13.02943993
