,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017
21,South America,Belize,BLZ,Belize,BLZ,BLZ,1396731700,49.1,6.348360062,2010,10.5,69.676,17.02095387,-8.427
22,South America,Bolivia,BOL,Bolivia,BOL,BOL,19649631451,45.3,6.964100122,2010,7.9,66.408,21.11723719,32.318
23,South America,Brazil,BRA,Brazil,BRA,BRA,2.21E+12,46.3,5.648799896,2010,6.9,73.838,21.67862894,40.17
24,Asia,Brunei,BRN,Brunei,BRN,BRN,13715438210,NA,3.105844975,2010,8.8,76.719,20.51027393,33.911
25,Asia,Bhutan,BTN,Bhutan,BTN,BTN,1585472534,39.5,5.193580151,2010,2.3,67.79,20.14963833,36.571
26,Africa,Botswana,BWA,Botswana,BWA,BWA,12786654366,58.7,9.632920265,2010,8.9,59.868,17.23391819,65.64
27,Africa,Central African Republic,CAF,Central African Republic,CAF,CAF,1846064167,50.45,1.303550005,2010,3.6,47.56,15.53735988,20.88
28,North America,Canada,CAN,Canada,CAN,CAN,1.61E+12,31,4.817394972,2010,12.6,81.24634146,24.65233526,12.289
29,Europe,Switzerland,CHE,Switzerland,CHE,CHE,5.84E+11,28.9,5.033370018,2010,13.3,82.24634146,24.95026158,2.837
30,South America,Chile,CHL,Chile,CHL,CHL,2.19E+11,45.3,4.103639841,2010,9.9,78.454,22.86953316,19.654
31,Asia,China,CH1,China,CHN,CHN,6.09E+12,42.7,3.66,2010,7.3,75.236,19.57563486,41.757
32,Africa,Ivory Coast,CIV,Ivory Coast,CIV,CIV,24392354395,41,4.41245985,2010,4.2,50.423,14.06116412,32.647
33,Africa,Cameroon,CMR,Cameroon,CMR,CMR,26143818510,43.1,2.768019915,2010,5.3,55.424,16.68520433,41.84
34,Africa,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,COD,COD,21565720044,42.2,2.006820023,2010,5.4,56.907,16.62404451,21.58
35,Africa,Republic of the Congo,COG,Republic of the Congo,COG,COG,12007880439,46.5,4.289335012,2010,6.1,60.473,17.90346475,34.858
36,South America,Colombia,COL,Colombia,COL,COL,2.86E+11,49.8,4.45980978,2010,7.4,73.325,21.38934698,34.178
37,South America,Costa Rica,CRI,Costa Rica,CRI,CRI,37268616184,45.6,6.54489994,2010,8.4,78.756,23.59620516,44.306
38,South America,Cuba,CUB,Cuba,CUB,CUB,6.43E+10,NA,12.35275984,2010,10.8,78.959,23.12763237,18.576
