,REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,GDP_2010USD_10yr_median,Gini_SWIID_10yr_median,Ed_spending_pcGDP_10yr_median,Ed_spending_yr,Mean_yr_school_10yr_median,Life_exp_birth_10yr_median,Life_exp_sixty_average,Urban_pop_pc_change_1960-2017
200,Asia,China,CH1,Hong Kong S.A.R.,HKG,HKG,2.29E+11,42.7,3.510030031,2010,7.3,82.97804878,25.67166684,41.757
201,NA,Australia,AU1,Heard Island and McDonald Islands,HMD,HMD,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375
202,Europe,United Kingdom,GB1,Isle of Man,IMN,IMN,5920177689,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,-2.665
203,Australia,Australia,AU1,Indian Ocean Territories,IOA,IOA,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375
204,Europe,United Kingdom,GB1,British Indian Ocean Territory,IOT,IOT,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
205,Europe,United Kingdom,GB1,Jersey,JEY,JEY,2.52E+12,33.5,5.374690056,2010,12.8,80.145,23.18585629,4.699
206,Asia,Kashmir,KAS,Siachen Glacier,KAS,KAS,1.76E+12,NA,2.996941233,2010,5.413086339,67.33945524,18.01559888,5.413086339
207,Australia,Kiribati,KIR,Kiribati,KIR,KIR,158610338.3,38.2,11.99,2001,7.9,65.354,16.73322945,36.972
208,South America,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,KNA,KNA,778193788,41,3.98573494,2010,7.8,72.24235716,NA,3.129
209,South America,Saint Lucia,LCA,Saint Lucia,LCA,LCA,1415547904,45.9,4.324154854,2010,8.4,74.465,21.09379786,-2.848
210,Europe,Liechtenstein,LIE,Liechtenstein,LIE,LIE,5082366478,NA,2.051089883,2010,12.1,81.84146341,NA,-6.122
211,Asia,China,CH1,Macau S.A.R,MAC,MAC,28123640999,42.7,2.290649891,2010,7.3,82.704,25.17326343,41.757
212,Europe,France,FR1,Saint Martin,MAF,MAF,2.67E+12,29.4,5.500279903,2010,10.9,78.72195122,25.16523788,18.3
213,Europe,Monaco,MCO,Monaco,MCO,MCO,5798543046,NA,1.33158505,2010,NA,89.78,NA,0
214,Asia,Maldives,MDV,Maldives,MDV,MDV,2600891738,39.65,4.417880058,2010,4.9,76.112,19.49221549,28.207
215,Australia,Marshall Islands,MHL,Marshall Islands,MHL,MHL,164969100,NA,12.24,2003,10.8,69.51343385,NA,41.05
216,Europe,Malta,MLT,Malta,MLT,MLT,8741059603,27.2,6.454889774,2010,10.3,80.74634146,22.69371187,4.417
217,Australia,United States of America,US1,Northern Mariana Islands,MNP,MNP,7.99E+08,37.4,5.194859982,2010,13.2,78.54146341,23.27545261,40.311
218,South America,United Kingdom,GB1,Montserrat,MSR,MSR,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
219,Africa,Mauritius,MUS,Mauritius,MUS,MUS,10003670690,36.55,3.551470041,2010,8.2,72.96731707,20.16609289,5.73
220,Australia,Australia,AU1,Norfolk Island,NFK,NFK,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375
221,Australia,New Zealand,NZ1,Niue,NIU,NIU,1.47E+11,32.2,6.336339951,2010,12,80.70243902,24.33306867,10.468
222,Australia,Nauru,NRU,Nauru,NRU,NRU,54986824.29,46,NA,NA,NA,69.51343385,NA,0
223,Australia,United Kingdom,GB1,Pitcairn Islands,PCN,PCN,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
224,Australia,Palau,PLW,Palau,PLW,PLW,199645404.8,46.9,7.58,2002,12.1,69.12926829,NA,22.542
225,Australia,France,FR1,French Polynesia,PYF,PYF,2.67E+12,29.4,5.500279903,2010,10.9,75.643,20.26159365,19.503
226,Asia,Singapore,SGP,Singapore,SGP,SGP,2.40E+11,39.3,3.031840086,2010,11.2,81.54146341,24.47766934,0
227,Europe,United Kingdom,GB1,South Georgia and South Sandwich Islands,SGS,SGS,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
228,Africa,United Kingdom,GB1,Saint Helena,SHN,SHN,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
229,Europe,San Marino,SMR,San Marino,SMR,SMR,2139072848,NA,2.346359968,2010,9.7,85.41707317,24.62641265,48.172
230,North America,France,FR1,Saint Pierre and Miquelon,SPM,SPM,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3
231,Africa,Sao Tome and Principe,STP,Sao Tome and Principe,STP,STP,197454052.1,30.3,5.747090101,2010,4.9,65.875,18.24209623,55.895
232,Europe,Netherlands,NL1,Sint Maarten,SXM,SXM,8.50E+11,26.8,5.475649834,2010,12,74.5402439,23.68650648,31.325
233,Africa,Seychelles,SYC,Seychelles,SYC,SYC,969936525.3,40.95,3.608129978,2010,8.1,73.14390244,19.34054955,28.588
234,South America,United Kingdom,GB1,Turks and Caicos Islands,TCA,TCA,686787810,33.5,2.903139949,2010,12.8,80.40243902,23.82913896,45.138
235,Australia,Tonga,TON,Tonga,TON,TON,369485198.8,37.7,3.91,2004,10.7,72.173,18.7893887,5.617
236,Europe,Vatican,VAT,Vatican,VAT,VAT,2.13E+12,NA,4.164720058,2010,9.7,82.03658537,24.62641265,10.783
237,South America,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,VCT,VCT,700354717,48.7,5.822275162,2010,8.3,72.327,19.87444069,25.841
238,South America,United Kingdom,GB1,British Virgin Islands,VGB,VGB,2.52E+12,33.5,4.111484766,2010,12.8,80.40243902,23.82913896,35.109
239,South America,United States of America,US1,United States Virgin Islands,VIR,VIR,4232596793,37.4,5.194859982,2010,13.2,78.41707317,22.32969103,39.126
240,Australia,France,FR1,Wallis and Futuna,WLF,WLF,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3
241,Australia,Samoa,WSM,Samoa,WSM,WSM,669733497.9,41.5,5.144209862,2010,10,73.122,19.53352024,-0.474
242,Australia,Tuvalu,TUV,Tuvalu,TUV,TUV,32904167.22,39.3,3.73,1997,NA,69.51343385,NA,45.635
243,NA,France,FR1,French Guiana,GUF,NA,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3
244,NA,France,FR1,Clipperton Island,CLP,CLP,2.67E+12,29.4,5.500279903,2010,10.9,81.66341463,25.16523788,18.3
245,Europe,Cyprus No Mans Area,CNM,Cyprus No Mans Area,CNM,CNM,NA,NA,6.404249907,2010,NA,NA,NA,NA
246,Australia,Australia,AU1,Coral Sea Islands,CSI,CSI,1.15E+12,32.8,5.083129883,2010,12.4,81.69512195,25.03239729,4.375
247,Europe,United Kingdom,GB1,Dhekelia Sovereign Base Area,ESB,ESB,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
248,Europe,United Kingdom,GB1,Gibraltar,GIB,GIB,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,0
249,Europe,Kazakhstan,KAZ,Baykonur Cosmodrome,KAB,KAB,1.48E+11,26.1,2.707679987,2010,11.6,68.42926829,17.145447,13.138
250,Asia,Korea No Mans Area,KNM,Korea No Mans Area,KNM,KNM,NA,NA,4.766979933,2010,NA,NA,NA,NA
251,Africa,Somaliland,SOL,Somaliland,SOL,SOL,2.37E+09,NA,1.28,1973,2.1,53.986,16.08375651,27.079
252,North America,United States of America,US1,United States Minor Outlying Islands,UMI,UMI,1.50E+13,37.4,5.194859982,2010,13.2,78.54146341,23.27545261,12.062
253,North America,Cuba,USG,US Naval Base Guantanamo Bay,USG,USG,6.43E+10,NA,12.35275984,2010,10.8,78.959,23.12763237,18.576
254,Europe,United Kingdom,GB1,Akrotiri Sovereign Base Area,WSB,WSB,2.52E+12,33.5,5.374690056,2010,12.8,80.40243902,23.82913896,4.699
