index	longitudes	latitudes	land_coverage	LANG_ISO	ID_ISO_A2	weighted_endemism	language_diversity	vegetation_productivity	mgs	new.mgs
1	1	-19937320.8010753	6223882.06725746	0	NA	NA	0	0	102.7360621415	NA	NA
2	2	-19736945.7176474	6223882.06725746	0	NA	NA	0	0	29.4437764144998	NA	NA
3	3	-19536570.6342195	6223882.06725746	0	NA	NA	0	0	5.057098865	NA	NA
4	4	-19336195.5507916	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
5	5	-19135820.4673637	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
6	6	-18935445.3839358	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
7	7	-18735070.3005079	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
8	8	-18534695.21708	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
9	9	-18334320.1336522	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
10	10	-18133945.0502243	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
11	11	-17933569.9667964	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
12	12	-17733194.8833685	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
13	13	-17532819.7999406	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
14	14	-17332444.7165127	6223882.06725746	0	NA	NA	0	0	60.6859115609994	NA	NA
15	15	-17132069.6330848	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
16	16	-16931694.5496569	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
17	17	-16731319.466229	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
18	18	-16530944.3828011	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
19	19	-16330569.2993732	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
20	20	-16130194.2159453	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
21	21	-15929819.1325174	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
22	22	-15729444.0490896	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
23	23	-15529068.9656617	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
24	24	-15328693.8822338	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
25	25	-15128318.7988059	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
26	26	-14927943.715378	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
27	27	-14727568.6319501	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
28	28	-14527193.5485222	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
29	29	-14326818.4650943	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
30	30	-14126443.3816664	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
31	31	-13926068.2982385	6223882.06725746	0	NA	NA	0	0	NA	NA	10
32	32	-13725693.2148106	6223882.06725746	0	NA	NA	0	0	98.1908008595	NA	0
33	33	-13525318.1313827	6223882.06725746	0.13	NA	NA	0	0	89.2299303351535	NA	0
34	34	-13324943.0479548	6223882.06725746	0.12	NA	NA	0	0	80.2913949755594	NA	0
35	35	-13124567.964527	6223882.06725746	0.13	NA	NA	0	0	78.8583776272912	NA	0
36	36	-12924192.8810991	6223882.06725746	0.23	NA	NA	0	0	67.0134756592367	NA	0
37	37	-12723817.7976712	6223882.06725746	0.22	NA	NA	0	0	56.4502198710939	0	0
38	38	-12523442.7142433	6223882.06725746	0.39	NA	NA	0	0	69.2094520402033	0	0
39	39	-12323067.6308154	6223882.06725746	0.22	NA	NA	0	0	74.2397919411112	0	0
40	40	-12122692.5473875	6223882.06725746	0.21	NA	NA	0	0	63.6025311945321	NA	0
41	41	-11922317.4639596	6223882.06725746	0.1	NA	NA	0	0	83.9899649217239	NA	0
42	42	-11721942.3805317	6223882.06725746	0.04	NA	NA	0	0	72.1301619373023	NA	0
43	43	-11521567.2971038	6223882.06725746	0.1	NA	NA	0	0	71.9964016972644	NA	0
44	44	-11321192.2136759	6223882.06725746	0.2	NA	NA	0	0	77.7277306121811	0	0
45	45	-11120817.130248	6223882.06725746	0.23	NA	NA	0	0	74.4102800272718	0	0
46	46	-10920442.0468201	6223882.06725746	0.2	NA	NA	0	0	69.0570702852499	NA	0
47	47	-10720066.9633922	6223882.06725746	0.32	NA	NA	0	0	70.3142971800043	0	0
48	48	-10519691.8799644	6223882.06725746	0.46	NA	NA	0	0	74.4486891425628	0	0
49	49	-10319316.7965365	6223882.06725746	0.45	NA	NA	0	0	76.8250230720925	NA	0
50	50	-10118941.7131086	6223882.06725746	0.57	NA	NA	0	0	76.3674962850347	0	0
51	51	-9918566.62968067	6223882.06725746	0.64	NA	NA	0	0	77.0453522397367	NA	0
52	52	-9718191.54625278	6223882.06725746	0.67	NA	NA	0	0	77.5028971316296	0	0
53	53	-9517816.46282489	6223882.06725746	0.65	NA	NA	0	0	78.524763953815	0	0
54	54	-9317441.379397	6223882.06725746	0.7	NA	NA	0	0	80.9646969669798	0	0
55	55	-9117066.2959691	6223882.06725746	0.83	NA	NA	0	0	80.1175229251734	0	0
56	56	-8916691.21254121	6223882.06725746	0.76	NA	NA	0	0	78.4743185651221	0	0
57	57	-8716316.12911332	6223882.06725746	0.62	NA	NA	0	0	77.521029672821	0	0
58	58	-8515941.04568543	6223882.06725746	0.5	NA	NA	0	0	74.9571357647616	0	0
59	59	-8315565.96225753	6223882.06725746	0.33	NA	NA	0	0	72.4100925049715	NA	0
60	60	-8115190.87882964	6223882.06725746	0.36	NA	NA	0	0	72.1471276282181	0	0
61	61	-7914815.79540175	6223882.06725746	0.43	NA	NA	0	0	74.4622395024449	0	0
62	62	-7714440.71197386	6223882.06725746	0.52	NA	NA	0	0	72.4479786487457	0	0
63	63	-7514065.62854596	6223882.06725746	0.49	NA	NA	0	0	72.2956684179243	0	0
64	64	-7313690.54511807	6223882.06725746	0.55	NA	NA	0	0	73.5419670478296	0	0
65	65	-7113315.46169018	6223882.06725746	0.57	NA	NA	0	0	74.4713671650806	0	0
66	66	-6912940.37826229	6223882.06725746	0.57	NA	NA	0	0	74.6584214865335	0	0
67	67	-6712565.29483439	6223882.06725746	0.68	NA	NA	0	0	75.286140303121	0	0
68	68	-6512190.2114065	6223882.06725746	0.76	NA	NA	0	0	76.3551528244305	0	0
69	69	-6311815.12797861	6223882.06725746	0.88	NA	NA	0	0	75.8751854673222	0	0
70	70	-6111440.04455072	6223882.06725746	0.9	NA	NA	0	0	77.0593233642544	0	0
71	71	-5911064.96112282	6223882.06725746	0.9	NA	NA	0	0	77.8136662364542	0	0
72	72	-5710689.87769493	6223882.06725746	0.9	NA	NA	0	0	76.8046045742798	0	0
73	73	-5510314.79426704	6223882.06725746	0.9	NA	NA	0	0	76.8756778347746	0	0
74	74	-5309939.71083915	6223882.06725746	0.9	NA	NA	0	0	76.8297044449211	0	0
75	75	-5109564.62741125	6223882.06725746	0.92	NA	NA	0	0	77.0738594755163	0	0
76	76	-4909189.54398336	6223882.06725746	1	NA	NA	0	0	77.6836122111619	0	0
77	77	-4708814.46055547	6223882.06725746	1	NA	NA	0	0	78.0826588115128	0	0
78	78	-4508439.37712758	6223882.06725746	1	NA	NA	0	0	78.2019294565899	0	0
79	79	-4308064.29369969	6223882.06725746	1	NA	NA	0	0	78.7173141222903	0	0
80	80	-4107689.21027179	6223882.06725746	1	NA	NA	0	0	78.6150620053795	0	0
81	81	-3907314.1268439	6223882.06725746	1	NA	NA	0	0	78.4618531368795	0	0
82	82	-3706939.04341601	6223882.06725746	1	NA	NA	0	0	78.057868187158	0	0
83	83	-3506563.95998812	6223882.06725746	1	NA	NA	0	0	77.1616375985883	0	0
84	84	-3306188.87656022	6223882.06725746	1	NA	NA	0	0	76.8322980017143	0	0
85	85	-3105813.79313233	6223882.06725746	1	NA	NA	0	0	77.4950316879784	0	0
86	86	-2905438.70970444	6223882.06725746	1	NA	NA	0	0	77.4069495644271	0	0
87	87	-2705063.62627655	6223882.06725746	1	NA	NA	0	0	76.2337752405524	0	0
88	88	-2504688.54284865	6223882.06725746	0.93	NA	NA	0	0	74.0796425529941	0	0
