Name	Name_stripped_no_spaces	iso639_3	iso639_3_macro	glottocode	Family_name_glottolog	Classification_ethnologue	Population_numeric_ethnologue	endangerment_status_glottolog	desc_status_glottolog	Language_status_ethnologue	level	AUTOTYP_area	Longitude	Latitude
Khua	Khua	xhv	NA	khua1243	Bookkeeping	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, West Katuic, Bru	5000	not endangered	overview	6a (Vigorous). Language of recognized ethnic group: Bru Van Kieu.	language	Southeast Asia	106.021	17.402
Samre of Siem Reap	Samre_of_Siem_Reap	sxm	NA	samr1245	Bookkeeping	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Pearic, Western, Samre	0	nearly extinct	grammar	9 (Dormant).	language	Southeast Asia	103.978	13.479
Khao	Khao	xao	NA	khao1244	Bookkeeping	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Khmuic, Khao	10000	not endangered	NA	6a (Vigorous). Language of recognized ethnic group: Xinh Mun. population 23,278 (2009 census).	language	Southeast Asia	103.467	21.4543
Lua'	Lua?	prb	NA	luaa1235	Bookkeeping	NA	NA	NA	grammar	NA	language	Southeast Asia	101.217	19.1198
Pray 3	Pray_3	pry	NA	pray1239	Bookkeeping	NA	NA	NA	comparative	NA	language	Southeast Asia	101.021	19.4306
Kon Keu	Kon_Keu	kkn	NA	konk1268	Bookkeeping	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Palaungic, Eastern Palaungic, Angkuic	6300	threatened	NA	6a (Vigorous). Language of recognized nationality: Blang.	language	Southeast Asia	100.278	21.6369
Kiorr	Kiorr	xko	NA	kior1239	Bookkeeping	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Palaungic, Eastern Palaungic, Angkuic	2360	threatened	overview	6a (Vigorous).	language	Southeast Asia	101.211	21.0684
Con	Con	cno	NA	cona1234	Bookkeeping	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Palaungic, Eastern Palaungic, Lametic	1000	threatened	NA	6a (Vigorous).	language	Southeast Asia	100.904	20.6442
Kemiehua	Kemiehua	kfj	NA	kemi1240	Bookkeeping	Austro-Asiatic, Mon-Khmer, Unclassified	1000	threatened	NA	6a (Vigorous).	language	Southeast Asia	101.144	22.0603
Kuanhua	Kuanhua	xnh	NA	kuan1250	Bookkeeping	Austro-Asiatic, Mon-Khmer, Unclassified	1000	shifting	NA	6a (Vigorous).	language	Southeast Asia	101.158	21.9802
Munda	Munda	unx	NA	mund1321	Bookkeeping	Austro-Asiatic, Munda, North Munda, Kherwari, Mundari	469000	not endangered	overview	6a (Vigorous).	language	Indic	87.1792	25.0391
Elpaputih	Elpaputih	elp	NA	elpa1240	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	128.263	-3.078
Horuru	Horuru	hrr	NA	horu1241	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	129.387	-3.12875
Piru	Piru	ppr	NA	piru1241	Bookkeeping	NA	NA	moribund	overview	NA	language	Oceania	128.197	-3.05368
South Wemale	South_Wemale	tlw	NA	sout2892	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	128.547	-3.29102
Vatrata	Vatrata	vlr	NA	vatr1237	Bookkeeping	NA	NA	NA	wordlist	NA	language	Oceania	167.42	-13.83
Natügu (Retired)	Natugu_Retired	stc	NA	natu1249	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	165.835	-10.6771
Dororo	Dororo	drr	NA	doro1267	Bookkeeping	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, West	0	extinct	wordlist	10 (Extinct).	language	Oceania	157.767	-8.30556
Guliguli	Guliguli	gli	NA	guli1244	Bookkeeping	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, West	0	extinct	wordlist	10 (Extinct).	language	Oceania	157.564	-8.10266
Yarsun	Yarsun	yrs	NA	yars1234	Bookkeeping	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Sarmi-Jayapura Bay, Sarmi	200	shifting	overview	8a (Moribund).	language	N Coast New Guinea	139.472	-2.21222
Wagawaga (Retired)	Wagawaga_Retired	wgw	NA	waga1262	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Aariya	Aariya	aay	NA	aari1240	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Lenca	Lenca	len	NA	lenc1244	Bookkeeping	Lencan	0	extinct	phonology	9 (Dormant).	language	Mesoamerica	-88.0422	13.9278
Malakhel	Malakhel	mld	NA	mala1431	Bookkeeping	NA	NA	NA	overview	NA	language	Greater Mesopotamia	69.0719	33.0726
Natagaimas	Natagaimas	nts	NA	nata1238	Bookkeeping	NA	NA	NA	overview	NA	language	Andean	-75.0333	4.16665
Tapeba	Tapeba	tbb	NA	tape1236	Bookkeeping	Unclassified	0	extinct	overview	9 (Dormant).	language	NE South America	-40.3333	-4.99999
Tingui-Boto	TinguiBoto	tgv	NA	ting1238	Bookkeeping	Unclassified	0	extinct	overview	9 (Dormant).	language	NE South America	-37.538	-11.5816
Warduji	Warduji	wrd	NA	ward1243	Bookkeeping	Unclassified	5000	not endangered	NA	6a (Vigorous).	language	Indic	71.1475	36.6083
Xinca	Xinca	xin	NA	xinc1247	Bookkeeping	Language isolate	0	extinct	comparative	10 (Extinct). Recognized language (2003, Law of National Languages, Decree 19).	language	Mesoamerica	-89.8235	14.3103
Yauma	Yauma	yax	NA	yaum1238	Bookkeeping	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, K, Ciokwe-Luchazi (K.16)	22200	threatened	NA	6a (Vigorous).	language	S Africa	21.881345	-15.821495
Yarí	Yari	yri	NA	yari1235	Bookkeeping	NA	NA	NA	overview	NA	language	NE South America	-74.3715	1.43017
Southern Betsimisaraka Malagasy (Retired)	Southern_Betsimisaraka_Malagasy_Retired	bjq	NA	sout3125	Bookkeeping	NA	NA	NA	overview	NA	language	Southeast Asia	48.1108	-20.8687
Balau	Balau	blg	NA	bala1306	Bookkeeping	Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Ibanic	5000	threatened	NA	6b (Threatened).	language	Southeast Asia	110.913	1.33476
Seru	Seru	szd	NA	seru1247	Bookkeeping	Austronesian, Malayo-Polynesian, North Borneo, Melanau-Kajang, Melanau	0	extinct	NA	10 (Extinct).	language	Southeast Asia	112.133	1.73885
Putoh	Putoh	put	NA	puto1237	Bookkeeping	Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Dayic, Kelabitic	6000	threatened	NA	6b (Threatened).	language	Southeast Asia	116.443	3.42467
Wahau Kayan	Wahau_Kayan	whu	NA	waha1239	Bookkeeping	Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kayanic, Kayan Proper	500	threatened	comparative	6b (Threatened).	language	Southeast Asia	116.6795	1.42088
Punan Merap	Punan_Merap	puc	NA	puna1274	Bookkeeping	Austronesian, Malayo-Polynesian, North Borneo, Rejang-Sajau	200	shifting	NA	6b (Threatened).	language	Southeast Asia	116.251	3.10143
Iapama	Iapama	iap	NA	iapa1241	Bookkeeping	Unclassified	NA	NA	overview	Unattested.	language	NE South America	-53.3269	0.97588
Imeraguen	Imeraguen	ime	NA	imer1236	Bookkeeping	NA	NA	NA	minimal	NA	language	African Savannah	-16.34726	18.37331
Kamba (Brazil)	Kamba_Brazil	xba	NA	kamb1287	Bookkeeping	NA	NA	NA	overview	NA	language	SE South America	-57.3333	-18.8333
Cataelano Mandaya	Cataelano_Mandaya	mst	NA	cata1284	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	126.373	7.77188
Sangab Mandaya	Sangab_Mandaya	myt	NA	sang1338	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	126.409	7.39531
Upper Tanudan Kalinga	Upper_Tanudan_Kalinga	kgh	NA	uppe1424	Bookkeeping	NA	NA	NA	overview	NA	language	Oceania	121.202	17.2143
Toala'	Toala?	tlz	NA	toal1234	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Coyaima	Coyaima	coy	NA	coya1241	Bookkeeping	NA	NA	NA	wordlist	NA	language	NE South America	-73	11.3333
Sikiana	Sikiana	sik	NA	siki1239	Bookkeeping	Cariban, Kashuyana	48	shifting	wordlist	8a (Moribund).	language	NE South America	-57.9221	3.01294
Salumá	Saluma	slj	NA	salu1254	Bookkeeping	Cariban, Tiriyó	240	moribund	wordlist	8a (Moribund).	language	NE South America	-56.5107	1.74782
Kabixí	Kabixi	xbx	NA	kabi1264	Bookkeeping	NA	NA	NA	overview	NA	language	NE South America	-58.9931	-14.2403
Cauca	Cauca	cca	NA	cauc1241	Bookkeeping	Paezan, Coconuco	0	extinct	comparative	10 (Extinct).	language	NE South America	-69.91	1.267
Chumash	Chumash	chs	NA	chum1264	Bookkeeping	NA	NA	NA	NA	NA	language	NA	NA	NA
Laos Sign Language	Laos_Sign_Language	lso	NA	laos1235	Bookkeeping	Sign language	NA	not endangered	NA	6a (Vigorous).	language	Southeast Asia	104.518	18.387
Singapore Sign Language	Singapore_Sign_Language	sls	NA	sing1237	Bookkeeping	Sign language	3000	not endangered	NA	5 (Developing).	language	Southeast Asia	103.864	1.33069
Yiddish Sign Language	Yiddish_Sign_Language	yds	NA	yidd1241	Bookkeeping	NA	NA	NA	overview	NA	language	Greater Mesopotamia	34.7818	31.7342
Savara	Savara	svr	NA	sava1244	Bookkeeping	NA	NA	NA	overview	NA	language	Indic	84.1414	18.7302
Kurumba, Kannada	Kurumba,_Kannada	kfi	NA	kann1253	Bookkeeping	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Kodagu	180000	not endangered	socling	5 (Developing).	language	Indic	76.5256	11.3824
Kumbaran	Kumbaran	wkb	NA	kumb1267	Bookkeeping	Dravidian, Southern	10000	threatened	NA	6b (Threatened).	language	NA	NA	NA
