Name	Name_stripped_no_spaces	iso639_3	iso639_3_macro	glottocode	Family_name_glottolog	Classification_ethnologue	Population_numeric_ethnologue	endangerment_status_glottolog	desc_status_glottolog	Language_status_ethnologue	level	AUTOTYP_area	Longitude	Latitude
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	TarifiytBeniIznasenEastern_Middle_Atlas_Berber	rif	NA	tari1263	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Riff	1423000	moribund	long_grammar	5 (Developing).	language	N Africa	-3.430616	34.916974
Senhaja De Srair	Senhaja_De_Srair	sjs	NA	senh1238	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Riff	50000	threatened	grammar_sketch	6b (Threatened).	language	N Africa	-4.51293	34.9992
Chaouia of the Aures	Chaouia_of_the_Aures	shy	NA	tach1249	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Shawiya	1400000	not endangered	grammar	6a (Vigorous).	language	N Africa	6.88901	35.1867
Tidikelt-Tuat Tamazight	TidikeltTuat_Tamazight	tia	NA	tidi1241	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Tidikelt	1000	shifting	minimal	8b (Nearly extinct).	language	N Africa	1.86218	27.019
Western Algerian Berber	Western_Algerian_Berber	cnu	NA	chen1266	Afro-Asiatic	Afro-Asiatic, Berber, Northern	76300	threatened	long_grammar	7 (Shifting).	language	N Africa	2.1989899999999998	36.5917
Tahaggart Tamahaq	Tahaggart_Tamahaq	thv	NA	taha1241	Afro-Asiatic	Afro-Asiatic, Berber, Tamasheq, Northern	77000	threatened	long_grammar	6b (Threatened).	language	N Africa	8.73169	22.5908
Tuareg	Tuareg	tmh	NA	tuar1240	Afro-Asiatic	NA	1628000	NA	NA	NA	family	NA	NA	NA
Tamasheq	Tamasheq	taq	NA	tama1365	Afro-Asiatic	Afro-Asiatic, Berber, Tamasheq, Southern	500000	shifting	long_grammar	5 (Developing). Recognized language (1982, Decree No. 159 of 19 July, Article 1).	language	African Savannah	-2.41269	14.2038
Tayart Tamajeq	Tayart_Tamajeq	thz	NA	taya1257	Afro-Asiatic	Afro-Asiatic, Berber, Tamasheq, Southern	250000	threatened	grammar	4 (Educational).	language	African Savannah	7.6743	16.9232
Tawallammat Tamajaq	Tawallammat_Tamajaq	ttq	NA	tawa1286	Afro-Asiatic	Afro-Asiatic, Berber, Tamasheq, Southern	801000	not endangered	long_grammar	6a (Vigorous). Recognized language (1999, Constitution, Article 3).	language	African Savannah	4.47692	13.9878
Zenaga	Zenaga	zen	NA	zena1248	Afro-Asiatic	Afro-Asiatic, Berber, Zenaga	2700	shifting	grammar_sketch	8a (Moribund).	language	African Savannah	-16.1711	16.82
Boga	Boga	bvw	NA	boga1251	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern	10000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	12.936	10.188
Ga'anda	Ga?anda	gqa	NA	gaan1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern	43000	not endangered	grammar	4 (Educational).	language	African Savannah	12.6479	10.2955
Hwana	Hwana	hwo	NA	hwan1240	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern	32000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	12.7683	10.3633
Jara	Jara	jaf	NA	jara1274	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Western	46300	not endangered	wordlist	6a (Vigorous).	language	African Savannah	11.7036	10.5232
Tera	Tera	ttr	NA	tera1251	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Western	101000	not endangered	grammar	6a (Vigorous).	language	African Savannah	11.80953	11.0376
Bura-Pabir	BuraPabir	bwr	NA	bura1292	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1	250000	threatened	long_grammar	7 (Shifting).	language	African Savannah	12.3007	10.4822
Cibak	Cibak	ckl	NA	ciba1236	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1	200000	not endangered	grammar_sketch	6a (Vigorous).	language	African Savannah	12.902	10.8977
Kofa	Kofa	kso	NA	kofa1236	Bookkeeping	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1	1100	threatened	NA	6a (Vigorous).	language	African Savannah	12.8757	9.76068
Putai	Putai	mfl	NA	puta1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1	50	moribund	wordlist	8b (Nearly extinct).	language	African Savannah	12.99521	10.83854
Huba	Huba	hbb	NA	huba1236	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2	306000	not endangered	grammar	6a (Vigorous).	language	African Savannah	13.139	10.3544
Marghi South	Marghi_South	mfm	NA	marg1266	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2	135000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	12.99521	10.53854
Marghi Central	Marghi_Central	mrt	NA	marg1265	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2	135000	not endangered	long_grammar	6a (Vigorous).	language	African Savannah	13.0521	10.93854
Nggwahyi	Nggwahyi	ngx	NA	nggw1242	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.2	2000	shifting	wordlist	6a (Vigorous).	language	African Savannah	12.923400000000001	10.6058
Bana	Bana	bcw	NA	bana1305	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.3	23000	threatened	grammar_sketch	5 (Developing).	language	African Savannah	13.6131	10.3535
Kamwe	Kamwe	hig	NA	kamw1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.3	300000	not endangered	phonology	5 (Developing).	language	African Savannah	13.5136	10.646
Hya	Hya	hya	NA	hyaa1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.3	2940	moribund	wordlist	8a (Moribund).	language	African Savannah	13.526	10.4814
Psikye	Psikye	kvj	NA	psik1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.3	52500	not endangered	grammar	5 (Developing).	language	African Savannah	13.569	10.677
Lamang	Lamang	hia	NA	lama1288	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang	40000	not endangered	long_grammar	6a (Vigorous).	language	African Savannah	13.7362	11.0243
Vemgo-Mabas	VemgoMabas	vem	NA	vemg1240	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang	11000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	13.6633	10.8301
Hdi	Hdi	xed	NA	hdii1240	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang	29000	not endangered	long_grammar	5 (Developing).	language	African Savannah	13.6881	10.942
Cineni	Cineni	cie	NA	cine1238	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda	3000	threatened	wordlist	6a (Vigorous).	language	African Savannah	13.8187	11.1319
Dghwede	Dghwede	dgh	NA	dghw1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda	30000	not endangered	specific_feature	6a (Vigorous).	language	African Savannah	13.77847	11.05751
Guduf-Gava	GudufGava	gdf	NA	gudu1252	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda	55900	not endangered	text	6a (Vigorous).	language	African Savannah	13.7893	11.1057
Glavda	Glavda	glw	NA	glav1244	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda	31300	not endangered	grammar_sketch	6a (Vigorous).	language	African Savannah	13.8652	11.1334
Gvoko	Gvoko	ngs	NA	gvok1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda	21000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	13.7537	10.9918
Wandala	Wandala	mfi	NA	wand1278	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Mandara	43500	not endangered	long_grammar	5 (Developing).	language	African Savannah	13.8996	11.3169
Parkwa	Parkwa	pbi	NA	park1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Podoko	30000	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	14.0964	11.0206
Baldemu	Baldemu	bdn	NA	bald1241	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	4	nearly extinct	grammar_sketch	8b (Nearly extinct).	language	African Savannah	14.4674	10.9078
Cuvok	Cuvok	cuv	NA	cuvo1236	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	5000	not endangered	phonology	5 (Developing).	language	African Savannah	14.0006	10.6448
Dugwor	Dugwor	dme	NA	dugw1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	5000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	14.2134	10.752
North Giziga	North_Giziga	gis	NA	nort3047	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	20000	not endangered	grammar	6a (Vigorous).	language	African Savannah	14.219	10.6755
South Giziga	South_Giziga	giz	NA	sout3051	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	60000	not endangered	wordlist	5 (Developing).	language	African Savannah	14.1931	10.2809
Zulgo-Gemzek	ZulgoGemzek	gnd	NA	zulg1242	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	26000	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	14.0578	10.827
Mafa	Mafa	maf	NA	mafa1239	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	214910	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	13.8181	10.943
Merey	Merey	meq	NA	mere1246	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	10000	not endangered	dictionary	5 (Developing).	language	African Savannah	14.09	10.7458
Matal	Matal	mfh	NA	mata1306	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	18000	not endangered	specific_feature	5 (Developing).	language	African Savannah	14.0474	10.9284
Mefele	Mefele	mfj	NA	mefe1242	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	11000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	13.8201	10.677
North Mofu	North_Mofu	mfk	NA	nort3046	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	27500	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	14.1117	10.6834
Mofu-Gudur	MofuGudur	mif	NA	mofu1248	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	90000	not endangered	long_grammar	5 (Developing).	language	African Savannah	14.0314	10.567
Vame	Vame	mlr	NA	vame1236	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	8500	not endangered	specific_feature	5 (Developing).	language	African Savannah	14.2131	10.9481
Moloko	Moloko	mlw	NA	molo1266	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	8500	moribund	long_grammar	5 (Developing).	language	African Savannah	14.2521	10.7933
Mbuko	Mbuko	mqb	NA	mbuk1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	15000	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	14.1677	10.7788
Muyang	Muyang	muy	NA	muya1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	30000	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	14.21246	10.86047
Mada (Cameroon)	Mada_Cameroon	mxu	NA	mada1293	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	17000	not endangered	grammar_sketch	6a (Vigorous).	language	African Savannah	14.1142	10.8806
Wuzlam	Wuzlam	udl	NA	wuzl1236	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.5	10500	not endangered	grammar	5 (Developing).	language	African Savannah	14.1378	10.955
Sukur	Sukur	syk	NA	suku1272	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.6	14800	threatened	long_grammar	6a (Vigorous).	language	African Savannah	13.6437	10.8933
Buwal	Buwal	bhs	NA	buwa1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	10000	not endangered	long_grammar	5 (Developing).	language	African Savannah	13.8838	10.6151
Daba	Daba	dbq	NA	nucl1683	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	25000	threatened	grammar_sketch	5 (Developing).	language	African Savannah	13.6318	10.3521
Mazagway	Mazagway	dkx	NA	maza1304	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	17000	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	13.6873	10.175
Gavar	Gavar	gou	NA	gava1241	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	15000	not endangered	specific_feature	6a (Vigorous).	language	African Savannah	13.8188	10.5603
Mina (Cameroon)	Mina_Cameroon	hna	NA	mina1276	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	11000	not endangered	long_grammar	6a (Vigorous).	language	African Savannah	13.84054	10.38053
Mbedam	Mbedam	xmd	NA	mbed1242	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	6000	not endangered	phonology	6a (Vigorous).	language	African Savannah	13.9322	10.466
Bacama	Bacama	bcy	NA	baca1246	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	150000	not endangered	dictionary	5 (Developing).	language	African Savannah	12.0416	9.53072
Bata	Bata	bta	NA	bata1314	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	152500	not endangered	phonology	6a (Vigorous).	language	African Savannah	12.677	9.68091
Fali	Fali	fli	NA	fali1285	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	25000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	13.4087	10.5419
Gude	Gude	gde	NA	gude1246	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	88000	not endangered	long_grammar	5 (Developing).	language	African Savannah	13.403	10.2138
Gudu	Gudu	gdu	NA	gudu1250	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	5000	not endangered	wordlist	6a (Vigorous).	language	African Savannah	12.5359	10.1206
Holma	Holma	hod	NA	holm1250	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	0	extinct	wordlist	10 (Extinct).	language	African Savannah	13.19949	9.96843
Jimi (Cameroon)	Jimi_Cameroon	jim	NA	jimi1254	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	3500	shifting	wordlist	5 (Developing).	language	African Savannah	13.5258	10.251
Ngwaba	Ngwaba	ngw	NA	ngwa1251	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	10000	threatened	overview	8a (Moribund).	language	African Savannah	12.7942	10.0921
Nzanyi	Nzanyi	nja	NA	nzan1240	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	86000	threatened	grammar_sketch	7 (Shifting).	language	African Savannah	13.3343	10.0666
Sharwa	Sharwa	swq	NA	shar1249	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	5100	not endangered	wordlist	6a (Vigorous).	language	African Savannah	13.5657	10.1414
Tsuvan	Tsuvan	tsh	NA	tsuv1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	2300	threatened	wordlist	6a (Vigorous).	language	African Savannah	13.628	10.1551
Zizilivakan	Zizilivakan	ziz	NA	zizi1238	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	6200	shifting	wordlist	6a (Vigorous).	language	African Savannah	13.5233	10.4689
Buduma	Buduma	bdm	NA	budu1265	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Buduma	54800	threatened	grammar	6a (Vigorous).	language	African Savannah	14.4492	13.0692
Jina	Jina	jia	NA	jina1244	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Jina	1500	threatened	grammar_sketch	6b (Threatened).	language	African Savannah	14.9611	11.3555
Majera	Majera	xmj	NA	maje1243	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Jina	500	shifting	wordlist	6b (Threatened).	language	African Savannah	15.044	11.1433
Afade	Afade	aal	NA	afad1236	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	5000	threatened	grammar_sketch	6b (Threatened).	language	African Savannah	14.6343	12.0551
Mpade	Mpade	mpi	NA	mpad1242	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	16000	threatened	long_grammar	6b (Threatened).	language	African Savannah	14.5833	12.4609
Maslam	Maslam	msv	NA	masl1241	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	250	shifting	wordlist	8a (Moribund).	language	African Savannah	14.8873	12.1918
Malgbe	Malgbe	mxf	NA	malg1250	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	6000	threatened	specific_feature	6b (Threatened).	language	African Savannah	14.8475	12.5342
Lagwan	Lagwan	kot	NA	lagw1237	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, South	10000	threatened	grammar	6b (Threatened).	language	African Savannah	14.9884	11.5592
Mser	Mser	kqx	NA	mser1242	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, South	500	moribund	specific_feature	8a (Moribund).	language	African Savannah	15.0373	11.9765
Jilbe	Jilbe	jie	NA	jilb1238	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1	100	shifting	overview	8b (Nearly extinct).	language	African Savannah	14.5794	11.7992
Muskum	Muskum	mje	NA	musk1256	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.2	0	extinct	wordlist	10 (Extinct).	language	African Savannah	15.4113	11.5697
Mbara (Chad)	Mbara_Chad	mpk	NA	mbar1260	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.2	1000	shifting	long_grammar	8a (Moribund).	language	African Savannah	15.5363	10.9585
Musgu	Musgu	mug	NA	musg1254	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.2	164400	not endangered	long_grammar	5 (Developing).	language	African Savannah	15.1065	10.8439
Gidar	Gidar	gid	NA	gida1247	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, C	65700	not endangered	long_grammar	5 (Developing).	language	African Savannah	14.07845	9.874715
Mire	Mire	mvh	NA	mire1238	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 1	5000	not endangered	overview	6a (Vigorous).	language	African Savannah	16.9932	9.69132
Ndam	Ndam	ndm	NA	ndam1251	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 1	6500	shifting	grammar_sketch	6a (Vigorous).	language	African Savannah	17.326	9.79369
Somrai	Somrai	sor	NA	somr1248	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 1	7410	not endangered	specific_feature	5 (Developing).	language	African Savannah	16.6784	9.65897
Tumak	Tumak	tmc	NA	tuma1260	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 1	25200	not endangered	grammar_sketch	6a (Vigorous).	language	African Savannah	17.4216	9.43747
Boor	Boor	bvf	NA	boor1242	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 2	100	moribund	overview	7 (Shifting).	language	African Savannah	17.5648	10.0904
Gadang	Gadang	gdk	NA	gada1262	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 2	2500	shifting	comparative	7 (Shifting).	language	African Savannah	16.997	10.425
Miltu	Miltu	mlj	NA	milt1241	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 2	270	shifting	wordlist	8a (Moribund).	language	African Savannah	17.4126	10.2347
Sarua	Sarua	swy	NA	saru1245	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.1, 2	2000	shifting	wordlist	7 (Shifting).	language	African Savannah	17.031	10.5987
Buso	Buso	bso	NA	buso1242	Bookkeeping	Afro-Asiatic, Chadic, East, A, A.1	40	moribund	socling	8b (Nearly extinct).	language	African Savannah	17.6011	12.5008
Kimre	Kimre	kqp	NA	kimr1241	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.2, 1	20000	not endangered	comparative	5 (Developing).	language	African Savannah	16.9423	9.42071
Lele (Chad)	Lele_Chad	lln	NA	lele1276	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.2, 1	26000	not endangered	long_grammar	5 (Developing).	language	African Savannah	15.81149	9.158
Nancere	Nancere	nnc	NA	nanc1253	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.2, 1	81000	not endangered	wordlist	5 (Developing).	language	African Savannah	16.1282	9.31975
Gabri	Gabri	gab	NA	gabr1253	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.2, 2	34400	not endangered	wordlist	5 (Developing).	language	African Savannah	16.623	9.33955
Kabalai	Kabalai	kvf	NA	kaba1292	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.2, 2	17900	threatened	wordlist	6a (Vigorous).	language	African Savannah	16.2821	9.38373
Tobanga	Tobanga	tng	NA	toba1280	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.2, 2	30000	not endangered	text	6a (Vigorous).	language	African Savannah	16.209	9.8289
Kera	Kera	ker	NA	kera1255	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.3	50500	not endangered	grammar	5 (Developing).	language	African Savannah	15.1419	9.88165
Kwang	Kwang	kvi	NA	kwan1285	Afro-Asiatic	Afro-Asiatic, Chadic, East, A, A.3	16800	not endangered	specific_feature	6a (Vigorous).	language	African Savannah	16.5129	10.1181
Bidiyo	Bidiyo	bid	NA	bidi1241	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	14000	not endangered	long_grammar	6a (Vigorous).	language	African Savannah	18.8065	11.9204
Dangaleat	Dangaleat	daa	NA	dang1274	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	60000	threatened	long_grammar	5 (Developing).	language	African Savannah	18.385	12.1517
Jonkor Bourmataguil	Jonkor_Bourmataguil	jeu	NA	jonk1238	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	1500	shifting	overview	7 (Shifting).	language	African Savannah	19.0954	11.5034
Mawa (Chad)	Mawa_Chad	mcw	NA	mawa1270	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	6560	shifting	specific_feature	6a (Vigorous).	language	African Savannah	18.2999	11.7461
Migaama	Migaama	mmy	NA	miga1249	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	20000	not endangered	grammar_sketch	5 (Developing).	language	African Savannah	18.9614	12.2367
Mogum	Mogum	mou	NA	mogu1251	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	7000	not endangered	grammar_sketch	6a (Vigorous).	language	African Savannah	18.6082	11.5199
Mabire	Mabire	muj	NA	mabi1242	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	3	nearly extinct	wordlist	8b (Nearly extinct).	language	African Savannah	18.6282	11.698
Ubi	Ubi	ubi	NA	ubii1238	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 1	1100	threatened	wordlist	7 (Shifting).	language	African Savannah	18.558	11.8006
Birgit	Birgit	btf	NA	birg1239	Afro-Asiatic	Afro-Asiatic, Chadic, East, B, B.1, 2	10400	not endangered	wordlist	6a (Vigorous).	language	African Savannah	19.8182	12.0228
