Name	Name_stripped_no_spaces	iso639_3	iso639_3_macro	glottocode	Family_name_glottolog	Classification_ethnologue	Population_numeric_ethnologue	endangerment_status_glottolog	desc_status_glottolog	Language_status_ethnologue	level	AUTOTYP_area	Longitude	Latitude
Awjilah	Awjilah	auj	NA	awji1241	Afro-Asiatic	Afro-Asiatic, Berber, Eastern, Awjila-Sokna	2000	shifting	long_grammar	8a (Moribund).	language	N Africa	21.1819	29.2341
Sawknah-Fogaha	SawknahFogaha	swn	NA	sawk1238	Afro-Asiatic	Afro-Asiatic, Berber, Eastern, Awjila-Sokna	0	extinct	wordlist	10 (Extinct).	language	N Africa	15.9742	29.16
Siwi	Siwi	siz	NA	siwi1239	Afro-Asiatic	Afro-Asiatic, Berber, Eastern, Siwa	20000	threatened	long_grammar	6a (Vigorous).	language	N Africa	25.519627	29.200415
Judeo-Berber	JudeoBerber	jbe	NA	jude1262	Bookkeeping	Afro-Asiatic, Berber, Northern, Atlas	2000	moribund	text	7 (Shifting).	language	N Africa	-7.95	30.9
Tachelhit	Tachelhit	shi	NA	tach1250	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Atlas	3896000	not endangered	long_grammar	5 (Developing).	language	N Africa	-7.77879	29.7854
Central Moroccan Berber	Central_Moroccan_Berber	tzm	NA	cent2194	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Atlas	2490000	threatened	long_grammar	6a (Vigorous).	language	N Africa	-2.40872	32.7415
Kabyle	Kabyle	kab	NA	kaby1243	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Kabyle	5586000	threatened	long_grammar	5 (Developing). Statutory language of national identity (2002, Constitutional Revision, Law No. 02-03).	language	N Africa	4.76137	36.4103
Ghadames	Ghadames	gha	NA	ghad1239	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, East	13100	shifting	grammar	6b (Threatened).	language	N Africa	10.0165	30.1168
Nafusi	Nafusi	jbn	NA	nafu1238	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, East	270000	moribund	long_grammar	6b (Threatened).	language	N Africa	9.83329	33.4398
Sened	Sened	sds	NA	sene1271	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, East	0	extinct	grammar_sketch	10 (Extinct).	language	N Africa	9.43778	34.4678
Ghomara	Ghomara	gho	NA	ghom1257	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Ghomara	10000	shifting	long_grammar	6a (Vigorous).	language	N Africa	-4.6696	34.7979
Sud Oranais-Gourara	Sud_OranaisGourara	grr	NA	tazn1238	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla	11000	threatened	long_grammar	6b (Threatened).	language	N Africa	0.01992	29.1107
Tumzabt	Tumzabt	mzb	NA	tumz1238	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla	150000	threatened	grammar_sketch	6b (Threatened).	language	N Africa	3.85035	32.5014
Ouargli	Ouargli	oua	NA	taga1278	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla	20000	shifting	grammar	6b (Threatened).	language	N Africa	5.28444	31.9454
Oued Righ	Oued_Righ	tjo	NA	tema1243	Afro-Asiatic	Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla	6000	shifting	grammar_sketch	7 (Shifting).	language	N Africa	6.06562	33.3489
