index	longitudes	latitudes	LANG_ISO	ID_ISO_A2	weighted_endemism	language_diversity	land_coverage	mgs	vegetation_productivity	new.mgs
1	1	-19787039.4885044	6071043.98630044	ckt	ckt-ru	0.0714285714285714	1	0.17	0	48.8026400483536	26
2	2	-19286101.7799346	6071043.98630044	ckt	ckt-ru	0.0714285714285714	1	0.08	1	93.4152495992036	51
3	3	-18785164.0713649	6071043.98630044	ckt	ckt-ru	0.0714285714285714	1	0.01	2	NA	55.5
4	4	-18284226.3627952	6071043.98630044	esk esi	esk-us esi-us	0.333333333333333	2	0.12	2	116.09020905	76
5	5	-17783288.6542255	6071043.98630044	esk esi	esk-us esi-us	0.333333333333333	2	0.37	2	117.0714397625	68
6	6	-17282350.9456557	6071043.98630044	esk esi koy	esk-us esi-us koy-us	0.533333333333333	3	0.4	2	53.7021748473674	75
7	7	-16781413.237086	6071043.98630044	esi koy	esi-us koy-us	0.366666666666667	2	0.36	3	116.036337875	95
8	8	-16280475.5285163	6071043.98630044	esi gwi	esi-us gwi-us	1.16666666666667	2	0.3	3	118.108685475	83
9	9	-15779537.8199465	6071043.98630044	esi gwi	esi-us gwi-ca	0.5	2	0.3	3	121.168255775	85
10	10	-15278600.1113768	6071043.98630044	gwi esi	gwi-ca esi-ca	0.833333333333333	2	0.25	3	118.806957275	96
11	11	-14777662.4028071	6071043.98630044	ikt gwi esi	ikt-ca gwi-ca esi-ca	0.916666666666667	3	0.3	3	120.042870525	88
12	12	-14276724.6942373	6071043.98630044	scs	scs-ca	0.5	1	0.3	3	115.4771557	81
13	13	-13775786.9856676	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.46	1	97.6197335837882	64
14	14	-13274849.2770979	6071043.98630044	NA	NA	0	0	0.53	1	84.0280688176172	43
15	15	-12773911.5685281	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.36	0	88.9052357850588	30
16	16	-12272973.8599584	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.49	1	85.2659527592133	43
17	17	-11772036.1513887	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.59	1	83.3043699649709	46
18	18	-11271098.4428189	6071043.98630044	NA	NA	0	0	0.3	0	81.7342285363677	16
19	19	-10770160.7342492	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.53	0	74.5717349870524	19
20	20	-10269223.0256795	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.63	0	82.2776773464631	0
21	21	-9768285.31710975	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.75	0	85.8625687004186	20
22	22	-9267347.60854002	6071043.98630044	ikt	ikt-ca	0.0833333333333333	1	0.9	0	91.997185456221	20
23	23	-8766409.89997029	6071043.98630044	NA	NA	0	0	0.58	0	93.8743605428418	0
24	24	-8265472.19140056	6071043.98630044	NA	NA	0	0	0.43	0	94.5964300918329	0
25	25	-7764534.48283083	6071043.98630044	ike	ike-ca	0.125	1	0.56	0	69.9096376839521	0
26	26	-7263596.7742611	6071043.98630044	ike	ike-ca	0.125	1	0.41	0	61.4085821335979	0
27	27	-6762659.06569137	6071043.98630044	NA	NA	0	0	0.3	0	64.1950111258843	0
28	28	-6261721.35712164	6071043.98630044	kal	kal-gl	0.166666666666667	1	0.48	0	73.7460717389107	0
29	29	-5760783.6485519	6071043.98630044	kal	kal-gl	0.166666666666667	1	0.92	0	88.5562667316199	0
30	30	-5259845.93998217	6071043.98630044	NA	NA	0	0	0.99	0	87.8804284509603	0
31	31	-4758908.23141244	6071043.98630044	NA	NA	0	0	1	0	88.3479878808457	0
32	32	-4257970.52284271	6071043.98630044	NA	NA	0	0	1	0	88.1892321767837	0
33	33	-3757032.81427298	6071043.98630044	NA	NA	0	0	0.92	0	87.6706603858912	0
34	34	-3256095.10570325	6071043.98630044	NA	NA	0	0	0.8	0	88.36861657709	0
35	35	-2755157.39713352	6071043.98630044	isl	isl-is	0.2	1	0.63	0	89.0744645657551	0
36	36	-2254219.68856379	6071043.98630044	kal	kal-gl	0.166666666666667	2	0.19	0	59.6262149047421	0
37	37	-1753281.97999405	6071043.98630044	isl	isl-is	0.2	1	0.04	0	NA	0
38	38	-1252344.27142432	6071043.98630044	NA	NA	0	0	0	0	NA	0
39	39	-751406.562854592	6071043.98630044	NA	NA	0	0	0	6	NA	0
40	40	-250468.85428486	6071043.98630044	NA	NA	0	0	0	NA	NA	NA
41	41	250468.854284871	6071043.98630044	NA	NA	0	0	0	NA	NA	NA
42	42	751406.562854603	6071043.98630044	NA	NA	0	0	0	4	NA	NA
43	43	1252344.27142433	6071043.98630044	nor	nor-no	0.125	0	0.06	0	9.55367469750107	0
