ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO,iso639_3_macro,glottocode,Family_name_glottolog,Population_numeric_ethnologue,AES,Language_status_ethnologue,iso_macro,EGIDS,LMP_POP1,LEI,UNESCO,count
SPA-PRY,spa-PRY,spa-py,spa-PA,Spanish,Spanish,SPANISH,Spanish,spa,NA,stan1288,Indo-European,436667750,not endangered,"1 (National). Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws.",spa-NA,1,413078600,NA,NA,24
ENG-USA,eng-USA,eng-us,eng-US,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-AUS,eng-AUS,eng-au,eng-AS,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-CAN,eng-CAN,eng-ca,eng-CA,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-GBR,eng-GBR,eng-gb,eng-UK,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-NZL,eng-NZL,eng-nz,eng-NZ,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-IRL,eng-IRL,eng-ie,eng-EI,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-GUY,eng-GUY,eng-gy,eng-GY,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-BLZ,eng-BLZ,eng-bz,eng-BH,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-ZAF,eng-ZAF,eng-za,eng-SF,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-LBR,eng-LBR,eng-lr,eng-LI,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-IMN,eng-IMN,eng-im,eng-IM,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-DOM,eng-DOM,eng-do,eng-DR,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-CYM,eng-CYM,eng-ky,eng-CJ,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-HND,eng-HND,eng-hn,eng-HO,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-BMU,eng-BMU,eng-bm,eng-BD,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-NFK,eng-NFK,eng-nf,eng-NF,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-GIB,eng-GIB,eng-gi,eng-GI,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-PCN,eng-PCN,eng-pn,eng-PC,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-COK,eng-COK,eng-ck,eng-CW,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
ENG-BLM,eng-BLM,eng-bl,eng-TB,English,English,ENGLISH,English,eng,NA,stan1293,Indo-European,371959910,not endangered,1 (National). De facto national language.,eng-NA,1,328947960,NA,NA,20
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,Threatened,Definitely endangered,18
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,Threatened,Severely endangered,18
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,At risk,Definitely endangered,18
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,At risk,Severely endangered,18
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,Vulnerable,Definitely endangered,18
OCI-FRA,oci-FRA,oci-fr,oci-EU,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,Vulnerable,Severely endangered,18
OCI-ITA,oci-ITA,oci-it,oci-IT,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,Threatened,Definitely endangered,18
OCI-ITA,oci-ITA,oci-it,oci-IT,Occitan,Occitan,OCCITAN,Occitan,oci,NA,occi1239,Indo-European,218310,not endangered,"6b (Threatened). Recognized language (2013, No. 595), Education.",oci-NA,6b,213810,Threatened,Severely endangered,18
