ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO,iso639_3_macro,glottocode,Family_name_glottolog,Population_numeric_ethnologue,AES,Language_status_ethnologue,iso_macro,EGIDS,LMP_POP1,LEI,UNESCO,count
FRA-ITA,fra-ITA,fra-it,fra-IT,French,French,FRENCH,French,fra,NA,stan1290,Indo-European,76096430,not endangered,"1 (National). Statutory national language (1958, Consitution, Article 2.1).",fra-NA,1,74208710,Critically Endangered,Severely endangered,52
FRA-IND,fra-IND,fra-in,fra-IN,French,French,FRENCH,French,fra,NA,stan1290,Indo-European,76096430,not endangered,"1 (National). Statutory national language (1958, Consitution, Article 2.1).",fra-NA,1,74208710,Threatened,Severely endangered,52
FRA-IND,fra-IND,fra-in,fra-IN,French,French,FRENCH,French,fra,NA,stan1290,Indo-European,76096430,not endangered,"1 (National). Statutory national language (1958, Consitution, Article 2.1).",fra-NA,1,74208710,Endangered,Severely endangered,52
FRA-IND,fra-IND,fra-in,fra-IN,French,French,FRENCH,French,fra,NA,stan1290,Indo-European,76096430,not endangered,"1 (National). Statutory national language (1958, Consitution, Article 2.1).",fra-NA,1,74208710,Severely Endangered,Severely endangered,52
FRA-IND,fra-IND,fra-in,fra-IN,French,French,FRENCH,French,fra,NA,stan1290,Indo-European,76096430,not endangered,"1 (National). Statutory national language (1958, Consitution, Article 2.1).",fra-NA,1,74208710,Critically Endangered,Severely endangered,52
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,At risk,Vulnerable,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,At risk,Definitely endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,At risk,Critically endangered,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Endangered,Vulnerable,30
ADI-IND,adi-IND,adi-in,adi-IN,Adi,Adi,ADI,Adi,adi,NA,bori1243,Sino-Tibetan,98090,not endangered,5 (Developing).,adi-NA,5,98090,Endangered,Definitely endangered,30
