ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO
MEY-MLI,mey-MLI,mey-ml,mey-ML,Hasanya Arabic,"Arabic, Hasanya","ARABIC, HASANYA","Arabic, Hasanya",mey
SOM-SOM,som-SOM,som-so,som-SO,Somali,Somali,SOMALI,Somali,som
BOD-CHN,bod-CHN,bod-cn,bod-CH,Central Tibetan,"Tibetan, Central","TIBETAN, CENTRAL","Tibetan, Central",bod
POL-POL,pol-POL,pol-pl,pol-PL,Polish,Polish,POLISH,Polish,pol
FRA-CAN,fra-CAN,fra-ca,fra-CA,French,French,FRENCH,French,fra
CKT-RUS,ckt-RUS,ckt-ru,ckt-RS,Chukchi,Chukchi,CHUKCHI,Chukchi,ckt
JPN-JPN,jpn-JPN,jpn-jp,jpn-JA,Japanese,Japanese,JAPANESE,Japanese,jpn
THV-DZA,thv-DZA,thv-dz,thv-AG,Tahaggart Tamahaq,"Tamahaq, Tahaggart","TAMAHAQ, TAHAGGART","Tamahaq, Tahaggart",thv
CJY-CHN,cjy-CHN,cjy-cn,cjy-CH,Jinyu Chinese,"Chinese, Jinyu","CHINESE, JINYU","Chinese, Jinyu",cjy
SPA-CHL,spa-CHL,spa-cl,spa-CI,Spanish,Spanish,SPANISH,Spanish,spa
SPA-PER,spa-PER,spa-pe,spa-PE,Spanish,Spanish,SPANISH,Spanish,spa
KPV-RUS,kpv-RUS,kpv-ru,kpv-RS,Komi-Zyrian,Komi-Zyrian,KOMI-ZYRIAN,Komi-Zyrian,kpv
SPA-BOL,spa-BOL,spa-bo,spa-BL,Spanish,Spanish,SPANISH,Spanish,spa
ENG-GBR,eng-GBR,eng-gb,eng-UK,English,English,ENGLISH,English,eng
SPA-VEN,spa-VEN,spa-ve,spa-VE,Spanish,Spanish,SPANISH,Spanish,spa
DZG-TCD,dzg-TCD,dzg-td,dzg-CD,Dazaga,Dazaga,DAZAGA,Dazaga,dzg
GUG-PRY,gug-PRY,gug-py,gug-PA,Paraguayan Guaraní,"Guaraní, Paraguayan","GUARANI, PARAGUAYAN","Guaraní, Paraguayan",gug
PJT-AUS,pjt-AUS,pjt-au,pjt-AS,Pitjantjatjara,Pitjantjatjara,PITJANTJATJARA,Pitjantjatjara,pjt
ARQ-DZA,arq-DZA,arq-dz,arq-AG,Algerian Spoken Arabic,"Arabic, Algerian Spoken","ARABIC, ALGERIAN SPOKEN","Arabic, Algerian Spoken",arq
ENG-NZL,eng-NZL,eng-nz,eng-NZ,English,English,ENGLISH,English,eng
FUQ-NER,fuq-NER,fuq-ne,fuq-NG,Central-Eastern Niger Fulfulde,"Fulfulde, Central-Eastern Niger","FULFULDE, CENTRAL-EASTERN NIGER","Fulfulde, Central-Eastern Niger",fuq
ADX-CHN,adx-CHN,adx-cn,adx-CH,Amdo Tibetan,"Tibetan, Amdo","TIBETAN, AMDO","Tibetan, Amdo",adx
XAL-CHN,xal-CHN,xal-cn,xal-CH,Kalmyk-Oirat,Kalmyk-Oirat,KALMYK-OIRAT,Kalmyk-Oirat,xal
BEL-BLR,bel-BLR,bel-by,bel-BO,Belarusan,Belarusan,BELARUSAN,Belarusan,bel
RUS-BLR,rus-BLR,rus-by,rus-BO,Russian,Russian,RUSSIAN,Russian,rus
ITA-ITA,ita-ITA,ita-it,ita-IT,Italian,Italian,ITALIAN,Italian,ita
RON-ROU,ron-ROU,ron-ro,ron-RO,Romanian,Romanian,ROMANIAN,Romanian,ron
KAZ-CHN,kaz-CHN,kaz-cn,kaz-CH,Kazakh,Kazakh,KAZAKH,Kazakh,kaz
ACW-SAU,acw-SAU,acw-sa,acw-SA,Hijazi Spoken Arabic,"Arabic, Hijazi Spoken","ARABIC, HIJAZI SPOKEN","Arabic, Hijazi Spoken",acw
MAR-IND,mar-IND,mar-in,mar-IN,Marathi,Marathi,MARATHI,Marathi,mar
XAL-MNG,xal-MNG,xal-mn,xal-MG,Oirat,Oirat,OIRAT,Oirat,xal
TEL-IND,tel-IND,tel-in,tel-IN,Telugu,Telugu,TELUGU,Telugu,tel
