ID,ID_ISO_A3,ID_ISO_A2,ID_FIPS,NAM_LABEL,NAME_PROP,NAME2,NAM_ANSI,LANG_ISO
AAU-PNG,aau-PNG,aau-pg,aau-PP,Abau,Abau,ABAU,Abau,aau
CFM-MMR,cfm-MMR,cfm-mm,cfm-BM,Falam Chin,"Chin, Falam","CHIN, FALAM","Chin, Falam",cfm
PEL-IDN,pel-IDN,pel-id,pel-ID,Pekal,Pekal,PEKAL,Pekal,pel
QVY-CHN,qvy-CHN,qvy-cn,qvy-CH,Queyu,Queyu,QUEYU,Queyu,qvy
HIX-BRA,hix-BRA,hix-br,hix-BR,Hixkaryána,Hixkaryána,HIXKARYANA,Hixkaryána,hix
AOC-GUY,aoc-GUY,aoc-gy,aoc-GY,Pemon,Pemon,PEMON,Pemon,aoc
PLR-CIV,plr-CIV,plr-ci,plr-IV,Palaka Sénoufo,"Sénoufo, Palaka","SENOUFO, PALAKA","Sénoufo, Palaka",plr
MUU-KEN,muu-KEN,muu-ke,muu-KE,Yaaku,Yaaku,YAAKU,Yaaku,muu
EMB-IDN,emb-IDN,emb-id,emb-ID,Embaloh,Embaloh,EMBALOH,Embaloh,emb
MED-PNG,med-PNG,med-pg,med-PP,Melpa,Melpa,MELPA,Melpa,med
GEW-NGA,gew-NGA,gew-ng,gew-NI,Gera,Gera,GERA,Gera,gew
IZZ-NGA,izz-NGA,izz-ng,izz-NI,Izii,Izii,IZII,Izii,izz
CWD-CAN,cwd-CAN,cwd-ca,cwd-CA,Woods Cree,"Cree, Woods","CREE, WOODS","Cree, Woods",cwd
DRE-NPL,dre-NPL,dre-np,dre-NP,Dolpo,Dolpo,DOLPO,Dolpo,dre
DGC-PHL,dgc-PHL,dgc-ph,dgc-RP,Casiguran Dumagat Agta,"Agta, Casiguran Dumagat","AGTA, CASIGURAN DUMAGAT","Agta, Casiguran Dumagat",dgc
ALE-RUS,ale-RUS,ale-ru,ale-RS,Aleut,Aleut,ALEUT,Aleut,ale
SDN-ITA,sdn-ITA,sdn-it,sdn-IT,Gallurese Sardinian,"Sardinian, Gallurese","SARDINIAN, GALLURESE","Sardinian, Gallurese",sdn
NNJ-ETH,nnj-ETH,nnj-et,nnj-ET,Nyangatom,Nyangatom,NYANGATOM,Nyangatom,nnj
IDB-IND,idb-IND,idb-in,idb-IN,Indo-Portuguese,Indo-Portuguese,INDO-PORTUGUESE,Indo-Portuguese,idb
SIG-GHA,sig-GHA,sig-gh,sig-GH,Paasaal,Paasaal,PAASAAL,Paasaal,sig
WIJ-AUS,wij-AUS,wij-au,wij-AS,Wik-Iiyanh,Wik-Iiyanh,WIK-IIYANH,Wik-Iiyanh,wij
GEL-NGA,gel-NGA,gel-ng,gel-NI,ut-Ma’in,ut-Ma’in,UT-MA’IN,ut-Ma’in,gel
JEG-LAO,jeg-LAO,jeg-la,jeg-LA,Jeng,Jeng,JENG,Jeng,jeg
WOB-CIV,wob-CIV,wob-ci,wob-IV,Wè Northern,Wè Northern,WE NORTHERN,Wè Northern,wob
AML-IND,aml-IND,aml-in,aml-IN,War-Jaintia,War-Jaintia,WAR-JAINTIA,War-Jaintia,aml
AJG-TGO,ajg-TGO,ajg-tg,ajg-TO,Aja,Aja,AJA,Aja,ajg
TBL-PHL,tbl-PHL,tbl-ph,tbl-RP,Tboli,Tboli,TBOLI,Tboli,tbl
ZMN-GAB,zmn-GAB,zmn-ga,zmn-GB,Mbangwe,Mbangwe,MBANGWE,Mbangwe,zmn
ANW-NGA,anw-NGA,anw-ng,anw-NI,Anaang,Anaang,ANAANG,Anaang,anw
AKC-IDN,akc-IDN,akc-id,akc-ID,Mpur,Mpur,MPUR,Mpur,akc
EFI-NGA,efi-NGA,efi-ng,efi-NI,Efik,Efik,EFIK,Efik,efi
PEH-CHN,peh-CHN,peh-cn,peh-CH,Bonan,Bonan,BONAN,Bonan,peh
ITV-PHL,itv-PHL,itv-ph,itv-RP,Itawit,Itawit,ITAWIT,Itawit,itv
ZEA-NLD,zea-NLD,zea-nl,zea-NL,Zeeuws,Zeeuws,ZEEUWS,Zeeuws,zea
KKZ-CAN,kkz-CAN,kkz-ca,kkz-CA,Kaska,Kaska,KASKA,Kaska,kkz
ADW-BRA,adw-BRA,adw-br,adw-BR,Amundava,Amundava,AMUNDAVA,Amundava,adw
ULM-IDN,ulm-IDN,ulm-id,ulm-ID,Ulumanda’,Ulumanda’,ULUMANDA’,Ulumanda’,ulm
GOW-TZA,gow-TZA,gow-tz,gow-TZ,Gorowa,Gorowa,GOROWA,Gorowa,gow
BWG-MOZ,bwg-MOZ,bwg-mz,bwg-MZ,Barwe,Barwe,BARWE,Barwe,bwg
YUP-COL,yup-COL,yup-co,yup-CO,Yukpa,Yukpa,YUKPA,Yukpa,yup
MTG-IDN,mtg-IDN,mtg-id,mtg-ID,Una,Una,UNA,Una,mtg
MFE-MUS,mfe-MUS,mfe-mu,mfe-MP,Morisyen,Morisyen,MORISYEN,Morisyen,mfe
ATB-MMR,atb-MMR,atb-mm,atb-BM,Zaiwa,Zaiwa,ZAIWA,Zaiwa,atb
MUZ-ETH,muz-ETH,muz-et,muz-ET,Mursi,Mursi,MURSI,Mursi,muz
MDX-ETH,mdx-ETH,mdx-et,mdx-ET,Dizin,Dizin,DIZIN,Dizin,mdx
MHU-IND,mhu-IND,mhu-in,mhu-IN,Digaro-Mishmi,Digaro-Mishmi,DIGARO-MISHMI,Digaro-Mishmi,mhu
YAX-AGO,yax-AGO,yax-ao,yax-AO,Yauma,Yauma,YAUMA,Yauma,yax
CAB-HND,cab-HND,cab-hn,cab-HO,Garifuna,Garifuna,GARIFUNA,Garifuna,cab
BEB-CMR,beb-CMR,beb-cm,beb-CM,Bebele,Bebele,BEBELE,Bebele,beb
STV-ETH,stv-ETH,stv-et,stv-ET,Silt’e,Silt’e,SILT’E,Silt’e,stv
BKJ-CAF,bkj-CAF,bkj-cf,bkj-CT,Pande,Pande,PANDE,Pande,bkj
LYG-IND,lyg-IND,lyg-in,lyg-IN,Lyngngam,Lyngngam,LYNGNGAM,Lyngngam,lyg
ZGA-TZA,zga-TZA,zga-tz,zga-TZ,Kinga,Kinga,KINGA,Kinga,zga
ACT-NLD,act-NLD,act-nl,act-NL,Achterhoeks,Achterhoeks,ACHTERHOEKS,Achterhoeks,act
MXV-MEX,mxv-MEX,mxv-mx,mxv-MX,Metlatónoc Mixtec,"Mixtec, Metlatónoc","MIXTEC, METLATONOC","Mixtec, Metlatónoc",mxv
SRP-MKD,srp-MKD,srp-mk,srp-MK,Serbian,Serbian,SERBIAN,Serbian,srp
YOM-COG,yom-COG,yom-cg,yom-CF,Yombe,Yombe,YOMBE,Yombe,yom
PIA-MEX,pia-MEX,pia-mx,pia-MX,Pima Bajo,Pima Bajo,PIMA BAJO,Pima Bajo,pia
MAZ-MEX,maz-MEX,maz-mx,maz-MX,Central Mazahua,"Mazahua, Central","MAZAHUA, CENTRAL","Mazahua, Central",maz
ICH-NGA,ich-NGA,ich-ng,ich-NI,Etkywan,Etkywan,ETKYWAN,Etkywan,ich
LGG-COD,lgg-COD,lgg-cd,lgg-CG,Lugbara,Lugbara,LUGBARA,Lugbara,lgg
PCI-IND,pci-IND,pci-in,pci-IN,Duruwa,Duruwa,DURUWA,Duruwa,pci
JIT-TZA,jit-TZA,jit-tz,jit-TZ,Jita,Jita,JITA,Jita,jit
REY-BOL,rey-BOL,rey-bo,rey-BL,Reyesano,Reyesano,REYESANO,Reyesano,rey
NOQ-COD,noq-COD,noq-cd,noq-CG,Ngongo,Ngongo,NGONGO,Ngongo,noq
KNE-PHL,kne-PHL,kne-ph,kne-RP,Kankanaey,Kankanaey,KANKANAEY,Kankanaey,kne
HTS-TZA,hts-TZA,hts-tz,hts-TZ,Hadza,Hadza,HADZA,Hadza,hts
KDL-NGA,kdl-NGA,kdl-ng,kdl-NI,Tsikimba,Tsikimba,TSIKIMBA,Tsikimba,kdl
TMU-IDN,tmu-IDN,tmu-id,tmu-ID,Iau,Iau,IAU,Iau,tmu
BSK-PAK,bsk-PAK,bsk-pk,bsk-PK,Burushaski,Burushaski,BURUSHASKI,Burushaski,bsk
SGW-ETH,sgw-ETH,sgw-et,sgw-ET,Sebat Bet Gurage,Sebat Bet Gurage,SEBAT BET GURAGE,Sebat Bet Gurage,sgw
BPS-PHL,bps-PHL,bps-ph,bps-RP,Sarangani Blaan,"Blaan, Sarangani","BLAAN, SARANGANI","Blaan, Sarangani",bps
XMT-IDN,xmt-IDN,xmt-id,xmt-ID,Matbat,Matbat,MATBAT,Matbat,xmt
SBS-ZMB,sbs-ZMB,sbs-zm,sbs-ZA,Kuhane,Kuhane,KUHANE,Kuhane,sbs
YMK-MOZ,ymk-MOZ,ymk-mz,ymk-MZ,Makwe,Makwe,MAKWE,Makwe,ymk
AVU-COD,avu-COD,avu-cd,avu-CG,Avokaya,Avokaya,AVOKAYA,Avokaya,avu
DUF-NCL,duf-NCL,duf-nc,duf-NC,Drubea,Drubea,DRUBEA,Drubea,duf
TAQ-BFA,taq-BFA,taq-bf,taq-UV,Kidal Tamasheq,"Tamasheq, Kidal","TAMASHEQ, KIDAL","Tamasheq, Kidal",taq
TMC-TCD,tmc-TCD,tmc-td,tmc-CD,Tumak,Tumak,TUMAK,Tumak,tmc
JBJ-IDN,jbj-IDN,jbj-id,jbj-ID,Arandai,Arandai,ARANDAI,Arandai,jbj
TPY-BRA,tpy-BRA,tpy-br,tpy-BR,Trumai,Trumai,TRUMAI,Trumai,tpy
DOP-BEN,dop-BEN,dop-bj,dop-BN,Lukpa,Lukpa,LUKPA,Lukpa,dop
RAO-PNG,rao-PNG,rao-pg,rao-PP,Rao,Rao,RAO,Rao,rao
BSC-SEN,bsc-SEN,bsc-sn,bsc-SG,Oniyan,Oniyan,ONIYAN,Oniyan,bsc
GVR-NPL,gvr-NPL,gvr-np,gvr-NP,Western Gurung,"Gurung, Western","GURUNG, WESTERN","Gurung, Western",gvr
TQO-PNG,tqo-PNG,tqo-pg,tqo-PP,Toaripi,Toaripi,TOARIPI,Toaripi,tqo
NQG-BEN,nqg-BEN,nqg-bj,nqg-BN,Southern Nago,"Nago, Southern","NAGO, SOUTHERN","Nago, Southern",nqg
KQY-ETH,kqy-ETH,kqy-et,kqy-ET,Koorete,Koorete,KOORETE,Koorete,kqy
MJI-VNM,mji-VNM,mji-vn,mji-VM,Kim Mun,Kim Mun,KIM MUN,Kim Mun,mji
AKL-PHL,akl-PHL,akl-ph,akl-RP,Inakeanon,Inakeanon,INAKEANON,Inakeanon,akl
KZF-IDN,kzf-IDN,kzf-id,kzf-ID,Da’a Kaili,"Kaili, Da’a","KAILI, DA’A","Kaili, Da’a",kzf
MYF-ETH,myf-ETH,myf-et,myf-ET,Bambassi,Bambassi,BAMBASSI,Bambassi,myf
PBS-MEX,pbs-MEX,pbs-mx,pbs-MX,Central Pame,"Pame, Central","PAME, CENTRAL","Pame, Central",pbs
YNO-THA,yno-THA,yno-th,yno-TH,Yong,Yong,YONG,Yong,yno
KNF-SEN,knf-SEN,knf-sn,knf-SG,Mankanya,Mankanya,MANKANYA,Mankanya,knf
BWS-COD,bws-COD,bws-cd,bws-CG,Bomboma,Bomboma,BOMBOMA,Bomboma,bws
XSM-GHA,xsm-GHA,xsm-gh,xsm-GH,Kasem,Kasem,KASEM,Kasem,xsm
BNI-COD,bni-COD,bni-cd,bni-CG,Bangi,Bangi,BANGI,Bangi,bni
DIH-MEX,dih-MEX,dih-mx,dih-MX,Kumiai,Kumiai,KUMIAI,Kumiai,dih
TAT-CHN,tat-CHN,tat-cn,tat-CH,Tatar,Tatar,TATAR,Tatar,tat
CKO-TGO,cko-TGO,cko-tg,cko-TO,Anufo,Anufo,ANUFO,Anufo,cko
IGN-BOL,ign-BOL,ign-bo,ign-BL,Ignaciano,Ignaciano,IGNACIANO,Ignaciano,ign
GOF-ETH,gof-ETH,gof-et,gof-ET,Gofa,Gofa,GOFA,Gofa,gof
LIN-COD,lin-COD,lin-cd,lin-CG,Lingala,Lingala,LINGALA,Lingala,lin
UZN-CHN,uzn-CHN,uzn-cn,uzn-CH,Northern Uzbek,"Uzbek, Northern","UZBEK, NORTHERN","Uzbek, Northern",uzn
ALW-ETH,alw-ETH,alw-et,alw-ET,Alaba-K’abeena,Alaba-K’abeena,ALABA-K’ABEENA,Alaba-K’abeena,alw
MYX-UGA,myx-UGA,myx-ug,myx-UG,Masaaba,Masaaba,MASAABA,Masaaba,myx
WAW-GUY,waw-GUY,waw-gy,waw-GY,Waiwai,Waiwai,WAIWAI,Waiwai,waw
BEV-CIV,bev-CIV,bev-ci,bev-IV,Daloa Bété,"Bété, Daloa","BETE, DALOA","Bété, Daloa",bev
TTR-NGA,ttr-NGA,ttr-ng,ttr-NI,Tera,Tera,TERA,Tera,ttr
NDP-COD,ndp-COD,ndp-cd,ndp-CG,Ndo,Ndo,NDO,Ndo,ndp
IDD-BEN,idd-BEN,idd-bj,idd-BN,Ede Idaca,Ede Idaca,EDE IDACA,Ede Idaca,idd
KLG-PHL,klg-PHL,klg-ph,klg-RP,Tagakaulo,Tagakaulo,TAGAKAULO,Tagakaulo,klg
BAA-SLB,baa-SLB,baa-sb,baa-BP,Babatana,Babatana,BABATANA,Babatana,baa
VKK-IDN,vkk-IDN,vkk-id,vkk-ID,Kaur,Kaur,KAUR,Kaur,vkk
CHD-MEX,chd-MEX,chd-mx,chd-MX,Highland Oaxaca Chontal,"Chontal, Highland Oaxaca","CHONTAL, HIGHLAND OAXACA","Chontal, Highland Oaxaca",chd
XAN-ETH,xan-ETH,xan-et,xan-ET,Xamtanga,Xamtanga,XAMTANGA,Xamtanga,xan
NZY-TCD,nzy-TCD,nzy-td,nzy-CD,Nzakambay,Nzakambay,NZAKAMBAY,Nzakambay,nzy
FQS-PNG,fqs-PNG,fqs-pg,fqs-PP,Fas,Fas,FAS,Fas,fqs
CEK-MMR,cek-MMR,cek-mm,cek-BM,Eastern Khumi Chin,"Chin, Eastern Khumi","CHIN, EASTERN KHUMI","Chin, Eastern Khumi",cek
VAI-SLE,vai-SLE,vai-sl,vai-SL,Vai,Vai,VAI,Vai,vai
AWS-IDN,aws-IDN,aws-id,aws-ID,South Awyu,"Awyu, South","AWYU, SOUTH","Awyu, South",aws
NRB-ERI,nrb-ERI,nrb-er,nrb-ER,Nara,Nara,NARA,Nara,nrb
YUL-SDN,yul-SDN,yul-sd,yul-SU,Yulu,Yulu,YULU,Yulu,yul
LIA-SLE,lia-SLE,lia-sl,lia-SL,West-Central Limba,"Limba, West-Central","LIMBA, WEST-CENTRAL","Limba, West-Central",lia
TCA-COL,tca-COL,tca-co,tca-CO,Ticuna,Ticuna,TICUNA,Ticuna,tca
SHE-ETH,she-ETH,she-et,she-ET,Sheko,Sheko,SHEKO,Sheko,she
GHK-MMR,ghk-MMR,ghk-mm,ghk-BM,Geko Karen,"Karen, Geko","KAREN, GEKO","Karen, Geko",ghk
TXT-IDN,txt-IDN,txt-id,txt-ID,Citak,Citak,CITAK,Citak,txt
AFO-NGA,afo-NGA,afo-ng,afo-NI,Eloyi,Eloyi,ELOYI,Eloyi,afo
TET-IDN,tet-IDN,tet-id,tet-ID,Tetun,Tetun,TETUN,Tetun,tet
UDU-SDN,udu-SDN,udu-sd,udu-SU,Uduk,Uduk,UDUK,Uduk,udu
MZK-NGA,mzk-NGA,mzk-ng,mzk-NI,Nigeria Mambila,"Mambila, Nigeria","MAMBILA, NIGERIA","Mambila, Nigeria",mzk
SAA-TCD,saa-TCD,saa-td,saa-CD,Saba,Saba,SABA,Saba,saa
LOH-SSD,loh-SSD,loh-ss,loh-OD,Narim,Narim,NARIM,Narim,loh
BSS-CMR,bss-CMR,bss-cm,bss-CM,Akoose,Akoose,AKOOSE,Akoose,bss
CAS-BOL,cas-BOL,cas-bo,cas-BL,Tsimané,Tsimané,TSIMANE,Tsimané,cas
VMA-AUS,vma-AUS,vma-au,vma-AS,Martuyhunira,Martuyhunira,MARTUYHUNIRA,Martuyhunira,vma
NBL-ZAF,nbl-ZAF,nbl-za,nbl-SF,Ndebele,Ndebele,NDEBELE,Ndebele,nbl
MBI-PHL,mbi-PHL,mbi-ph,mbi-RP,Ilianen Manobo,"Manobo, Ilianen","MANOBO, ILIANEN","Manobo, Ilianen",mbi
MOW-COG,mow-COG,mow-cg,mow-CF,Moi,Moi,MOI,Moi,mow
GAG-BGR,gag-BGR,gag-bg,gag-BU,Gagauz,Gagauz,GAGAUZ,Gagauz,gag
GLJ-TCD,glj-TCD,glj-td,glj-CD,Gula Iro,Gula Iro,GULA IRO,Gula Iro,glj
XKU-COG,xku-COG,xku-cg,xku-CF,Kaamba,Kaamba,KAAMBA,Kaamba,xku
ASU-BRA,asu-BRA,asu-br,asu-BR,Tocantins Asurini,"Asurini, Tocantins","ASURINI, TOCANTINS","Asurini, Tocantins",asu
IQU-PER,iqu-PER,iqu-pe,iqu-PE,Iquito,Iquito,IQUITO,Iquito,iqu
DEU-CZE,deu-CZE,deu-cz,deu-EZ,Standard German,"German, Standard","GERMAN, STANDARD","German, Standard",deu
SEP-BFA,sep-BFA,sep-bf,sep-UV,Sìcìté Sénoufo,"Sénoufo, Sìcìté","SENOUFO, SICITE","Sénoufo, Sìcìté",sep
SUQ-ETH,suq-ETH,suq-et,suq-ET,Suri,Suri,SURI,Suri,suq
SWC-ZMB,swc-ZMB,swc-zm,swc-ZA,Congo Swahili,"Swahili, Congo","SWAHILI, CONGO","Swahili, Congo",swc
XRB-BFA,xrb-BFA,xrb-bf,xrb-UV,Eastern Karaboro,"Karaboro, Eastern","KARABORO, EASTERN","Karaboro, Eastern",xrb
WAI-IDN,wai-IDN,wai-id,wai-ID,Wares,Wares,WARES,Wares,wai
BQR-IDN,bqr-IDN,bqr-id,bqr-ID,Burusu,Burusu,BURUSU,Burusu,bqr
AHK-CHN,ahk-CHN,ahk-cn,ahk-CH,Akha,Akha,AKHA,Akha,ahk
SWX-BRA,swx-BRA,swx-br,swx-BR,Suruahá,Suruahá,SURUAHA,Suruahá,swx
NDZ-SSD,ndz-SSD,ndz-ss,ndz-OD,Ndogo,Ndogo,NDOGO,Ndogo,ndz
DUC-PNG,duc-PNG,duc-pg,duc-PP,Duna,Duna,DUNA,Duna,duc
AJI-NCL,aji-NCL,aji-nc,aji-NC,Ajië,Ajië,AJIE,Ajië,aji
WUL-IDN,wul-IDN,wul-id,wul-ID,Silimo,Silimo,SILIMO,Silimo,wul
KYK-PHL,kyk-PHL,kyk-ph,kyk-RP,Kamayo,Kamayo,KAMAYO,Kamayo,kyk
KPS-IDN,kps-IDN,kps-id,kps-ID,Tehit,Tehit,TEHIT,Tehit,kps
PLK-PAK,plk-PAK,plk-pk,plk-PK,Kohistani Shina,"Shina, Kohistani","SHINA, KOHISTANI","Shina, Kohistani",plk
TIZ-CHN,tiz-CHN,tiz-cn,tiz-CH,Tai Hongjin,Tai Hongjin,TAI HONGJIN,Tai Hongjin,tiz
TAF-BRA,taf-BRA,taf-br,taf-BR,Tapirapé,Tapirapé,TAPIRAPE,Tapirapé,taf
DEU-HUN,deu-HUN,deu-hu,deu-HU,Standard German,"German, Standard","GERMAN, STANDARD","German, Standard",deu
ANV-CMR,anv-CMR,anv-cm,anv-CM,Denya,Denya,DENYA,Denya,anv
WBL-CHN,wbl-CHN,wbl-cn,wbl-CH,Wakhi,Wakhi,WAKHI,Wakhi,wbl
BCQ-ETH,bcq-ETH,bcq-et,bcq-ET,Bench,Bench,BENCH,Bench,bcq
MRH-MMR,mrh-MMR,mrh-mm,mrh-BM,Mara Chin,"Chin, Mara","CHIN, MARA","Chin, Mara",mrh
LUJ-COD,luj-COD,luj-cd,luj-CG,Luna,Luna,LUNA,Luna,luj
TRT-IDN,trt-IDN,trt-id,trt-ID,Tunggare,Tunggare,TUNGGARE,Tunggare,trt
PIG-PER,pig-PER,pig-pe,pig-PE,Pisabo,Pisabo,PISABO,Pisabo,pig
TNT-IDN,tnt-IDN,tnt-id,tnt-ID,Tontemboan,Tontemboan,TONTEMBOAN,Tontemboan,tnt
MVY-PAK,mvy-PAK,mvy-pk,mvy-PK,Indus Kohistani,"Kohistani, Indus","KOHISTANI, INDUS","Kohistani, Indus",mvy
MLF-THA,mlf-THA,mlf-th,mlf-TH,Mal,Mal,MAL,Mal,mlf
SSN-KEN,ssn-KEN,ssn-ke,ssn-KE,Waata,Waata,WAATA,Waata,ssn
DAJ-SDN,daj-SDN,daj-sd,daj-SU,Dar Fur Daju,"Daju, Dar Fur","DAJU, DAR FUR","Daju, Dar Fur",daj
LND-IDN,lnd-IDN,lnd-id,lnd-ID,Lun Bawang,Lun Bawang,LUN BAWANG,Lun Bawang,lnd
KYT-IDN,kyt-IDN,kyt-id,kyt-ID,Kayagar,Kayagar,KAYAGAR,Kayagar,kyt
WCI-TGO,wci-TGO,wci-tg,wci-TO,Waci Gbe,"Gbe, Waci","GBE, WACI","Gbe, Waci",wci
CDM-NPL,cdm-NPL,cdm-np,cdm-NP,Chepang,Chepang,CHEPANG,Chepang,cdm
BFB-IND,bfb-IND,bfb-in,bfb-IN,Pauri Bareli,"Bareli, Pauri","BARELI, PAURI","Bareli, Pauri",bfb
LJL-IDN,ljl-IDN,ljl-id,ljl-ID,Li’o,Li’o,LI’O,Li’o,ljl
SEY-ECU,sey-ECU,sey-ec,sey-EC,Secoya,Secoya,SECOYA,Secoya,sey
SEI-MEX,sei-MEX,sei-mx,sei-MX,Seri,Seri,SERI,Seri,sei
KFV-IND,kfv-IND,kfv-in,kfv-IN,Kurmukar,Kurmukar,KURMUKAR,Kurmukar,kfv
LBN-LAO,lbn-LAO,lbn-la,lbn-LA,Lamet,Lamet,LAMET,Lamet,lbn
AZJ-ARM,azj-ARM,azj-am,azj-AM,North Azerbaijani,"Azerbaijani, North","AZERBAIJANI, NORTH","Azerbaijani, North",azj
ZOM-MMR,zom-MMR,zom-mm,zom-BM,Zo,Zo,ZO,Zo,zom
KRH-NGA,krh-NGA,krh-ng,krh-NI,Kurama,Kurama,KURAMA,Kurama,krh
SPT-IND,spt-IND,spt-in,spt-IN,Spiti Bhoti,Spiti Bhoti,SPITI BHOTI,Spiti Bhoti,spt
LUC-UGA,luc-UGA,luc-ug,luc-UG,Aringa,Aringa,ARINGA,Aringa,luc
PMX-IND,pmx-IND,pmx-in,pmx-IN,Poumei Naga,"Naga, Poumei","NAGA, POUMEI","Naga, Poumei",pmx
BDS-TZA,bds-TZA,bds-tz,bds-TZ,Burunge,Burunge,BURUNGE,Burunge,bds
BRF-COD,brf-COD,brf-cd,brf-CG,Bera,Bera,BERA,Bera,brf
GOB-COL,gob-COL,gob-co,gob-CO,Playero,Playero,PLAYERO,Playero,gob
GED-NGA,ged-NGA,ged-ng,ged-NI,Gade,Gade,GADE,Gade,ged
BGR-BGD,bgr-BGD,bgr-bd,bgr-BG,Bawm Chin,"Chin, Bawm","CHIN, BAWM","Chin, Bawm",bgr
ATX-VEN,atx-VEN,atx-ve,atx-VE,Arutani,Arutani,ARUTANI,Arutani,atx
PRT-LAO,prt-LAO,prt-la,prt-LA,Prai,Prai,PRAI,Prai,prt
TPU-KHM,tpu-KHM,tpu-kh,tpu-CB,Tampuan,Tampuan,TAMPUAN,Tampuan,tpu
KQE-PHL,kqe-PHL,kqe-ph,kqe-RP,Kalagan,Kalagan,KALAGAN,Kalagan,kqe
CAC-GTM,cac-GTM,cac-gt,cac-GT,Chuj,Chuj,CHUJ,Chuj,cac
HAJ-IND,haj-IND,haj-in,haj-IN,Hajong,Hajong,HAJONG,Hajong,haj
YAL-MLI,yal-MLI,yal-ml,yal-ML,Jalunga,Jalunga,JALUNGA,Jalunga,yal
MEL-MYS,mel-MYS,mel-my,mel-MY,Central Melanau,"Melanau, Central","MELANAU, CENTRAL","Melanau, Central",mel
BEI-IDN,bei-IDN,bei-id,bei-ID,Bakati’,Bakati’,BAKATI’,Bakati’,bei
DEI-IDN,dei-IDN,dei-id,dei-ID,Demisa,Demisa,DEMISA,Demisa,dei
SWU-IDN,swu-IDN,swu-id,swu-ID,Suwawa,Suwawa,SUWAWA,Suwawa,swu
APM-USA,apm-USA,apm-us,apm-US,Mescalero-Chiricahua Apache,"Apache, Mescalero-Chiricahua","APACHE, MESCALERO-CHIRICAHUA","Apache, Mescalero-Chiricahua",apm
ABL-IDN,abl-IDN,abl-id,abl-ID,Lampung Nyo,Lampung Nyo,LAMPUNG NYO,Lampung Nyo,abl
LNS-CMR,lns-CMR,lns-cm,lns-CM,Lamnso’,Lamnso’,LAMNSO’,Lamnso’,lns
LHU-THA,lhu-THA,lhu-th,lhu-TH,Lahu,Lahu,LAHU,Lahu,lhu
MUA-CMR,mua-CMR,mua-cm,mua-CM,Mundang,Mundang,MUNDANG,Mundang,mua
NIX-COD,nix-COD,nix-cd,nix-CG,Hema,Hema,HEMA,Hema,nix
TLF-PNG,tlf-PNG,tlf-pg,tlf-PP,Telefol,Telefol,TELEFOL,Telefol,tlf
LZZ-GEO,lzz-GEO,lzz-ge,lzz-GG,Laz,Laz,LAZ,Laz,lzz
DUN-IDN,dun-IDN,dun-id,dun-ID,Dusun Deyah,Dusun Deyah,DUSUN DEYAH,Dusun Deyah,dun
TBK-PHL,tbk-PHL,tbk-ph,tbk-RP,Calamian Tagbanwa,"Tagbanwa, Calamian","TAGBANWA, CALAMIAN","Tagbanwa, Calamian",tbk
XAY-IDN,xay-IDN,xay-id,xay-ID,Kayan Mahakam,Kayan Mahakam,KAYAN MAHAKAM,Kayan Mahakam,xay
LME-TCD,lme-TCD,lme-td,lme-CD,Pévé,Pévé,PEVE,Pévé,lme
KBG-IND,kbg-IND,kbg-in,kbg-IN,Khamba,Khamba,KHAMBA,Khamba,kbg
BYZ-PNG,byz-PNG,byz-pg,byz-PP,Banaro,Banaro,BANARO,Banaro,byz
KUF-LAO,kuf-LAO,kuf-la,kuf-LA,Western Katu,"Katu, Western","KATU, WESTERN","Katu, Western",kuf
KOG-COL,kog-COL,kog-co,kog-CO,Kogi,Kogi,KOGI,Kogi,kog
IAR-PNG,iar-PNG,iar-pg,iar-PP,Purari,Purari,PURARI,Purari,iar
NCU-GHA,ncu-GHA,ncu-gh,ncu-GH,Chumburung,Chumburung,CHUMBURUNG,Chumburung,ncu
TTD-PNG,ttd-PNG,ttd-pg,ttd-PP,Tauade,Tauade,TAUADE,Tauade,ttd
ASR-IND,asr-IND,asr-in,asr-IN,Asuri,Asuri,ASURI,Asuri,asr
GIX-COD,gix-COD,gix-cd,gix-CG,Gilima,Gilima,GILIMA,Gilima,gix
KFU-IND,kfu-IND,kfu-in,kfu-IN,Katkari,Katkari,KATKARI,Katkari,kfu
DBU-MLI,dbu-MLI,dbu-ml,dbu-ML,Bondum Dom Dogon,"Dogon, Bondum Dom","DOGON, BONDUM DOM","Dogon, Bondum Dom",dbu
TIF-PNG,tif-PNG,tif-pg,tif-PP,Tifal,Tifal,TIFAL,Tifal,tif
WOF-GMB,wof-GMB,wof-gm,wof-GA,Gambian Wolof,"Wolof, Gambian","WOLOF, GAMBIAN","Wolof, Gambian",wof
SGI-CMR,sgi-CMR,sgi-cm,sgi-CM,Suga,Suga,SUGA,Suga,sgi
AWY-IDN,awy-IDN,awy-id,awy-ID,Edera Awyu,"Awyu, Edera","AWYU, EDERA","Awyu, Edera",awy
SYL-IND,syl-IND,syl-in,syl-IN,Sylheti,Sylheti,SYLHETI,Sylheti,syl
GRI-SLB,gri-SLB,gri-sb,gri-BP,Ghari,Ghari,GHARI,Ghari,gri
ZNA-TCD,zna-TCD,zna-td,zna-CD,Zan Gula,Zan Gula,ZAN GULA,Zan Gula,zna
KMQ-ETH,kmq-ETH,kmq-et,kmq-ET,Kwama,Kwama,KWAMA,Kwama,kmq
