"","P[Y=1]","P[Y=2]","P[Y=3]","y_hat","y_avg","y_obs","latent1","latent2"
"aaa",0.998208432846436,0.00178315988813216,8.40726543149817e-06,1,1.001799974419,1,0.00179997441899538,0
"aab",0.991234113379124,0.00868298610732654,8.29005135497551e-05,1,1.00884878713443,1,0.00884878713442605,0
"aac",0.696481198834979,0.275133307785538,0.0283854933794825,1,1.3319042945445,1,0.331904294544503,0
"aad",0.639330011729326,0.320388750587585,0.040281237683089,1,1.40095122595376,1,0.400951225953763,0
"aae",0.989364675565112,0.0105249079567997,0.000110416478087849,1,1.01074574091298,1,0.0107457409129754,0
"aaf",0.712911570036572,0.261659307561676,0.0254291224017515,1,1.31251755236518,1,0.312517552365179,0
"aag",0.882806571891653,0.11225194502462,0.00494148308372688,1,1.12213491119207,1,0.122134911192074,0
"aai",0.987707669754074,0.0121552843315982,0.000137045914327838,1,1.01242937616025,1,0.0124293761602536,0
"aak",0.976640369858868,0.0229966727152081,0.000362957425924182,1,1.02372258756706,1,0.0237225875670566,0
"aal",0.995131577490143,0.00483335106526961,3.50714445871425e-05,1,1.00490349395444,1,0.00490349395444389,0
"aan",0.149447455310528,0.488117325416281,0.362435219273191,2,2.21298776396266,2,0.212987763962663,0
"aap",0.461890906598832,0.440464871806972,0.0976442215941951,1,1.63575331499536,1,0.635753314995363,0
"aaq",0.683206255952086,0.28587413158635,0.0309196124615643,1,1.34771335650948,3,-1.65228664349052,-2
"aar",0.999998732824384,1.26663221211576e-06,5.43404099495604e-10,1,1.00000126771902,1,1.26771902042577e-06,0
"aas",0.424973270289789,0.46026292125164,0.114763808458571,2,1.68979053816878,2,-0.310209461831218,0
"aat",0.949931960058366,0.0488651920048346,0.0012028479367997,1,1.05127088787843,1,0.051270887878434,0
"aau",0.990220503747631,0.0096820185966221,9.74776557471912e-05,1,1.00987697390812,1,0.00987697390811659,0
"aaw",0.934585483765144,0.0635582284031976,0.00185628783165859,1,1.06727080406651,1,0.0672708040665149,0
"aax",0.939161959223357,0.0591892295661116,0.00164881121053095,1,1.06248685198717,1,0.0624868519871735,0
"aaz",0.973121250967816,0.0264279336695133,0.000450815362670776,1,1.02732956439486,1,0.027329564394855,0
"aba",0.999788141312024,0.000211416170524559,4.42517451904045e-07,1,1.00021230120543,1,0.000212301205428478,0
"abb",0.99551523472097,0.00445362200382915,3.11432752005958e-05,1,1.00451590855423,1,0.00451590855423056,0
"abc",0.909500246164327,0.0873180891126393,0.00318166472303383,1,1.09368141855871,1,0.0936814185587069,0
"abd",0.824329504397311,0.165574325522555,0.0100961700801343,1,1.18576666568282,1,0.185766665682823,0
"abe",0.156489959160283,0.49219562803769,0.351314412802027,2,2.19482445364174,2,0.194824453641743,0
"abf",0.8105173713332,0.177896047364613,0.0115865813021868,1,1.20106920996899,1,0.201069209968987,0
"abg",0.433113003923762,0.456091610852794,0.110795385223445,2,1.67768238129968,2,-0.322317618700316,0
"abi",0.998906455152111,0.00108933724114035,4.20760674857412e-06,1,1.00109775245464,1,0.00109775245463761,0
"abj",0.00903391393518021,0.156127970952568,0.834838115112251,3,2.82580420117707,3,-0.174195798822929,0
"abk",0.998267951860485,0.00172403190163417,8.01623788093675e-06,1,1.0017400643774,1,0.00174006437739616,0
"abl",0.992449751705564,0.00748371779178125,6.65305026542606e-05,1,1.00761677879709,1,0.00761677879709,0
"abm",0.994496473366596,0.00546162205012235,4.19045832814602e-05,1,1.00554543121669,1,0.00554543121668516,0
"abn",0.99917669153032,0.000820472770409197,2.83569927106431e-06,1,1.00082614416895,1,0.000826144168951437,0
"abo",0.949415664767549,0.0493614748856415,0.00122286034680974,1,1.05180719557926,1,0.0518071955792609,0
"abp",0.966682074198344,0.0326878104094013,0.000630115392254771,1,1.03394804119391,1,0.0339480411939108,0
"abq",0.988233356515991,0.0116382666216499,0.000128376862359225,1,1.01189502034637,1,0.0118950203463684,0
"abr",0.99994022243293,5.9696315965807e-05,8.12511039560704e-08,1,1.00005985881817,1,5.98588181737192e-05,0
"abs",0.997074961060199,0.00290818354385902,1.68553959416506e-05,1,1.00294189433574,1,0.00294189433574221,0
"abt",0.99900014050085,0.000996145442142549,3.71405700794192e-06,1,1.00100357355616,1,0.00100357355615843,0
"abu",0.998738238964214,0.00125662272782034,5.13830796544656e-06,1,1.00126689934375,1,0.00126689934375124,0
"abw",0.951882858206905,0.0469886599879218,0.00112848180517344,1,1.04924562359827,1,0.0492456235982686,0
"aby",0.876649731246399,0.117951192815799,0.00539907593780187,1,1.1287493446914,1,0.128749344691403,0
"abz",0.992799118200098,0.00713882273880739,6.20590610949101e-05,1,1.007262940861,1,0.00726294086099721,0
"aca",0.657921099688631,0.305955460480255,0.0361234398311148,1,1.37820234014248,1,0.378202340142484,0
"acd",0.988525613697844,0.0113507409855726,0.00012364531658382,1,1.01159803161874,1,0.0115980316187403,0
"ace",0.999865537413621,0.000134222777794735,2.39808584101553e-07,1,1.00013470239496,1,0.000134702394962938,0
"acf",0.999917895563705,8.19804972811422e-05,1.23939013940699e-07,1,1.00008222837531,1,8.22283753090236e-05,0
"ach",0.999986297686055,1.36906147689686e-05,1.16991757392881e-08,1,1.00001371401312,1,1.37140131202251e-05,0
"aci",0.0040472465185056,0.100268120853455,0.89568463262804,3,2.89163738610953,3,-0.108362613890466,0
"ack",0.0386810760092435,0.314986423064863,0.646332500925894,3,2.60765142491665,3,-0.39234857508335,0
"acl",0.0159239718085656,0.209035348415354,0.77504067977608,3,2.75911670796751,3,-0.240883292032485,0
"acn",0.996055369112514,0.00391875106653072,2.58798209556987e-05,1,1.00397051070844,1,0.00397051070844201,0
"acp",0.980953092331566,0.018781404315626,0.000265503352808394,1,1.01931241102124,1,0.0193124110212426,0
"acr",0.996862835424915,0.00311853521145655,1.86293636280643e-05,1,1.00315579393871,1,0.00315579393871257,0
"acs",0.000604010698117196,0.0318264022644665,0.967569587037416,3,2.9669655763393,3,-0.033034423660701,0
"acu",0.938070567875513,0.0602321101284505,0.00169732199603634,1,1.06362675412052,1,0.0636267541205233,0
"acv",0.121869752518222,0.467168804146458,0.41096144333532,2,2.2890916908171,2,0.289091690817098,0
"acz",0.0650901100498046,0.386110585984468,0.548799303965727,3,2.48370919391592,1,1.48370919391592,2
"ada",0.999948996812775,5.09373616203179e-05,6.58256046337513e-08,1,1.00005106901283,1,5.10690128296964e-05,0
"add",0.991543143196965,0.00837823491982626,7.86218832085073e-05,1,1.00853547868624,1,0.00853547868624327,0
"ade",0.998461784839019,0.00153143181304549,6.78334793557944e-06,1,1.00154499850892,1,0.00154499850891665,0
"adg",0.127853912303311,0.472463467418257,0.399682620278432,2,2.27182870797512,2,0.271828707975121,0
"adh",0.999779275355396,0.000220256891775628,4.67752828137158e-07,1,1.00022119239743,1,0.000221192397432013,0
"adi",0.999867151500365,0.000132612548369271,2.35951265747936e-07,1,1.0001330844509,1,0.000133084450900878,0
"adj",0.999797204934994,0.000202377946287524,4.1711871845429e-07,1,1.00020321218372,1,0.000203212183724544,0
"adl",0.995281589570687,0.00468489321870413,3.35172106085135e-05,1,1.00475192763992,1,0.00475192763992127,0
"adn",0.990865892585523,0.00904600681212242,8.81006023542019e-05,1,1.00922220801683,1,0.00922220801683071,0
"ado",0.982089847877183,0.0176683928595704,0.0002417592632461,1,1.01815191138606,1,0.0181519113860626,0
"adq",0.979294513439892,0.0204038679451566,0.000301618614951038,1,1.02100710517506,1,0.0210071051750584,0
"adr",0.969487784582044,0.0299631178031541,0.000549097614802263,1,1.03106131303276,1,0.0310613130327586,0
"adt",0.184717260687386,0.504357743446476,0.310924995866138,2,2.12620773517875,2,0.126207735178753,0
"adw",0.212637039083839,0.510925787325267,0.276437173590894,2,2.06380013450706,1,1.06380013450706,1
"adx",0.994129984284308,0.00582398726396705,4.60284517248555e-05,1,1.00591604416742,1,0.00591604416741687,0
"ady",0.999438610564093,0.000559718193262171,1.67124264505158e-06,1,1.00056306067855,1,0.000563060678552052,0
"adz",0.999110795088498,0.000886049570430703,3.15534107175885e-06,1,1.00089236025257,1,0.000892360252574109,0
"aea",0.00120085802355998,0.0488156483038321,0.949983493672608,3,2.94878263564905,3,-0.0512173643509524,0
"aee",0.995415904127944,0.00455195037928269,3.21454927731946e-05,1,1.00461624136483,1,0.00461624136482919,0
"aek",0.604652251165047,0.346504131894803,0.0488436169401496,1,1.4441913657751,2,-0.555808634224897,-1
"ael",0.987612543031254,0.0122488207618724,0.000138636206873599,1,1.01252609317562,1,0.0125260931756195,0
"aem",0.714167463451188,0.260621402670121,0.0252111338786911,1,1.3110436704275,2,-0.688956329572497,-1
"aeq",0.600982460375084,0.34920296060385,0.049814579021066,1,1.44883211864598,1,0.448832118645982,0
"aer",0.754860352592932,0.226405658140713,0.0187339892663554,1,1.26387363667342,1,0.263873636673424,0
"aeu",0.962480471849275,0.0367599230708712,0.000759605079854286,1,1.03827913323058,1,0.0382791332305796,0
"aew",0.933542953426874,0.0645520068175955,0.00190503975553047,1,1.06836208632866,1,0.0683620863286565,0
"aey",0.997969371767765,0.0020205939868837,1.0034245351509e-05,1,1.00204066247759,1,0.00204066247758661,0
"aez",0.957775264743852,0.0413087336054739,0.00091600165067407,1,1.04314073690682,1,0.043140736906822,0
"afd",0.717896745055649,0.257532851394354,0.0245704035499968,1,1.30667365849435,1,0.306673658494348,0
"afe",0.996280890898169,0.00369533100171826,2.37781001123372e-05,1,1.00374288720194,1,0.00374288720194293,0
"afi",0.927486050938697,0.0703147822857781,0.00219916677552523,1,1.07471311583683,1,0.0747131158368286,0
"afk",0.932412445869453,0.0656290255709669,0.00195852855957968,1,1.06954608269013,1,0.0695460826901262,0
"afn",0.911660833477283,0.0852841442792663,0.00305502224345111,1,1.09139418876617,2,-0.908605811233832,-1
"afo",0.992971996827675,0.00696811711765077,5.98860546744406e-05,1,1.007087889227,1,0.00708788922699988,0
"afp",0.842920128227035,0.148821565918715,0.0082583058542498,1,1.16533817762721,1,0.165338177627214,0
"afr",0.999999483232356,5.16593842592172e-07,1.73801195657575e-10,1,1.00000051694144,1,5.16941444983487e-07,0
"afs",0.596433245639845,0.352530581649102,0.0510361727110538,1,1.45460292707121,2,-0.545397072928791,-1
"aft",0.695255968809579,0.276130176042826,0.0286138551475947,1,1.33335788633802,1,0.333357886338016,0
"afu",0.999561311093708,0.00043749755098399,1.19135530818326e-06,1,1.0004398802616,1,0.000439880261600356,0
"afz",0.833187300875216,0.157615960704487,0.00919673842029689,1,1.17600943754508,1,0.176009437545081,0
"agb",0.999663192192822,0.000335977474800631,8.30332377188547e-07,1,1.00033763813956,1,0.000337638139555008,0
"agc",0.999114187741636,0.000882673617525476,3.13864083900661e-06,1,1.0008889508992,1,0.000888950899203378,0
"agd",0.996288063200776,0.00368822458732965,2.37122118946775e-05,1,1.00373564901112,1,0.00373564901111911,0
"age",0.995697878634943,0.00427279345150211,2.93279135553659e-05,1,1.00433144927861,1,0.00433144927861262,0
"agg",0.967684409743623,0.0317149247614174,0.000600665494959851,1,1.03291625575134,1,0.0329162557513372,0
"agh",0.993111559001698,0.00683028981751632,5.81511807856705e-05,1,1.00694659217909,1,0.00694659217908766,0
"agj",0.991676832754584,0.00824637187270683,7.67953727087711e-05,1,1.00839996261812,1,0.00839996261812437,0
"agk",0.394457728606655,0.474832869287235,0.13070940210611,2,1.73625167349946,2,-0.263748326500545,0
"agl",0.872044125800449,0.122201674688585,0.0057541995109659,1,1.13371007371052,1,0.133710073710517,0
"agm",0.98626086212958,0.0135772027747658,0.000161935095653987,1,1.01390107296607,1,0.0139010729660738,0
"agn",0.984543365440483,0.0152632497191089,0.000193384840407873,1,1.01565001939992,1,0.0156500193999247,0
"ago",0.973643613934549,0.0259190734334972,0.000437312631953901,1,1.0267936986974,1,0.0267936986974049,0
"agq",0.99882820446524,0.00116716191861066,4.63361614899682e-06,1,1.00117642915091,1,0.00117642915090865,0
"agr",0.980064186957832,0.0196511689876263,0.00028464405454165,1,1.02022045709671,1,0.0202204570967097,0
"ags",0.997182192402092,0.0028018271588679,1.59804390404972e-05,1,1.00283378803695,1,0.00283378803694889,0
"agt",0.93645972725786,0.0617702426760038,0.00177003006613641,1,1.06531030280828,1,0.0653103028082769,0
"agu",0.981801100190499,0.0179511879848262,0.000247711824674979,1,1.01844661163418,1,0.0184466116341762,0
"agv",0.947562196311311,0.0511419599336936,0.00129584375499492,1,1.05373364744368,2,-0.946266352556317,-1
"agw",0.90598686974454,0.0906204992851062,0.0033926309703538,1,1.09740576122581,1,0.0974057612258139,0
"agx",0.987223270853947,0.012631516993092,0.00014521215296126,1,1.01292194129901,1,0.0129219412990145,0
"agy",0.881569647765667,0.113398506379723,0.00503184585461036,1,1.12346219808894,1,0.123462198088944,0
"agz",0.956295420641116,0.0427369398114548,0.000967639547429511,1,1.04467221890631,1,0.0446722189063138,0
"aha",0.999422404783613,0.000575857232036125,1.73798435088024e-06,1,1.00057933320074,1,0.000579333200737997,0
"ahb",0.80285276014654,0.184686523426087,0.0124607164273735,1,1.20960795628083,1,0.209607956280834,0
"ahg",0.924638657954473,0.073017498110065,0.00234384393546161,1,1.07770518598099,2,-0.922294814019012,-1
"ahh",0.965204260239293,0.034121186459277,0.000674553301430292,1,1.03547029306214,1,0.0354702930621376,0
"ahi",0.992425680544892,0.00750747696508547,6.68424900222009e-05,1,1.00764116194513,1,0.00764116194512976,0
