"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","y_avg","P[Y=6]","P[Y=7]","y_hat","V9","y_obs","latent1","latent2"
"aaa",0.94786999660099,0.0445138759373546,0.00589092943946357,0.00137159888344063,0.000343141794635349,9.93092026835285e-06,5.26423847291291e-07,1,1.06183591178957,1,-0.999656858205365,0
"aab",0.892006954769992,0.0872948972672654,0.015111034885034,0.0042350082607796,0.00129715446021528,5.14591503594231e-05,3.49120635456668e-06,1,1.13568885265046,1,-0.998702845539785,0
"aac",0.463826576744305,0.297776490966642,0.125090979587383,0.065987804748866,0.0417684605746398,0.00477734217433068,0.000772345203832514,1,1.94151648878121,2,-1.95823153942536,-1
"aad",0.355685774090625,0.311535057258067,0.156571840525665,0.0942787786855913,0.0700284012426788,0.0099550885674704,0.0019450596299021,1,2.24907447995365,1,-0.929971598757321,0
"aae",0.655495022903337,0.229913381621995,0.0700383136068501,0.0292607332830772,0.0140720105667999,0.00109302085826191,0.000127517159678292,1,1.52029045820151,2,-1.9859279894332,-1
"aaf",0.165730122334938,0.267203512607634,0.195895447405533,0.156714547766274,0.165916167644743,0.0374064908729492,0.0111337113679284,2,3.04663744386881,2,-1.83408383235526,0
"aag",0.632741529369736,0.240404589952121,0.0762528433943841,0.0327960653038946,0.016313429547356,0.00133001509284136,0.000161527339666567,1,1.5641714303442,1,-0.983686570452644,0
"aai",0.863897914451656,0.107403061759105,0.0204550443141837,0.00612731741443251,0.0020202944852854,8.97127885851612e-05,6.65478675232478e-06,1,1.17526477323535,1,-0.997979705514715,0
"aak",0.798395818505115,0.15091122705333,0.0343465426519064,0.0116598345547985,0.00442269836794962,0.000242574324175737,2.13045427238656e-05,1,1.27361530837056,1,-0.99557730163205,0
"aal",0.867833920238866,0.104640790187804,0.0196822914530266,0.00584476531121048,0.00190859569179569,8.35141299350139e-05,6.12298736257788e-06,1,1.16962836036852,2,-1.9980914043082,-1
"aan",0.0247848555511995,0.0979564284909292,0.130690942300623,0.166749688253687,0.327334268352135,0.154529009244669,0.097954807806756,5,4.52929834432566,5,-4.67266573164786,0
"aap",0.196412603683286,0.282756737573662,0.192824506115111,0.145994464988398,0.14413264986593,0.0297361356874385,0.00814290208617463,2,2.88045783518704,1,-0.85586735013407,1
"aaq",0.313889852276862,0.310644758641938,0.167951053199226,0.106779579639647,0.0847782364796507,0.0131717025526871,0.00278481720999002,1,2.38856596590131,6,-5.91522176352035,-5
"aar",0.985212586297422,0.0133367573895233,0.00119586584385978,0.000213703322943903,4.03175962973013e-05,7.41794591641032e-07,2.77553617866744e-08,1,1.01653474493639,1,-0.999959682403703,0
"aas",0.203947791343355,0.285945676321556,0.191760157326704,0.143356284403789,0.139276333492185,0.0281507795108971,0.00756297760151481,2,2.84277194131864,5,-4.86072366650782,-3
"aat",0.602463031169823,0.253417797260748,0.0846988207665151,0.0378300005957005,0.0196646311752221,0.00170722840247639,0.000218490629514623,1,1.62481105107124,3,-2.98033536882478,-2
"aau",0.869346555336596,0.103574660997783,0.0193873634452579,0.00573769333392138,0.00186659128742217,8.12086936539114e-05,5.92690536593832e-06,1,1.16747043794022,1,-0.998133408712578,0
"aaw",0.801701824702108,0.148824890859732,0.0336023475366798,0.0113431111287671,0.00427530496228279,0.000232275968288009,2.02448421426915e-05,1,1.26844298806282,1,-0.995724695037717,0
"aax",0.58978865277293,0.258534455021664,0.0882879168804496,0.0400511582832532,0.021201870070061,0.00188891402237146,0.000247032949271531,1,1.65099801172005,1,-0.978798129929939,0
"aaz",0.688899925502694,0.213440159914833,0.0611466697340499,0.0244454795897802,0.0111729410973361,0.000806296239276527,8.85279220300683e-05,1,1.45832435127018,1,-0.988827058902664,0
"aba",0.972125407182959,0.0245633823950646,0.00265424986051499,0.000538138989268133,0.000116053127579674,2.65136190169546e-06,1.17082711859062e-07,1,1.0319644709,1,-0.99988394687242,0
"abb",0.850352622829877,0.116778930796363,0.0231716440595005,0.00714307508312295,0.00243164264756979,0.000113345930888076,8.73865267914109e-06,1,1.19489717632553,2,-1.99756835735243,-1
"abc",0.477023611770928,0.294732137153642,0.12118229810813,0.062927913953203,0.0390890052499897,0.00435628888298711,0.000688744881119918,1,1.90815040993113,1,-0.96091099475001,0
"abd",0.196087932466894,0.282614091454605,0.192867938131244,0.146108232129145,0.144345969845463,0.0298067815705879,0.00816905440206017,2,2.88210677775168,1,-0.855654030154537,1
"abe",0.012456788928841,0.0624099482099785,0.0980224168506271,0.142543327010514,0.335416044396357,0.193910605425724,0.155240869177959,5,4.92874718272457,5,-4.66458395560364,0
"abg",0.12020140070923,0.234851501313858,0.195061325487104,0.171703444438416,0.205537402167763,0.0540180038086812,0.0186269220749482,2,3.34408564576746,5,-4.79446259783224,-3
"abi",0.929140202376594,0.0593069974835985,0.00874436977592974,0.0021930371192318,0.000594715188811268,1.95352068369514e-05,1.1428489982146e-06,1,1.08585824227657,1,-0.999405284811189,0
"abj",0.000798767781684224,0.00848529569688924,0.0224123805956581,0.0499433365815128,0.217802965535851,0.240621465087978,0.459935788720427,7,6.0370739865386,7,-6.78219703446415,0
"abk",0.916410236813669,0.0690935707904059,0.0108288513973994,0.00283279240581158,0.000804403978073354,2.83879715968771e-05,1.75664304424838e-06,1,1.10261974643118,1,-0.999195596021927,0
"abl",0.679865879139221,0.21801883145471,0.0635224662737798,0.0257042945334146,0.011913306637294,0.000877283544253871,9.79384173276365e-05,1,1.47480392237692,1,-0.988086693362706,0
"abm",0.908447148403854,0.0751117977537746,0.0121866531106033,0.00326529323971114,0.000951883781276863,3.49883439338949e-05,2.23536684607062e-06,1,1.11327687273997,1,-0.999048116218723,0
"abn",0.951967369356279,0.0412106450481746,0.00530446603120793,0.00121177489531221,0.000296993786913058,8.32077967705125e-06,4.30102435666768e-07,1,1.05668706145718,1,-0.999703006213087,0
"abo",0.630299283062886,0.241494768043907,0.0769269154703247,0.0331880456628241,0.0165676977404786,0.00135769583236556,0.00016559418721418,1,1.56896557122006,1,-0.983432302259521,0
"abp",0.71280810298261,0.200888224003732,0.0549695220885853,0.021267045173221,0.00936054994072022,0.000639439032245837,6.7116778886378e-05,1,1.41567049929799,1,-0.99063945005928,0
"abq",0.709737962255112,0.202535091335916,0.0557534972353342,0.0216628704253219,0.00958171972328836,0.000659255019956007,6.96040050713886e-05,1,1.42107147510591,1,-0.990418280276712,0
"abr",0.994399188402213,0.00517982098943037,0.00035853354758264,5.38620983616678e-05,8.47582934015989e-06,1.15682179946397e-07,3.45089257169917e-09,1,1.0060929768133,1,-0.99999152417066,0
"abs",0.754864687114051,0.177304750512914,0.0445245719879327,0.0162049049691873,0.0066513702905362,0.000410118801641768,3.95963237374009e-05,1,1.34386226250912,1,-0.993348629709464,0
"abt",0.952171999754637,0.0410450085771485,0.00527556237385796,0.00120398691347912,0.000294772087587769,8.24467890303549e-06,4.25614386845297e-07,1,1.05643095949649,1,-0.999705227912412,0
"abu",0.929969388787503,0.0586622473697754,0.00861246476484134,0.00215360911980145,0.000582154125588596,1.90270574886853e-05,1.10877500147932e-06,1,1.08477840869867,1,-0.999417845874411,0
"abw",0.768143772741116,0.169466042525631,0.0413476531943211,0.0147442817827234,0.00591288746035246,0.000352283743730974,3.30785521247545e-05,1,1.32200563413526,1,-0.994087112539648,0
"aby",0.676946482889889,0.21947898954241,0.064294908605759,0.0261179288191992,0.0121593211106706,0.000901219822017518,0.00010114921005433,1,1.48017287202462,1,-0.987840678889329,0
"abz",0.811736661878541,0.142421335029196,0.0313698649268916,0.0104061974363477,0.00384578748838382,0.000202883530150966,1.72697104893205e-05,1,1.25288084305925,1,-0.996154212511616,0
"aca",0.233811463994573,0.296444959745544,0.186617011207888,0.132997086094021,0.12167440702263,0.0227616861017647,0.00569338583357981,2,2.7033366140442,2,-1.87832559297737,0
"acd",0.833923225028023,0.127883798438993,0.0265805597973942,0.00846500871077627,0.00298838366340659,0.000147169139553038,1.18552218538737e-05,1,1.21920045584862,1,-0.997011616336593,0
"ace",0.945492331211936,0.0464192505646275,0.00623781763872555,0.00146769500851118,0.000371375189257783,1.09422310312635e-05,5.88155910641319e-07,1,1.06484171171526,2,-1.99962862481074,-1
"acf",0.977048797267564,0.0203846211727435,0.00207660564036316,0.000404515227563351,8.36024820036751e-05,1.78348706580955e-06,7.47226966968384e-08,1,1.02609515383568,1,-0.999916397517996,0
"ach",0.995336019002353,0.00432958248599202,0.000286247501417036,4.1707796960111e-05,6.35852556818417e-06,8.23275926320477e-08,2.36011721277407e-09,1,1.00505306078065,1,-0.999993641474432,0
"aci",0.000682111086084588,0.00751880578246707,0.0203725623138206,0.0463764483269683,0.2087912761625,0.238124312310955,0.478134484017204,7,6.08198684569902,7,-6.7912087238375,0
"ack",0.00373552474693086,0.0268112665273736,0.0539951212977026,0.0961178081923813,0.30150085879281,0.237511517072021,0.280327903370781,5,5.49868337445595,7,-6.69849914120719,-2
"acl",0.00141447137538191,0.0130860597655512,0.0314158480466454,0.0646525018470778,0.250581247400911,0.24573632474429,0.393113546820143,7,5.85956315564603,7,-6.74941875259909,0
"acn",0.85865826021907,0.11105370937546,0.0214955002369195,0.00651227398732279,0.00217442023434389,9.84231057432616e-05,7.4128411413632e-06,1,1.18281580532421,3,-2.99782557976566,-2
"acp",0.85024994530773,0.116849237928218,0.0231925676380256,0.00715103102035985,0.00243492283264302,0.000113539234507742,8.75603851568929e-06,1,1.19504738999955,1,-0.997565077167357,0
"acr",0.859563017467565,0.110425489321866,0.0213148912530841,0.00644508303074698,0.00214736023649353,9.68809466507237e-05,7.27774359321476e-06,1,1.18150803306106,1,-0.997852639763506,0
"acs",0.000109448293778314,0.00179311930743051,0.00638009307228688,0.01827905143018,0.116696634639089,0.187001856380807,0.669739796876428,7,6.4896250614615,7,-6.88330336536091,0
"acu",0.69188521071145,0.211907224871408,0.060366499523652,0.0240365130930186,0.0109351315075704,0.000783834177615073,8.558611528664e-05,1,1.45292297680784,1,-0.98906486849243,0
"acv",0.00914226784967815,0.0505290680118058,0.0849294851996355,0.130461019947447,0.331568536365858,0.208549296404699,0.184820326220876,5,5.0897136830656,5,-4.66843146363414,0
"acz",0.0102903538726294,0.0548085094002121,0.0897971098843015,0.135112875820108,0.33352043018586,0.203211187925506,0.173259532911383,5,5.02943621446841,1,-0.66647956981414,4
"ada",0.99102257351846,0.00821211608400219,0.000642353551590924,0.000104722047054806,1.79435030380759e-05,2.81939498636419e-07,9.35635491305931e-09,1,1.00988422917612,1,-0.999982056496962,0
"add",0.777644877038016,0.163742835531039,0.0391126248834661,0.0137392919888265,0.00541674586055774,0.000314675372267148,2.8949325827754e-05,1,1.30660001752298,1,-0.994583254139442,0
"ade",0.950877763589961,0.042091540485177,0.00545899556425633,0.00125355632108959,0.000308956688450546,8.73284254221396e-06,4.54508522929054e-07,1,1.05805241859461,1,-0.999691043311549,0
"adg",0.10740934262482,0.223226823345873,0.193089586296357,0.175371738085678,0.218627237169076,0.0604028781806495,0.0218723942975468,2,3.44327891556045,5,-4.78137276283092,-3
"adh",0.973576117004562,0.0233372121719367,0.00248078203278945,0.000497404465443774,0.000106004830189965,2.37609269715389e-06,1.03402381101958e-07,1,1.03022750983238,1,-0.99989399516981,0
"adi",0.974868368436087,0.0222414157868835,0.00232851598340778,0.000462067526130427,9.73954452015979e-05,2.14474918980301e-06,9.20730994780072e-08,1,1.02868550829744,1,-0.999902604554798,0
"adj",0.971208589257298,0.0253361643246519,0.00276522059227047,0.000564453984482904,0.00012261165069094,2.83392374089697e-06,1.26266864630686e-07,1,1.0330653412853,1,-0.999877388349309,0
"adl",0.927872024903495,0.0602913396031228,0.00894705135005891,0.00225387559796408,0.000614184164462239,2.03280892959734e-05,1.19629160122425e-06,1,1.08751262395107,1,-0.999385815835538,0
"ado",0.872846739279347,0.101097906827128,0.0187093238757532,0.00549316307668812,0.00177134250455901,7.60341249019802e-05,5.49031162355718e-06,1,1.16249452632119,1,-0.998228657495441,0
