,P[Y=1],P[Y=2],P[Y=3],y_hat,y_avg,y_obs,residual1,residual2
aek,0.59866933,0.350897448,0.050433222,1,1.451763892,2,0.548236108,1
ael,0.96989013,0.029572027,0.000537843,1,1.030647713,1,-0.030647713,0
aem,0.791025611,0.195097464,0.013876925,1,1.222851314,2,0.777148686,1
aeq,0.514921102,0.40845795,0.076620948,1,1.561699845,1,-0.561699845,0
aer,0.828343143,0.161973638,0.009683219,1,1.181340076,1,-0.181340076,0
aeu,0.967455103,0.031937543,0.000607353,1,1.03315225,1,-0.03315225,0
aew,0.954470169,0.044496902,0.001032928,1,1.046562759,1,-0.046562759,0
aey,0.999005918,0.000990398,3.68E-06,1,1.000997766,1,-0.000997766,0
aez,0.982221828,0.017539115,0.000239056,1,1.018017228,1,-0.018017228,0
afd,0.830652578,0.159897751,0.009449671,1,1.178797093,1,-0.178797093,0
afe,0.985606868,0.014219461,0.000173671,1,1.014566803,1,-0.014566803,0
afi,0.94832747,0.050407036,0.001265494,1,1.052938024,1,-0.052938024,0
afk,0.968117497,0.031294389,0.000588114,1,1.032470618,1,-0.032470618,0
afn,0.790377684,0.195665414,0.013956902,1,1.223579218,2,0.776420782,1
afo,0.981854848,0.017898552,0.0002466,1,1.018391751,1,-0.018391751,0
afp,0.913866208,0.08320561,0.002928182,1,1.089061975,1,-0.089061975,0
afr,0.999990556,9.44E-06,7.21E-09,1,1.000009451,1,-9.45091E-06,0
afs,0.564343801,0.37541535,0.060240849,1,1.495897048,2,0.504102952,1
aft,0.752436357,0.228474703,0.01908894,1,1.266652582,1,-0.266652582,0
afu,0.99915036,0.000846678,2.96E-06,1,1.000852602,1,-0.000852602,0
afz,0.891804084,0.103888125,0.004307791,1,1.112503708,1,-0.112503708,0
agb,0.997200632,0.002783536,1.58E-05,1,1.002815199,1,-0.002815199,0
agc,0.996936772,0.003045224,1.80E-05,1,1.003081233,1,-0.003081233,0
agd,0.997808033,0.002180786,1.12E-05,1,1.002203149,1,-0.002203149,0
age,0.9978006,0.002188165,1.12E-05,1,1.002210636,1,-0.002210636,0
agg,0.986565744,0.01327769,0.000156566,1,1.013590823,1,-0.013590823,0
agh,0.989289439,0.01059898,0.000111581,1,1.010822142,1,-0.010822142,0
agj,0.991400675,0.00851874,8.06E-05,1,1.008679909,1,-0.008679909,0
agk,0.347673036,0.493466622,0.158860342,2,1.811187306,2,0.188812694,0
agl,0.941419207,0.057030384,0.001550409,1,1.060131201,1,-0.060131201,0
agm,0.993412763,0.00653277,5.45E-05,1,1.006641704,1,-0.006641704,0
agn,0.98477939,0.015031667,0.000188943,1,1.015409553,1,-0.015409553,0
ago,0.99013814,0.009763162,9.87E-05,1,1.009960558,1,-0.009960558,0
agq,0.995941295,0.00403174,2.70E-05,1,1.00408567,1,-0.00408567,0
agr,0.985017332,0.014798165,0.000184503,1,1.015167172,1,-0.015167172,0
ags,0.991467258,0.008453077,7.97E-05,1,1.008612407,1,-0.008612407,0
agt,0.915814409,0.081367418,0.002818173,1,1.087003764,1,-0.087003764,0
agu,0.966512018,0.032852814,0.000635167,1,1.034123149,1,-0.034123149,0
agv,0.940362675,0.058041182,0.001596143,1,1.061233468,2,0.938766532,1
agw,0.967235588,0.032150629,0.000613783,1,1.033378195,1,-0.033378195,0
agx,0.989249114,0.010638679,0.000112207,1,1.010863093,1,-0.010863093,0
agy,0.83861232,0.152720405,0.008667274,1,1.170054954,1,-0.170054954,0
agz,0.939560396,0.058808351,0.001631253,1,1.062070856,1,-0.062070856,0
aha,0.998953562,0.001042481,3.96E-06,1,1.001050395,1,-0.001050395,0
ahb,0.957416236,0.041655341,0.000928423,1,1.043512187,1,-0.043512187,0
ahg,0.918310713,0.079009278,0.002680009,1,1.084369296,2,0.915630704,1
