"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","y_avg","P[Y=6]","P[Y=7]","y_hat","V9","y_obs","latent1","latent2"
"aaa",0.946274132982232,0.0457936580396454,0.00612323599045084,0.00143582854044744,0.000361973719069764,1.06033573561426e-05,5.6737079801028e-07,1,1.06385193152974,1,-0.99963802628093,0
"aab",0.889982001473605,0.0887735195739481,0.0154819615341902,0.00436151134709983,0.00134356197098828,5.37706769847546e-05,3.67342318374764e-06,1,1.13848711849161,1,-0.998656438029012,0
"aac",0.408826233647225,0.307411560532997,0.141309625168901,0.0796500161862033,0.0546002587125815,0.00696482699378242,0.00123747875831048,1,2.08963090179851,2,-1.94539974128742,-1
"aad",0.313566971571331,0.3106222008189,0.168035825196821,0.106879507117383,0.0849025801753253,0.0132002985216564,0.00279261659858221,1,2.38969988546577,1,-0.915097419824675,0
"aae",0.704128286066667,0.205517649013693,0.0571931153360863,0.02239545942157,0.00999449760166349,0.000696652331590997,7.43402287292083e-05,1,1.43099755138756,2,-1.99000550239834,-1
"aaf",0.144135241521989,0.253429033388819,0.196497963625734,0.164069962284082,0.18347728587185,0.0443097361156192,0.0140807771919077,2,3.17857733470947,2,-1.81652271412815,0
"aag",0.584775719699442,0.260503117762471,0.0897154509456515,0.0409485135665468,0.0218329903766776,0.00196502108984231,0.000259186559368518,1,1.66149174666555,1,-0.978167009623322,0
"aai",0.830436458638835,0.130203229686317,0.0273194204868943,0.00875820793213677,0.00311494564082837,0.000155128813016159,1.26088019726245e-05,1,1.22442777389675,1,-0.996885054359172,0
"aak",0.752324821374381,0.178782711070443,0.0451390976147107,0.0164917473044461,0.00679875664279961,0.000421916762655239,4.09492305641912e-05,1,1.34808645398106,1,-0.9932012433572,0
"aal",0.852000548341689,0.115648966970104,0.0228365010913908,0.00701591275012126,0.00237933442273408,0.000110273407787242,8.4630161736321e-06,1,1.19248919023016,2,-1.99762066557727,-1
"aan",0.0202667453689072,0.0861147140616479,0.12074606840589,0.160296116198198,0.332320573614675,0.166863113532453,0.113392668818228,5,4.65244907449836,5,-4.66767942638532,0
"aap",0.175029736470279,0.272380408605638,0.195204554376943,0.153481069783723,0.158949784942624,0.0348508372627131,0.0101036085580797,2,2.99390770414323,1,-0.841050215057376,1
