"","P[Y=1]","P[Y=2]","P[Y=3]","P[Y=4]","y_avg","P[Y=6]","P[Y=7]","y_hat","V9","y_obs","latent1","latent2"
"aaq",0.364748292533978,0.311226165670266,0.154017954692007,0.0916835093888539,0.0671546745827367,0.00936893553800722,0.00180046759415087,1,2.22057878480673,6,-5.93284532541726,-5
"aar",0.991325738633631,0.00794169757505769,0.000615565484641811,9.97437492289421e-05,1.69818259314614e-05,2.64038766850661e-07,8.69274185966162e-09,1,1.00954135944604,1,-0.999983018174069,0
"aas",0.179765576246926,0.274856394505646,0.194767133385611,0.151826579575797,0.155528548240724,0.0336317745260624,0.00962399351923371,2,2.96788742671287,5,-4.84447145175928,-3
"aat",0.658853922319295,0.228314053268404,0.0691313489537184,0.0287565305490292,0.0137600349850383,0.00106106208696344,0.000123047837552015,1,1.51393008022321,3,-2.98623996501496,-2
"aau",0.833660964634759,0.128058709303589,0.0266359501804733,0.00848690801098206,0.00299779917126142,0.000147757976423746,1.19107225114989e-05,1,1.21959278459971,1,-0.997002200828739,0
"aaw",0.764758310787823,0.171482259711863,0.0421517890256942,0.0151104479484202,0.00609610796143056,0.000366429941425106,3.46546233438438e-05,1,1.32754169090142,1,-0.993903892038569,0
"aax",0.549625714570205,0.273406439899635,0.0998381118980721,0.0475459476624519,0.0266497909628847,0.00257375868281906,0.000360236323932783,1,1.73734988189237,1,-0.973350209037115,0
"aaz",0.689387669814172,0.213190379078251,0.0610190349083531,0.0243784242171264,0.0111338571198711,0.000802593139483054,8.80417227427932e-05,1,1.45744036605969,1,-0.988866142880129,0
"aba",0.972198918203738,0.0245013493452945,0.00264539673791797,0.000536048099916031,0.000115534234836567,2.63701374092484e-06,1.16364555546866e-07,1,1.03187630731626,1,-0.999884465765163,0
"abb",0.84733230162089,0.118842276117426,0.0237891596912496,0.00737871193313377,0.0025291656691051,0.000119124366102286,9.26060209260893e-06,1,1.19932457941881,2,-1.99747083433089,-1
"abc",0.457763031170766,0.299083811726367,0.126886708231634,0.067421678446105,0.0430480177945561,0.00498285834413581,0.000813894286436412,1,1.95711199214547,1,-0.956951982205444,0
"abd",0.187503385211787,0.278680023480859,0.193938752629692,0.149117103744647,0.150113003838767,0.0317493059400633,0.00889842515418426,2,2.92649793595468,1,-0.849886996161233,1
"abe",0.0205251693140582,0.086823036255535,0.121365187069418,0.160722017211931,0.332073955688817,0.166103526656186,0.112387107804054,5,4.64485556489069,5,-4.66792604431118,0
"abg",0.104372470415319,0.220269412928696,0.192470092131748,0.176181067086178,0.221881823310071,0.0620711051646841,0.0227540289633038,5,3.46815979129426,5,-4.77811817668993,0
"abi",0.93019664369993,0.0584853819334136,0.00857639923511122,0.00214285162339523,0.000578734755182664,1.88891978795125e-05,1.09955508731385e-06,1,1.08448271761447,1,-0.999421265244817,0
"abj",0.000588081243903137,0.00670827646853614,0.0186111069941715,0.0432136914436038,0.20040514867508,0.235401758955659,0.495071936219046,7,6.12263257158058,7,-6.79959485132492,0
"abk",0.925433959788953,0.0621778167643716,0.00933987070992071,0.00237265139018805,0.000652491283696488,2.19064226734123e-05,1.30364019690354e-06,1,1.09070283144411,1,-0.999347508716304,0
"abl",0.665691336500082,0.225018706152852,0.0672937789972173,0.0277440931948418,0.0131394692500317,0.000998263801224919,0.000114352103750326,1,1.50107385236057,1,-0.986860530749968,0
"abm",0.905786082688271,0.0771056584182664,0.0126491683697232,0.00341527733011726,0.00100401243969928,3.7387558943669e-05,2.41319497928938e-06,1,1.11686729387146,1,-0.998995987560301,0
"abn",0.94896055528397,0.0436371490995744,0.00573341844737896,0.00132834188805475,0.000330549572360228,9.48614303364348e-06,4.99565627642973e-07,1,1.06046163805687,1,-0.99966945042764,0
"abo",0.633487114807576,0.240070374316313,0.0760473213454341,0.0326768855394851,0.0162363463385168,0.00132165486083613,0.00016030279183854,1,1.56271115003492,1,-0.983763653661483,0
"abp",0.694609422093922,0.210499752239824,0.0596567210063419,0.0236663375903254,0.0107210394717764,0.000763756002396865,8.29715954140386e-05,1,1.44801297449506,1,-0.989278960528224,0
"abq",0.773011127231943,0.166546012490845,0.0401986256047567,0.0142252678319453,0.00565541847832429,0.000332638101395943,3.09102607893852e-05,1,1.31408939318121,1,-0.994344581521676,0
"abr",0.994289250845068,0.0052793146887562,0.000367222570063941,5.53488384187339e-05,8.73950607926943e-06,1.1995784898744e-07,3.59376473024753e-09,1,1.00621538572029,1,-0.999991260493921,0
"abs",0.747409225949789,0.181623613585263,0.0463345832760147,0.0170537361937203,0.00708972155652798,0.000445449297996059,4.36701406889561e-05,1,1.35630214227868,1,-0.992910278443472,0
"abt",0.938326069939403,0.0521127994546455,0.00731112462307837,0.00177189916311982,0.00046295847849176,1.43463488500029e-05,8.01992411925134e-07,1,1.07397912380285,1,-0.999537041521508,0
"abu",0.927796647458706,0.0603497799996673,0.00895913395265935,0.00225751207018055,0.000615351181678991,2.03758179188052e-05,1.19951918875483e-06,1,1.08761106504697,1,-0.999384648818321,0
"abw",0.720963454014939,0.196463852563309,0.0529007190753511,0.0202331013830487,0.00878905118087037,0.000588967239843363,6.08545426382667e-05,1,1.40143076304169,1,-0.99121094881913,0
"aby",0.634438652909976,0.23964288975679,0.0757852079951322,0.0325251150377889,0.0161383367071728,0.00131104617327427,0.000158751419866432,1,1.56084973707468,1,-0.983861663292827,0
"abz",0.790101579035898,0.156094661285413,0.0362321496443317,0.012472047670824,0.00480560155931975,0.000269813004293185,2.41477999198825e-05,1,1.28669146164481,1,-0.99519439844068,0
"aca",0.196459473929435,0.28277729396758,0.192818219124421,0.145978041759456,0.144101882796258,0.0297259534975953,0.00813913492525398,2,2.88021996571932,2,-1.85589811720374,0
"acd",0.831407468218852,0.129558611569758,0.0271131301363599,0.00867611185587236,0.00307939915269173,0.00015288355847265,1.23955079929239e-05,1,1.22296959486118,1,-0.996920600847308,0
"ace",0.938226326811407,0.0521915342211422,0.00732634841515833,0.0017762854844463,0.000464302182096366,1.43976086451891e-05,8.05277104554136e-07,1,1.07410711593904,2,-1.9995356978179,-1
"acf",0.968098581121964,0.0279456470426023,0.0031491059644313,0.000656946714040596,0.00014605473540974,3.50377378810496e-06,1.6064776431346e-07,1,1.03681740081075,1,-0.99985394526459,0
"ach",0.995609271708531,0.00408073151826238,0.000265791604709742,3.83436867478215e-05,5.78576152043819e-06,7.36364134112932e-08,2.0838155645464e-09,1,1.00475086951897,1,-0.99999421423848,0
"aci",0.000514743786464266,0.00605299107607382,0.01714888359424,0.0405248739894672,0.192962546793331,0.232667945047912,0.510128015712511,7,6.15788338692091,7,-6.80703745320667,0
"ack",0.00309962292043883,0.0234086830458618,0.0488334094301739,0.0894826084858554,0.292689269710457,0.240919648230325,0.301566758176888,7,5.57427919641856,7,-6.70731073028954,0
"acl",0.00104579420721763,0.0104178878657291,0.0263221740838322,0.0565230350231017,0.233288587342505,0.243842883892024,0.428559637585591,7,5.95635793544638,7,-6.7667114126575,0
"acn",0.848001092602755,0.118386241384646,0.023652060646584,0.00732624782000801,0.00250738611986034,0.000117828293017652,9.14313312805337e-06,1,1.19834265088114,3,-2.99749261388014,-2
"acp",0.848081050833442,0.118331687085635,0.0236356833326686,0.00731998632185471,0.00250478929242937,0.000117673972407806,9.12916156303734e-06,1,1.19822531471767,1,-0.997495210707571,0
"acr",0.847007484249086,0.119063587565891,0.0238558197766674,0.00740425149323665,0.00253978160588175,0.000119757262299625,9.31804693715677e-06,1,1.19980180261558,1,-0.997460218394118,0
"acs",0.000113048873290198,0.00183998259982082,0.00651746109777251,0.0186012901050044,0.118055317483336,0.188119904387131,0.666752995453645,7,6.48401753970125,7,-6.88194468251666,0
"acu",0.672264691968055,0.221800672076012,0.0655383552805067,0.0267882770918451,0.0125608695496798,0.000940654993917933,0.000106479039984064,1,1.48882784132077,1,-0.98743913045032,0
"acv",0.0137995476409476,0.066856580678758,0.102604749478123,0.14645133227525,0.335748923034357,0.188600499599011,0.145938367293554,5,4.87304847035456,5,-4.66425107696564,0
"acz",0.0173016036738868,0.07767713640979,0.113118545863795,0.154793992093544,0.334663591637542,0.176129234842947,0.126315895478496,5,4.74549211805389,1,-0.665336408362458,4
"ada",0.990758073521379,0.00844777606681602,0.000665915180907861,0.000109127367956541,1.87998635671205e-05,2.98041526791692e-07,9.95784632529251e-09,1,1.01018373794148,1,-0.999981200136433,0
"add",0.771411097863179,0.167508671091457,0.0405754118377155,0.0143949154467141,0.00573928601853602,0.000339007184233853,3.16105581651405e-05,1,1.31668608445133,1,-0.994260713981464,0
"ade",0.948200277301479,0.0442485418858909,0.00584311952178851,0.00135844367115101,0.000339304464258894,9.79496107245126e-06,5.18194358978263e-07,1,1.06141941377147,1,-0.999660695535741,0
"adg",0.15745992578781,0.262230448102093,0.196304398725378,0.159563600256278,0.17240297145683,0.039877507206866,0.012161148464745,2,3.0954963589718,5,-4.82759702854317,-3
"adh",0.974527020665544,0.0225312007884388,0.00236852669064902,0.0004713140024456,9.96382640066074e-05,2.20460029487501e-06,9.49886211909501e-08,1,1.0290923421663,1,-0.999900361735993,0
"adi",0.968407732999262,0.0276870589281076,0.00311044313941533,0.000647532338346246,0.000143641948230466,3.43364526556034e-06,1.57001373235488e-07,1,1.03644322024947,1,-0.99985635805177,0
"adj",0.970266398784793,0.0261286446901123,0.0028803202817077,0.000591952371483018,0.000129519165181891,3.02855690870185e-06,1.36149813423359e-07,1,1.03419917871213,1,-0.999870480834818,0
"adl",0.907630119834973,0.0757248860317287,0.0123282005209597,0.00331105389558872,0.000967736302696642,3.57144328404502e-05,2.28898121257259e-06,1,1.11437770002268,1,-0.999032263697303,0
"ado",0.842958353457742,0.121812849829118,0.0246908324666817,0.0077258537046162,0.00267421782035637,0.000127836679452598,1.00560420335238e-05,1,1.20576846680722,1,-0.997325782179644,0
"adq",0.680892885576,0.217502900495596,0.0632512707937499,0.0255595796423311,0.0118275538989355,0.000868980566161692,9.68290272260752e-05,1,1.4729202736,2,-1.98817244610106,-1
"adr",0.564776154709245,0.268040690338675,0.0954522545177849,0.0446362448513131,0.0244871389349184,0.00229445894948099,0.000313057698582586,1,1.70415313060676,1,-0.975512861065082,0
"adt",0.071695029039884,0.182605984530167,0.180819594878787,0.182389425161028,0.260898876974025,0.0851580978090689,0.0364329916070404,5,3.77939739635451,5,-4.73910112302597,0
"adw",0.0819147819744445,0.195667120944134,0.185617711840158,0.181080723007473,0.247870124428842,0.0767339618245615,0.0311155759803872,5,3.67198847636737,2,-1.75212987557116,3
"adx",0.872865704711924,0.101084449499544,0.0187056668917422,0.00549185041292555,0.00177083378464649,7.60066891613009e-05,5.48801005617605e-06,1,1.16246763116653,1,-0.998229166215354,0
"ady",0.915227978023722,0.0699920342001774,0.0110279027742284,0.00289544902135963,0.00082549880075522,2.93143369788362e-05,1.82284277838729e-06,1,1.1041936907573,1,-0.999174501199245,0
"adz",0.959453661347496,0.0351081781448839,0.00427209297132458,0.000939141783041109,0.000220846705387912,5.79437125036719e-06,2.84676616502111e-07,1,1.04738385617416,1,-0.999779153294612,0
"aea",0.00124226773247101,0.0118672530237936,0.029128272059617,0.061058923407518,0.243174145563176,0.245156561407753,0.408372576805672,7,5.90201541749108,7,-6.75682585443682,0
"aee",0.915864308661388,0.0695086681315055,0.0109206549883849,0.00286165741386835,0.000814110338983043,2.88134589818689e-05,1.78700688835409e-06,1,1.10334618104205,1,-0.999185889661017,0
"aek",0.156244995527059,0.261469251767394,0.196346831359688,0.159979325565142,0.173380113619225,0.0402575760661159,0.0123219060953754,2,3.10284066256193,5,-4.82661988638077,-3
"ael",0.725371264183287,0.194042592521659,0.051790997605303,0.0196848237650974,0.00848969225104601,0.000562959682545161,5.76699910623812e-05,1,1.39379864639084,1,-0.991510307748954,0
"aem",0.18185392358557,0.275915065190415,0.194557078287119,0.151095903914692,0.154045979747367,0.0331107218346204,0.00942132744021662,2,2.9565824263126,5,-4.84595402025263,-3
"aeq",0.159013441499656,0.263192158746054,0.196243363370238,0.159030863686773,0.171162693759391,0.0393980791664087,0.0119593997714794,2,3.08616904604533,2,-1.82883730624061,0
"aer",0.68622020378233,0.214807776782999,0.0618490757575214,0.0248155450677094,0.0113892849116765,0.000826875234630875,9.12384631326368e-05,1,1.46319151009983,1,-0.988610715088324,0
"aeu",0.689045311013243,0.213365733495,0.0611086178294235,0.0244254822026301,0.0111612816255187,0.000805191065939126,8.83827682457428e-05,1,1.45806079420298,3,-2.98883871837448,-2
"aew",0.706824997175087,0.204088149359048,0.0564999072010102,0.0220417752710765,0.00979465869474316,0.000678480296125827,7.20320029087285e-05,1,1.42621651785135,3,-2.99020534130526,-2
"aey",0.915315858255156,0.0699253090929608,0.011013075884351,0.00289077284978123,0.000823921206154488,2.924484649236e-05,1.81786510444759e-06,1,1.10407659565871,2,-1.99917607879385,-1
"aez",0.778561919987559,0.163185380920596,0.0388986205779136,0.0136440532332486,0.00537024816895471,0.000311204264003884,2.85728477240621e-05,1,1.30512323285835,1,-0.994629751831045,0
"afd",0.52066013810365,0.282808711982358,0.108302056404059,0.0533933721660989,0.0311783297649308,0.00318884477112968,0.000468546807773862,1,1.80306176505079,1,-0.968821670235069,0
"afe",0.922171987921649,0.0646897567712548,0.00987183409026882,0.00253527452143676,0.000705558270481021,2.41313931096387e-05,1.45703180043366e-06,1,1.09499088075438,1,-0.999294441729519,0
"afi",0.547143764814318,0.274256581375064,0.10055955563414,0.0480322746398992,0.0270171366194564,0.0026221447112259,0.00036854220589666,1,1.74286303983238,3,-2.97298286338054,-2
"afk",0.700059027755725,0.207659648747621,0.0582431276305767,0.0229344649860393,0.0103010277966998,0.000724766901579854,7.79361817584423e-05,1,1.43824486175214,1,-0.9896989722033,0
"afn",0.560451531846055,0.269602982470319,0.0967008895370925,0.0454565179226601,0.025090706925407,0.0023714427002971,0.000325928598169156,1,1.71354992810461,5,-4.97490929307459,-4
"afo",0.918686644324777,0.0673586783619202,0.0104481329304309,0.00271368748012069,0.000764567606617805,2.66555254053724e-05,1.63377072803783e-06,1,1.09959735734101,1,-0.999235432393382,0
"afp",0.551355981887791,0.272808926330634,0.0993356351995917,0.0472085250764035,0.0263959092845145,0.00254047674571567,0.000354545475350077,1,1.73351906567776,1,-0.973604090715485,0
"afr",0.997704940699571,0.00215700445344524,0.000120261043548231,1.56476740360567e-05,2.12296140866819e-06,2.26084434507001e-08,5.59546964318258e-10,1,1.00245307780778,1,-0.999997877038591,0
"afs",0.365785893336478,0.311180009922097,0.153723989054696,0.0913890064908346,0.0668324373136947,0.00930403640329225,0.00178462747890773,1,2.21735270364868,4,-3.93316756268631,-3
"aft",0.383557679002009,0.310054839789766,0.148645222196831,0.0864290298093972,0.0615206612076687,0.00825837040252464,0.00153419759180273,1,2.16321205600573,2,-1.93847933879233,-1
"afu",0.959653885165156,0.0349437289393952,0.00424521306944026,0.000932202639262192,0.000218954983510766,5.7339077617069e-06,2.81295474136023e-07,1,1.04713694024176,1,-0.999781045016489,0
"afz",0.379200800458764,0.310388358351237,0.149897452487355,0.0876302855505153,0.0627874010190687,0.00850359678036239,0.00159210535269838,1,2.17629434007177,2,-1.93721259898093,-1
"agb",0.956788381151407,0.0372910104668724,0.00463361437151621,0.00103328066544739,0.000246747248676349,6.63395716771209e-06,3.32138912706448e-07,1,1.05068023282027,1,-0.999753252751324,0
"agc",0.970658846059756,0.0257987618726817,0.00283224924743153,0.000580442825276806,0.000126621398840232,2.94661803035279e-06,1.31977983652831e-07,1,1.03372659939679,1,-0.99987337860116,0
"agd",0.908287038773369,0.0752320059086323,0.0122143593561153,0.00327424055388037,0.000954979701564551,3.51299010618034e-05,2.24580537688812e-06,1,1.11349248942633,1,-0.999045020298435,0
"age",0.861020801927065,0.109411383179098,0.0210247155679643,0.00633745276847164,0.00210415293792687,9.44298276942535e-05,7.06379177983774e-06,1,1.1794043162613,1,-0.997895847062073,0
"agg",0.68423318619084,0.215816716606411,0.0623711773032397,0.0250917605571925,0.0115514749880264,0.000842392496505084,9.32918577856157e-05,1,1.46681196646581,1,-0.988448525011974,0
"agh",0.921978401128168,0.0648384022368627,0.00990363103533354,0.00254505838820251,0.000708773139131424,2.42675769530631e-05,1.46649534860099e-06,1,1.09524606888552,1,-0.999291226860869,0
"agj",0.785741169749929,0.15879052052758,0.0372338988219861,0.0129091539937977,0.00501454047921679,0.000284963061324306,2.57533661655041e-05,1,1.29362327757343,1,-0.994985459520783,0
"agk",0.076897894872877,0.189420888695322,0.183420189555897,0.181817661809172,0.254168102778112,0.0807026289971895,0.0335726332914305,5,3.72333560908161,5,-4.74583189722189,0
"agl",0.60050324913352,0.254221904257119,0.0852518353869089,0.0381690066190502,0.0198969509555101,0.0017343461921141,0.000222707455777238,1,1.62882837440536,1,-0.98010304904449,0
"agm",0.790263933907307,0.155993896133514,0.0361949886250161,0.012455907220599,0.00479792444708593,0.000269260139113325,2.40895273644348e-05,1,1.28643413069344,1,-0.995202075552914,0
"agn",0.745864940776685,0.182510796149233,0.0467118157237502,0.0172321562378817,0.00718270162379409,0.000453035948950964,4.45535397051167e-05,1,1.35889420378854,1,-0.992817298376206,0
"ago",0.724910974499995,0.194296415764255,0.0519066013142978,0.0197417329997359,0.00852064444345313,0.000565634793691094,5.79961845719179e-05,1,1.39459354624176,1,-0.991479355556547,0
"agq",0.915763702006865,0.0695851239888898,0.0109375940152593,0.00286698950779274,0.000815905544363726,2.8892296020766e-05,1.79264080835129e-06,1,1.1034801200452,1,-0.999184094455636,0
"agr",0.844543865630784,0.120738435750683,0.0243629805860666,0.00759921229018823,0.00262111262989284,0.000124630917388346,9.76219499726483e-06,1,1.20342821206988,1,-0.997378887370107,0
"ags",0.907600415989693,0.0757471601803503,0.0123333543001539,0.00331272239776881,0.000968315179605828,3.57410056981422e-05,2.29094672965502e-06,1,1.11441774740126,1,-0.999031684820394,0
"agt",0.548322946473525,0.273853699772601,0.100216697343413,0.0478008783945628,0.0268421421433332,0.00259906095981188,0.000364574912753102,1,1.74024105249203,1,-0.973157857856667,0
"agu",0.635076262615743,0.239355844823217,0.0756096835343336,0.0324236232252048,0.0160728912978165,0.00130397550220351,0.000157719001481316,1,1.55960383827867,1,-0.983927108702183,0
"agv",0.666089993288555,0.224824932212906,0.0671870021679301,0.0276856372018808,0.0131038799861781,0.000994693859438622,0.00011386128311186,1,1.50032800509498,4,-3.98689612001382,-3
"agw",0.726828906941125,0.193237279101622,0.0514253378465153,0.0195051342914245,0.00839214503768704,0.000554550149919009,5.66466317066805e-05,1,1.39128456835951,1,-0.991607854962313,0
"agx",0.760458814966156,0.174025318147283,0.0431787953904328,0.0155815998106379,0.00633375282363324,0.000384979490952619,3.67393709043151e-05,1,1.33460805333478,1,-0.993666247176367,0
"agy",0.3632414239232,0.311289279009939,0.154444317979122,0.0921121706590108,0.0676251014580679,0.0094639801936377,0.00182372677702236,1,2.22527709440781,1,-0.932374898541932,0
"agz",0.625981409609843,0.243404963921058,0.0781218663522585,0.0338870542883136,0.0170239478354652,0.0014077606921824,0.000172997300879829,1,1.57748243809857,1,-0.982976052164535,0
"aha",0.960891246214919,0.0339259776544165,0.00407997958396666,0.000889735508458167,0.000207431847702333,5.36823194052793e-06,2.60958596953742e-07,1,1.04561327764982,1,-0.999792568152298,0
"ahb",0.561006134756747,0.269403990171661,0.0965406090151867,0.0453508658228473,0.0250126976638297,0.00236145040218083,0.000324252167547168,1,1.71234136134208,1,-0.97498730233617,0
"ahg",0.51231764344595,0.285301513256339,0.110755271679933,0.0551479844066617,0.0325848353527967,0.00338794241234286,0.000504809445976417,1,1.82256391998495,5,-4.9674151646472,-4
"ahh",0.646615343053973,0.234079040930731,0.0724491578627291,0.0306154827807933,0.0149198265845347,0.00118115791115725,0.000139990876081741,1,1.53724884614898,2,-1.98508017341547,-1
"ahi",0.850364241932213,0.116770974042024,0.0231692766321608,0.00714217502285563,0.00243127161364165,0.000113324070253218,8.73668685086315e-06,1,1.19488017930185,1,-0.997568728386358,0
"ahk",0.978399480960447,0.0192293046938263,0.00192384676276114,0.000370201021802519,7.55238107723599e-05,1.5777031786568e-06,6.50472117280643e-08,1,1.02449797532701,1,-0.999924476189228,0
"ahl",0.849002477120113,0.117702511606318,0.0234471660989236,0.00724799813032151,0.0024749724466776,0.000115905329215682,8.96926843008128e-06,1,1.1968740702385,1,-0.997525027553322,0
"ahm",0.708169075166179,0.203372699726907,0.056155194983067,0.0218665388686451,0.00969603011555276,0.00066955778591149,7.09033537372727e-05,1,1.42384003581317,1,-0.990303969884447,0
"ahn",0.629086240542726,0.242033635937831,0.0772622090489279,0.033383647983497,0.0166950056775991,0.00137161456466717,0.000167646244751629,1,1.57135297098842,1,-0.983304994322401,0
"aho",0.00891273754635966,0.049649637723209,0.0839064510841562,0.129458884964654,0.331075728978444,0.209653094359158,0.187343465344019,5,5.10246837455916,6,-5.66892427102156,-1
"ahp",0.832460784877437,0.128858212288403,0.0268898148858266,0.00858744511437137,0.00304110265246671,0.000150473036667487,1.21671448275462e-05,1,1.22138995606534,1,-0.996958897347533,0
"ahs",0.937166662265116,0.0530271568954828,0.00748855541994031,0.00182314076790746,0.00047869500957165,1.49489247081025e-05,8.40717274019909e-07,1,1.07546825900456,1,-0.999521304990428,0
"aht",0.0129309368539708,0.0640013522293582,0.0996809678722154,0.143976857973913,0.335594663707767,0.191998353982355,0.15181686738042,5,4.90856549092089,4,-3.66440533629223,1
"aia",0.758213867823127,0.175345361205331,0.0437175756928103,0.015830336178504,0.00646006338461946,0.000394929814856781,3.78659007519433e-05,1,1.33831361914374,1,-0.993539936615381,0
"aib",0.334465611582857,0.311574476990249,0.162441696417968,0.100517030757751,0.077194543754052,0.0114744094264306,0.00233223107069214,1,2.31815257067195,2,-1.92280545624595,-1
"aic",0.299683096231368,0.309409348688037,0.171624951364024,0.111223873232669,0.0904148287641016,0.0144929004708015,0.00315100124899781,2,2.43936069601849,4,-3.9095851712359,-2
"aid",0.000859432505265955,0.00897309009260167,0.0234192715291587,0.0516687874687995,0.222002036946677,0.241630692516887,0.45144668894061,7,6.01565973957212,7,-6.77799796305332,0
"aie",0.755595557395355,0.17687818235465,0.0443481407612002,0.0161228089322049,0.0066093283061196,0.000406768698213322,3.92135522567783e-05,1,1.34264932870275,3,-2.99339067169388,-2
"aif",0.704016266187585,0.20557685755364,0.0572219565096993,0.0224102118454262,0.0100028554629022,0.000697415052714256,7.4437388033588e-05,1,1.4311965275527,1,-0.989997144537098,0
"aig",0.896969141130131,0.0836513241601246,0.0142118108756377,0.00393152545305608,0.00118706284687919,4.60642385360366e-05,3.07129563514863e-06,1,1.12886652262458,1,-0.998812937153121,0
"aih",0.323034104765318,0.311180010304943,0.165527712367272,0.103970662410116,0.0813265090292166,0.0123877716180083,0.00257322950512684,1,2.3568316935075,2,-1.91867349097078,-1
"aii",0.804425760470753,0.147097198819242,0.0329923922906883,0.0110851527945713,0.00415607045200961,0.000224023209835944,1.94019629004005e-05,1,1.26419825141895,2,-1.99584392954799,-1
"aik",0.750416750870549,0.179888511147866,0.0456021870609316,0.0167088205578683,0.00691080031879754,0.000430940895017717,4.19891489703561e-05,1,1.35126918758743,1,-0.993089199681202,0
"ail",0.482089445072228,0.2934923690901,0.119682497552335,0.0617753430769744,0.0380976369834243,0.00420373187449996,0.000658976350438323,1,1.89554645883452,3,-2.96190236301658,-2
"aim",0.769914862680403,0.168406430321032,0.0409285813341723,0.0145544139083273,0.00581839366148085,0.00034504166420235,3.2276430381728e-05,1,1.31911927626358,1,-0.994181606338519,0
"ain",0.0114054438700361,0.0587922002250545,0.0941719328350276,0.139131684776251,0.334741324791783,0.198304333338298,0.163453080163551,5,4.97573656706379,5,-4.66525867520822,0
"aio",0.176925688687757,0.27338431129423,0.195036053227201,0.152819187795886,0.157570153854375,0.034356430096923,0.00990817504362718,2,2.98342579730017,2,-1.84242984614562,0
"aip",0.198718348780357,0.28375718958156,0.192510174579391,0.145186691894079,0.142627493218338,0.0292400883063486,0.00796001363992649,2,2.86880811066723,5,-4.85737250678166,-3
"aiq",0.956643994521065,0.0374089336702023,0.00465339338003112,0.00103847374092125,0.000248188542521177,6.68130254988242e-06,3.34842709559524e-07,1,1.05085931139212,1,-0.999751811457479,0
"air",0.486226233782883,0.292451155504218,0.118458257793933,0.0608431422186118,0.0373029345692671,0.00408271121451331,0.000635564916574127,1,1.885335781597,1,-0.962697065430733,0
"ait",0.000248954043542052,0.0034364153210949,0.0108712881391423,0.0281914803051002,0.15449024016525,0.213779478687193,0.588982143338678,7,6.33050464664371,7,-6.84550975983475,0
"aiw",0.97226050626092,0.0244493694590486,0.00263798466267606,0.000534298526022603,0.00011510030064088,2.62502574410739e-06,1.15764947850039e-07,1,1.03180245528344,1,-0.999884899699359,0
"aix",0.798190133907426,0.151040647522521,0.0343929834497573,0.0116796716961762,0.00443196620565212,0.000243225391909463,2.13718265580365e-05,1,1.27393785225207,1,-0.995568033794348,0
"aja",0.698713975513832,0.208363669647577,0.0585912425052746,0.0231140343218947,0.0104036765141027,0.000734246203210831,7.91552941087348e-05,1,1.44064912646093,5,-4.9895963234859,-4
"ajg",0.992522408833236,0.00687092888651764,0.000512203577291537,8.08567713316277e-05,1.33964573852952e-05,1.99137665579663e-07,6.3365719338293e-09,1,1.0081925258924,1,-0.999986603542615,0
"aji",0.547006983980332,0.274303194132022,0.100599337372749,0.0480591557458576,0.0270374902959145,0.00262483358083321,0.000369004892291747,1,1.74316749455667,1,-0.972962509704085,0
