"","P[Y=1]","P[Y=2]","P[Y=3]","y_hat","y_avg","y_obs","latent1","latent2"
"aaa",0.993889988346603,0.00606121310438157,4.87985490151832e-05,1,1.00615881020241,1,0.00615881020241194,0
"aab",0.975734541039114,0.0238805892474065,0.000384869713479397,1,1.02465032867437,1,0.0246503286743653,0
"aac",0.774505980039837,0.209498880265719,0.0159951396944439,1,1.24148915965461,1,0.241489159654606,0
"aad",0.71989458127368,0.255874243756098,0.0242311749702214,1,1.30433659369654,1,0.304336593696541,0
"aae",0.993292103000178,0.00665196423836634,5.5932761455435e-05,1,1.00676382976128,1,0.00676382976127732,0
"aaf",0.689226640397259,0.281019445917382,0.0297539136853588,1,1.3405272732881,1,0.3405272732881,0
"aag",0.92265113724429,0.0749016082457388,0.0024472545099713,1,1.07979611726568,1,0.0797961172656811,0
"aai",0.993417666476007,0.00652792624746923,5.44072765232828e-05,1,1.00663674080052,1,0.00663674080051591,0
"aak",0.986809228298986,0.0130384457148341,0.000152325986179536,1,1.01334309768719,1,0.0133430976871931,0
"aal",0.985980313162334,0.0138527538707216,0.000166932966944811,1,1.01418661980461,1,0.0141866198046112,0
"aan",0.139641428347313,0.481633709865842,0.378724861786845,2,2.23908343343953,2,0.239083433439531,0
"aap",0.445063243784917,0.44976456999923,0.105172186215852,2,1.66010894243094,1,0.660108942430935,1
"aaq",0.611473572213454,0.34145375422473,0.0470726735618165,1,1.43559910134836,3,-1.56440089865164,-2
"aar",0.999999721592775,2.78327676461743e-07,7.95482568705097e-11,1,1.00000027848677,1,2.78486772753439e-07,0
"aas",0.351579090789768,0.492101984364931,0.156318924845301,2,1.80473983405553,2,-0.195260165944467,0
"aat",0.967680052802868,0.0317191549032076,0.000600792293924068,1,1.03292073949106,1,0.0329207394910558,0
"aau",0.994892112749942,0.00507028694973,3.76003003281777e-05,1,1.00514548755039,1,0.00514548755038624,0
"aaw",0.959386393705927,0.0397524964428004,0.000861109851272635,1,1.04147471614535,1,0.0414747161453457,0
"aax",0.948770497042424,0.0499814402203741,0.00124806273720235,1,1.05247756569478,1,0.0524775656947787,0
"aaz",0.978579578408332,0.0211027055262859,0.000317716065381779,1,1.02173813765705,1,0.0217381376570496,0
"aba",0.999440938662896,0.000557399620627508,1.66171647630886e-06,1,1.00056072305358,1,0.000560723053580237,0
"abb",0.987854703898447,0.0120106952903497,0.000134600811203089,1,1.01227989691276,1,0.012279896912756,0
"abc",0.915610656495121,0.08155975488933,0.00282958861554927,1,1.08721893212043,1,0.0872189321204284,0
"abd",0.833763030145223,0.157097187628431,0.00913978222634648,1,1.17537675208112,1,0.175376752081124,0
"abe",0.160881337640993,0.494511346205726,0.344607316153281,2,2.18372597851229,2,0.183725978512287,0
"abf",0.848627658729736,0.143640395342299,0.00773194592796544,1,1.15910428719823,1,0.15910428719823,0
