Name	Glottocode	ISO639P3code
Martha's Vineyard Sign Language	mart1251	mre
Mashonaland Zimbabwe Sign	mash1272	NA
Masvingo School Sign	masv1236	NA
Matebeleland Zimbabwe Sign	mate1262	NA
Maunabudhuk and Bodhe Local Sign	maun1242	NA
Mauritian Sign Language	maur1240	lsy
Maxakali Sign Language	maxa1248	NA
Mbour Sign Language	mbou1245	NA
Mehek Sign Language	mehe1245	NA
Mexican Sign Language	mexi1237	mfs
Midlands Zimbabwe Sign	midl1242	NA
Miriwoong Sign Language	miri1273	rsm
Miskolc	misk1242	NA
Miyakubo Sign Language	miya1268	ehs
Mofu-Gudur Sign Language	mofu1251	NA
Moldova Sign Language	mold1243	vsi
Monastic Sign Language	mona1241	mzg
Mongolian Sign Language	mong1264	msr
Moroccan Sign Language	moro1242	xms
Mount Avejaha Sign Language	moun1255	NA
Mozambican Sign Language	moza1235	mzy
Myanmar Sign	myan1234	NA
Namibian Sign Language	nami1249	nbs
Nanabin Sign Language	nana1261	NA
Nepalese Sign Language	nepa1250	nsp
New Zealand Sign Language	newz1236	nzs
Nicaraguan Sign Language	nica1238	ncs
Nigerian Sign Language	nige1240	nsi
Nigerian Sign	nige1259	NA
Northern Chinese Sign Language	nort3338	NA
Norwegian Sign Language	norw1255	nsl
Norwegian Sign	norw1261	NA
Nuclear CSLic	nucl1761	NA
Old Bangkok Sign Language	oldb1247	NA
Old Cayman Sign Language	oldc1248	NA
Old Chiangmai-Bangkok-Haiphong Sign	oldc1249	NA
Old Chiangmai-Bangkok Sign	oldc1250	NA
Old Kentish Sign Language	oldk1238	okl
Oporto	opor1243	NA
Original Costa Rican Sign Language	orig1234	NA
Oslo	oslo1237	NA
Pakistan Sign Language	paki1242	pks
Panamanian Sign Language	pana1308	lsp
Papiu Yanomama Sign Language	papi1256	NA
Papua New Guinean Sign Language	papu1255	pgz
Paraguayan Sign Language	para1318	pys
Paraguay-Uruguay Sign	para1321	NA
Penang Sign Language	pena1248	psg
Zaban Eshareh Irani	pers1244	psc
Peruvian Sign Language	peru1235	prl
Peruvian-Inmaculada Sign	peru1236	NA
Philippine Sign Language	phil1239	psp
Pidgin Sign Language	pidg1253	NA
Plains Indian Sign Language	plai1235	psd
Polish Sign Language	poli1259	pso
Portuguese Sign Language	port1277	psr
Providencia Sign Language	prov1243	prz
Providencia-Cayman Sign	prov1248	NA
Puerto Rican Sign Language	puer1237	psl
Qahvehkhaneh Sign Language	qahv1234	NA
Quebec Sign Language	queb1245	fcs
Romanian Sign Language	roma1324	rms
Russian-Tajik Sign Language	russ1255	rsl
RSLic	russ1270	NA
Russian Sign Language	russ1271	NA
Salvadoran Sign Language	salv1237	esn
Sao Tome and Principe Sign Language	saot1241	NA
Saudi Arabian Sign Language	saud1238	sdl
Selangor Sign Language	sela1253	kgi
Southern Chinese Sign Language	shan1269	NA
Shillong Indian Sign Language	shil1266	NA
Sierra Leone Sign Language	sier1246	sgx
Sinasina Sign Language	sina1273	NA
Sivia Sign Language	sivi1235	lsv
Slovakian Sign Language	slov1263	svk
Solomon Islands Sign Language	solo1262	szs
Sopron	sopr1238	NA
South African Sign Language	sout1404	sfs
South African Sign	sout3228	NA
South Rupununi Sign	sout3305	NA
Spanish Sign Language	span1263	ssp
Spanish Sign	span1269	NA
