iso6393_macrolanuage,macrolanguage_name,iso6393_individual,individual_name
zap ,Zapotec ,zpx ,San Baltazar Loxicha Zapotec 
zap ,Zapotec ,zpy ,Mazaltepec Zapotec 
zap ,Zapotec ,zpz ,Texmelucan Zapotec 
zap ,Zapotec ,zsr ,Southern Rincon Zapotec 
zap ,Zapotec ,ztc ,Lachirioag Zapotec 
zap ,Zapotec ,zte ,Elotepec Zapotec 
zap ,Zapotec ,ztg ,Xanaguía Zapotec 
zap ,Zapotec ,ztl ,Lapaguía-Guivini Zapotec 
zap ,Zapotec ,ztm ,San Agustín Mixtepec Zapotec 
zap ,Zapotec ,ztn ,Santa Catarina Albarradas Zapotec 
zap ,Zapotec ,ztp ,Loxicha Zapotec 
zap ,Zapotec ,ztq ,Quioquitani-Quierí Zapotec 
zap ,Zapotec ,zts ,Tilquiapan Zapotec 
zap ,Zapotec ,ztt ,Tejalapan Zapotec 
zap ,Zapotec ,ztu ,Güilá Zapotec 
zap ,Zapotec ,ztx ,Zaachila Zapotec 
zap ,Zapotec ,zty ,Yatee Zapotec 
zha ,Zhuang ,ccx ,Northern Zhuang 
zha ,Zhuang ,ccy ,Southern Zhuang 
zha ,Zhuang ,zch ,Central Hongshuihe Zhuang 
zha ,Zhuang ,zeh ,Eastern Hongshuihe Zhuang 
zha ,Zhuang ,zgb ,Guibei Zhuang 
zha ,Zhuang ,zgm ,Minz Zhuang 
zha ,Zhuang ,zgn ,Guibian Zhuang 
zha ,Zhuang ,zhd ,Dai Zhuang 
zha ,Zhuang ,zhn ,Nong Zhuang 
zha ,Zhuang ,zlj ,Liujiang Zhuang 
zha ,Zhuang ,zln ,Lianshan Zhuang 
zha ,Zhuang ,zlq ,Liuqian Zhuang 
zha ,Zhuang ,zqe ,Qiubei Zhuang 
zha ,Zhuang ,zyb ,Yongbei Zhuang 
zha ,Zhuang ,zyg ,Yang Zhuang 
zha ,Zhuang ,zyj ,Youjiang Zhuang 
