ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
aue-NAM	aue-na	aue-WA	Kxauein	Kxauein	KXAUEIN	‡Kx'au//'ein	aue	kxau1241	=/Kx'au//'ein	Africa	-21.0554	21.1793	kxau1241	BW;NA	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	kxau1241:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rui-TZA	rui-tz	rui-TZ	Rufiji	Rufiji	RUFIJI	Rufiji	rui	rufi1234	Rufiji	Africa	-7.99059	38.7133	rufi1234	TZ	book1242	NA	not endangered	Bookkeeping	book1242	language	NA	rufi1234:1	NA	Fiji, Kiruihi, Ruihi	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, P, Matuumbi (P.12)	Tanzania	NA	NA	Tanzania	OLAC resources in and about Rufiji	6a (Vigorous).	All ages.	Pwani region: Rufiji district; Lindi region; central coast, south of Ndengereko [ndg], north of Mwera [mwe] language areas.	Muslim.	200,000 (1987).	200000	NA	NA	Rufiji
wiw-AUS	wiw-au	wiw-AS	Wirangu	Wirangu	WIRANGU	Wirangu	wiw	wira1260	Wirangu-Nauo	Australia	-31.6356	131.719	wira1260	AU	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	wira1260:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nzu-COG	nzu-cg	nzu-CF	Teke-Nzikou	Teke-Nzikou	TEKE-NZIKOU	Teke-Nzikou	nzu	teke1279	Teke-Nzikou	Africa	-2.65261	15.2047	teke1279	CG	book1242	NA	threatened	Bookkeeping	book1242	language	Wordlist or less	teke1279:1	NA	Central Teke, Ndzindziu, Njiunjiu, Njyunjyu	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, B, Teke (B.74)	Congo	Teke-Eboo. A hybrid of the dialects is emerging among young people.	Small scale adult literacy program run by local group and SIL.	Congo	OLAC resources in and about Teke-Nzikou	6b (Threatened).	Some young people, all adults. Also use Lingala [lin].	Plateaux department: Djambala area; Pool department.	Teke-Nzikou and Teke-Eboo [ebo] can be considered dialects of the same language, though there is no group name, apart from Teke. Both dialects use the same literacy materials. A hybrid of the dialects emerging among young people. Traditional religion, Christian.	NA	NA	NA	Latin script [Latn].	Teke-Nzikou
len-SLV	len-sv	len-ES	Lenca	Lenca	LENCA	Lenca	len	lenc1244	Lenca	North America	13.9278	-88.0422	lenc1244	SV;HN	book1242	NA	extinct	Bookkeeping	book1242	language	phonology/text	lenc1244:1	NA	NA	NA	Lencan	Honduras	None known. Some considered it Macro-Chibchan.	NA	NA	OLAC resources in and about Lenca	9 (Dormant).	NA	Comayagua, Francisco Morazán, Intibucá, La Paz, Lempira, and Valle departments.	NA	No known L1 speakers. Some semi-speakers (Adelaar 2007). Ethnic population: 100,000.	0	NA	Unwritten [Qaax].	Lenca
put-IDN	put-id	put-ID	Putoh	Putoh	PUTOH	Putoh	put	puto1237	Putoh	Papunesia	3.42467	116.443	puto1237	ID	book1242	NA	threatened	Bookkeeping	book1242	language	NA	puto1237:1	NA	Putuk	NA	Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Dayic, Kelabitic	Indonesia	Pa Kembaloh, Abai. May be the same as Lun Bawang [lnd].	NA	Indonesia, Kalimantan	OLAC resources in and about Putoh	6b (Threatened).	NA	Kalimantan Utara province: Malinau and Nunukan regencies, Bangalan, Longberang, and Mensalong towns in Mentarang river area.	NA	6,000 (Wurm and Hattori 1981).	6000	NA	NA	Putoh
xsj-TZA	xsj-tz	xsj-TZ	Subi	Subi	SUBI	Subi	xsj	subi1247	Subi	Africa	-2.93387	31.3594	subi1247	TZ	book1242	NA	threatened	Bookkeeping	book1242	language	Wordlist or less	subi1247:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yus-MEX	yus-mx	yus-MX	Chan Santa Cruz Maya	Maya, Chan Santa Cruz	MAYA, CHAN SANTA CRUZ	Maya, Chan Santa Cruz	yus	maya1286	Maya, Chan Santa Cruz	North America	NA	NA	maya1286	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	maya1286:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
drw-AFG	drw-af	drw-AF	Darwazi	Darwazi	DARWAZI	Darwazi	drw	darw1234	Darwazi	Eurasia	38.3161	70.7643	darw1234	AF	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	darw1234:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
koj-CAF	koj-cf	koj-CT	Sara Dunjo	Sara Dunjo	SARA DUNJO	Sara Dunjo	koj	sara1320	Sara Dunjo	Africa	8.99175	19.9446	sara1320	CF;TD	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	sara1320:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
